*Soil Inorganic Nitrogen daily output file

*DSSAT Cropping System Model Ver. 4.7.2.000 -release      OCT 15, 2021; 17:59:34
                                                                                
*RUN   1        :             CSM335_date_1 MZCER047 ITSA1301    1              
 MODEL          : MZCER047 - Maize                                              
 EXPERIMENT     : ITSA1301 SG CALIBRATION SETUP OF SORGHUM SOWING DATES         
 DATA PATH      :                                                               
 TREATMENT  1   :             CSM335_date_1 MZCER047                            
  
!                                                    NO3 (ppm) by soil depth (cm):                   NH4 (ppm) by soil depth (cm):
!                                                     0-5    5-15   15-30   30-60   60-90  90-120     0-5    5-15   15-30   30-60   60-90  90-120
@YEAR DOY   DAS  NAPC  NI#M    NIAD   NITD   NHTD    NI1D    NI2D    NI3D    NI4D    NI5D    NI6D    NH1D    NH2D    NH3D    NH4D    NH5D    NH6D    NMNC    NITC    NDNC    NIMC    AMLC   NNMNC    NUCM    NLCC    TDFC
 2010 173    24    39     1   161.6  150.9   10.7   30.06   20.96   16.13    4.73    3.23    2.28    2.09    1.99    1.98    0.06    0.06    0.03  100.37  121.53    0.00   18.75    0.00   81.61    4.02    0.00    0.00
 2010 174    25    39     1   163.3  153.0   10.3   30.75   21.25   16.53    4.73    3.24    2.28    1.98    1.91    1.90    0.06    0.06    0.03  103.81  124.34    0.00   19.76    0.00   84.05    4.73    0.00    0.00
 2010 175    26    39     1   164.8  155.0    9.8   10.29   22.03   20.85    5.96    3.40    2.29    1.81    1.82    1.81    0.06    0.06    0.03  107.17  127.15    0.00   20.78    0.00   86.40    5.59    0.00    0.00
 2010 176    27    39     1   166.3  156.5    9.8   14.16   19.19   19.15    6.84    3.79    2.46    2.03    1.86    1.74    0.06    0.06    0.03  110.99  129.63    0.00   22.01    0.00   88.99    6.66    0.00    0.00
 2010 177    28    39     1   168.5  158.5    9.9   15.46   18.78   19.31    7.09    3.78    2.46    2.16    1.90    1.71    0.06    0.06    0.03  114.95  132.25    0.00   23.22    0.00   91.73    7.26    0.00    0.00
 2010 178    29    39     1   169.9  159.9   10.0   10.29   15.75   19.96    8.46    4.13    2.57    2.23    1.95    1.68    0.06    0.06    0.03  118.85  134.82    0.00   24.42    0.00   94.43    8.54    0.00    0.00
 2010 179    30    39     1   171.3  161.2   10.1   10.98   13.95   17.81    9.07    4.67    3.24    2.35    2.03    1.64    0.05    0.06    0.03  122.18  136.96    0.00   25.42    0.00   96.76    9.41    0.00    0.00
 2010 180    31    39     1   172.3  162.1   10.3   12.57   13.99   17.36    9.15    4.72    3.23    2.40    2.06    1.65    0.05    0.06    0.04  125.82  139.38    0.03   26.43    0.00   99.39   11.00    0.00    0.00
 2010 181    32    39     1   173.4  163.1   10.4   15.40   14.09   16.88    9.12    4.69    3.22    2.39    2.09    1.67    0.05    0.06    0.04  129.38  141.77    0.04   27.40    0.00  101.98   12.49    0.00    0.00
 2010 182    33    39     1   174.6  164.2   10.4   18.22   14.39   16.66    8.94    4.65    3.22    2.37    2.09    1.68    0.05    0.06    0.04  132.83  144.23    0.04   28.32    0.00  104.51   13.86    0.00    0.00
 2010 183    34    39     1   175.4  165.2   10.3   18.81   14.67   16.86    8.87    4.63    3.22    2.27    2.07    1.68    0.05    0.06    0.05  136.07  146.65    0.04   29.19    0.00  106.87   15.36    0.00    0.00
 2010 184    35    39     1   176.0  166.0   10.0   19.36   14.93   17.05    8.78    4.60    3.22    2.11    2.02    1.66    0.05    0.06    0.05  139.16  149.06    0.04   30.05    0.00  109.11   17.01    0.00    0.00
 2010 185    36    39     1   176.4  166.7    9.7   19.89   15.17   17.22    8.70    4.58    3.22    1.93    1.97    1.63    0.05    0.06    0.05  142.07  151.38    0.04   30.88    0.00  111.19   18.73    0.00    0.00
 2010 186    37    39     1   175.8  166.6    9.3   20.35   15.31   17.29    8.57    4.53    3.21    1.73    1.89    1.58    0.05    0.06    0.05  144.78  153.61    0.04   31.67    0.00  113.11   21.19    0.00    0.00
 2010 187    38    39     1   175.4  166.5    8.9   20.82   15.46   17.37    8.45    4.48    3.20    1.56    1.80    1.53    0.05    0.06    0.05  147.37  155.78    0.04   32.43    0.00  114.94   23.47    0.00    0.00
 2010 188    39    39     1   174.7  166.3    8.4   21.28   15.58   17.44    8.32    4.43    3.18    1.42    1.71    1.46    0.05    0.06    0.05  149.85  157.87    0.04   33.17    0.00  116.69   25.88    0.00    0.00
 2010 189    40    39     1   174.0  165.9    8.0   21.73   15.67   17.49    8.20    4.38    3.16    1.30    1.61    1.40    0.05    0.06    0.05  152.23  159.90    0.04   33.88    0.00  118.35   28.31    0.00    0.00
 2010 190    41    39     1   172.5  165.0    7.5   22.21   15.69   17.46    8.04    4.30    3.13    1.19    1.50    1.33    0.05    0.06    0.05  154.51  161.86    0.04   34.57    0.00  119.94   31.32    0.00    0.00
 2010 191    42    85     2   216.7  163.6   53.1   22.66   15.64   17.36    7.86    4.22    3.09   56.51    1.39    1.26    0.05    0.06    0.05  156.65  163.70    0.04   35.21    0.00  121.44   34.65    0.00    0.00
 2010 192    43    85     2   215.3  174.8   40.5   21.78   14.65   21.45    8.61    4.18    3.07   41.71    1.31    1.20    0.05    0.06    0.05  159.06  177.17    0.04   36.04    0.00  123.02   37.57    0.00    0.00
 2010 193    44    85     2   213.6  179.5   34.1   18.43   13.07   19.79   11.07    4.63    3.03   33.43    1.47    1.27    0.04    0.06    0.05  162.30  185.00    0.04   37.22    0.00  125.09   41.35    0.00    0.00
 2010 194    45    85     2   213.2  183.5   29.6   22.43   11.98   17.09   11.25    5.59    3.73   27.65    1.61    1.31    0.04    0.06    0.05  165.26  191.09    0.04   38.22    0.00  127.04   43.41    0.33    0.00
 2010 195    46    85     2   210.8  186.5   24.3   29.50   11.87   16.14   11.19    5.62    3.70   20.83    1.68    1.38    0.04    0.06    0.05  168.59  198.16    0.04   39.23    0.00  129.36   48.07    0.33    0.00
 2010 196    47    85     2   209.6  189.1   20.5   35.33   12.11   15.95   10.91    5.51    3.65   15.88    1.75    1.45    0.04    0.06    0.05  171.91  203.96    0.04   40.18    0.00  131.73   51.66    0.33    0.00
 2010 197    48    85     2   207.8  190.4   17.4   38.65   12.24   15.96   10.70    5.42    3.61   12.05    1.77    1.49    0.04    0.05    0.05  175.03  208.90    0.04   41.08    0.00  133.95   55.68    0.33    0.00
 2010 198    49    85     2   206.7  191.5   15.1   41.11   12.41   16.04   10.53    5.35    3.57    9.31    1.75    1.49    0.04    0.05    0.06  178.01  213.08    0.04   41.94    0.00  136.07   58.90    0.33    0.00
 2010 199    50    85     2   205.4  192.2   13.2   42.92   12.59   16.11   10.37    5.28    3.54    7.16    1.71    1.47    0.04    0.05    0.06  180.85  216.80    0.04   42.77    0.00  138.07   62.17    0.33    0.00
 2010 200    51    85     2   203.3  191.7   11.6   44.11   12.70   16.12   10.16    5.18    3.49    5.50    1.64    1.43    0.04    0.05    0.06  183.47  220.07    0.04   43.54    0.00  139.93   66.16    0.33    0.00
 2010 201    52    85     2   201.4  191.0   10.4   44.85   12.82   16.15    9.98    5.10    3.45    4.37    1.56    1.38    0.04    0.05    0.06  186.06  222.95    0.04   44.31    0.00  141.76   69.82    0.33    0.00
 2010 202    53    85     2   202.1  192.6    9.5   45.87   13.08   16.38    9.93    5.09    3.45    3.57    1.49    1.34    0.04    0.05    0.06  188.44  225.46    0.04   45.01    0.00  143.43   70.82    0.33    0.00
 2010 203    54    85     2   199.8  191.2    8.7   20.20   21.81   19.20    9.74    5.00    3.41    2.91    1.41    1.28    0.04    0.05    0.06  190.56  227.67    0.04   45.64    0.00  144.92   74.55    0.33    0.00
 2010 204    55    85     2   199.7  191.2    8.6    8.14   13.40   19.69   13.55    5.78    3.38    2.83    1.43    1.26    0.04    0.05    0.06  193.26  229.45    0.04   46.60    0.00  146.66   76.38    0.33    0.00
 2010 205    56    85     2   201.5  192.6    8.9    7.23   11.93   17.68   14.07    6.84    3.73    2.81    1.55    1.31    0.04    0.05    0.06  195.75  230.84    0.04   47.38    0.00  148.37   76.38    0.33    0.00
 2010 206    57    85     2   199.0  189.8    9.1    7.15   10.89   15.85   13.59    7.54    4.25    2.78    1.63    1.36    0.04    0.05    0.06  198.24  232.37    0.04   48.09    0.00  150.15   77.10    3.88    0.00
 2010 207    58    85     2   197.5  188.2    9.3    8.22   10.80   15.27   13.34    7.55    4.28    2.67    1.69    1.42    0.04    0.05    0.06  200.92  234.10    0.04   48.77    0.00  152.15   80.06    4.42    0.00
 2010 208    59    85     2   197.6  188.0    9.5    3.06    6.11   12.95   14.58    9.22    4.94    2.60    1.75    1.50    0.04    0.05    0.06  203.54  235.84    0.04   49.41    0.00  154.13   80.50    5.86    0.00
 2010 209    60    85     2   190.1  180.2    9.9    3.35    5.54   10.88   13.08    9.52    5.74    2.61    1.82    1.59    0.04    0.05    0.06  205.75  237.20    0.04   49.86    0.00  155.89   81.65   13.91    0.00
 2010 210    61    85     2   190.0  179.9   10.1    1.82    3.85    9.41   13.01   10.45    6.39    2.55    1.86    1.67    0.04    0.05    0.06  208.27  239.07    0.04   50.32    0.00  157.95   81.65   16.06    0.00
 2010 211    62    85     2   188.7  178.2   10.5    2.07    3.69    8.36   12.28   10.77    6.97    2.58    1.94    1.77    0.04    0.05    0.06  210.52  240.54    0.04   50.69    0.00  159.83   81.65   19.30    0.00
 2010 212    63    85     2   187.5  176.8   10.6    2.25    3.82    7.96   11.75   10.80    7.33    2.53    1.96    1.83    0.04    0.04    0.06  213.05  242.55    0.04   51.09    0.00  161.96   81.65   22.63    0.00
 2010 213    64    85     2   184.5  173.7   10.7    1.37    2.63    6.48   11.15   11.33    8.07    2.54    1.96    1.88    0.04    0.04    0.05  215.65  244.63    0.17   51.50    0.00  164.16   81.65   27.68    0.00
 2010 214    65    85     2   180.7  169.6   11.0    1.67    2.67    5.90   10.26   11.17    8.51    2.56    2.02    1.96    0.04    0.04    0.05  218.02  246.35    0.45   51.83    0.00  166.19   81.65   33.22    0.00
 2010 215    66    85     2   178.0  167.0   11.0    2.07    2.97    5.84    9.73   10.89    8.66    2.51    2.02    1.99    0.04    0.04    0.05  220.64  248.59    0.65   52.19    0.00  168.45   81.65   37.92    0.00
 2010 216    67    85     2   174.8  163.9   11.0    1.37    2.34    5.32    9.26   10.94    9.04    2.47    2.00    2.00    0.04    0.04    0.05  223.41  251.01    0.78   52.58    0.00  170.84   81.65   43.32    0.00
 2010 217    68    85     2   163.2  152.0   11.2    1.77    2.41    4.77    8.11   10.01    8.91    2.48    2.04    2.05    0.05    0.04    0.04  225.90  252.95    1.02   52.91    0.00  172.99   81.65   56.88    0.00
 2010 218    69    85     2   162.9  151.8   11.1    1.45    2.36    4.78    7.89   10.06    9.12    2.40    2.02    2.05    0.05    0.04    0.04  228.72  255.50    1.08   53.27    0.00  175.45   81.65   59.54    0.00
 2010 219    70    85     2   161.5  150.3   11.2    1.41    2.37    4.64    7.54    9.97    9.32    2.42    2.05    2.06    0.05    0.04    0.04  231.23  257.58    1.22   53.60    0.00  177.63   81.65   63.02    0.00
 2010 220    71    85     2   160.1  148.9   11.2    1.79    2.53    4.67    7.25    9.77    9.40    2.42    2.06    2.05    0.05    0.04    0.04  233.77  259.77    1.35   53.92    0.00  179.85   81.65   66.44    0.00
 2010 221    72    85     2   156.0  145.0   11.0    2.37    2.85    4.77    6.90    9.30    9.18    2.35    2.02    2.03    0.05    0.04    0.04  236.41  262.23    1.45   54.26    0.00  182.15   81.65   72.75    0.00
 2010 222    73    85     2   156.8  145.7   11.0    2.93    3.23    5.09    6.86    9.19    9.10    2.31    2.01    2.04    0.06    0.04    0.04  239.04  264.53    1.48   54.60    0.00  184.44   81.65   74.26    0.00
 2010 223    74    85     2   159.0  148.0   11.0    2.99    3.74    5.55    6.93    9.18    9.10    2.26    1.99    2.04    0.06    0.04    0.04  241.62  266.81    1.48   54.95    0.00  186.68   81.65   74.26    0.00
 2010 224    75    85     2   160.5  149.6   11.0    3.25    4.00    5.84    6.89    9.20    9.15    2.24    1.97    2.05    0.06    0.04    0.04  244.09  268.96    1.48   55.29    0.00  188.80   81.65   74.84    0.00
 2010 225    76    85     2   162.6  151.7   10.9    3.89    4.41    6.23    6.89    9.19    9.14    2.21    1.96    2.04    0.06    0.04    0.04  246.46  271.05    1.48   55.63    0.00  190.83   81.65   74.84    0.00
 2010 226    77    85     2   155.3  144.5   10.7    1.32    2.35    3.33    6.36    9.66   10.33    2.17    1.93    2.01    0.06    0.04    0.04  248.70  273.12    1.48   55.97    0.00  192.74   81.65   84.03    0.00
 2010 227    78    85     2   134.6  123.6   11.0    1.53    2.28    3.12    5.28    7.92    9.04    2.21    1.97    2.06    0.06    0.04    0.04  250.69  274.62    1.48   56.21    0.00  194.49   81.65  106.45    0.00
 2010 228    79    85     2   129.0  118.1   10.9    2.06    2.53    3.32    4.91    7.34    8.62    2.19    1.95    2.05    0.06    0.05    0.04  252.96  276.69    1.48   56.46    0.00  196.50   81.65  114.06    0.00
 2010 229    80    85     2   128.7  117.7   11.0    1.28    2.01    3.55    4.90    7.33    8.76    2.16    1.96    2.06    0.07    0.05    0.04  255.38  278.79    1.48   56.74    0.00  198.63   81.65  116.49    0.00
 2010 230    81    85     2   120.3  109.2   11.1    1.57    2.05    3.34    4.43    6.67    8.22    2.19    1.98    2.08    0.07    0.05    0.05  257.48  280.52    1.48   56.99    0.00  200.49   81.65  126.74    0.00
 2010 231    82    85     2   120.2  109.2   10.9    2.16    2.38    3.57    4.34    6.54    8.12    2.15    1.95    2.05    0.07    0.05    0.05  259.90  282.80    1.50   57.27    0.00  202.63   81.65  128.98    0.00
 2010 232    83    85     2   122.4  111.6   10.9    2.92    2.82    4.00    4.35    6.53    8.10    2.10    1.94    2.04    0.07    0.05    0.05  262.46  285.15    1.50   57.57    0.00  204.90   81.65  128.98    0.00
 2010 233    84    85     2   124.6  114.0   10.6    2.13    3.17    4.56    4.53    6.58    8.09    2.01    1.88    1.99    0.07    0.05    0.05  264.93  287.60    1.50   57.88    0.00  207.06   81.65  128.98    0.00
 2010 234    85    85     2   124.5  114.0   10.5    2.33    3.17    4.60    4.49    6.49    8.17    2.05    1.87    1.95    0.07    0.05    0.05  267.33  289.77    1.50   58.19    0.00  209.14   81.65  131.15    0.00
 2010 235    86    85     2   126.0  115.7   10.3    2.97    3.48    4.91    4.53    6.48    8.11    2.00    1.83    1.92    0.07    0.05    0.05  269.86  292.10    1.50   58.51    0.00  211.35   82.34  131.15    0.00
 2010 236    87    85     2   126.7  116.6   10.1    3.74    3.90    5.22    4.48    6.39    8.00    1.95    1.80    1.88    0.07    0.05    0.05  272.32  294.34    1.50   58.84    0.00  213.48   83.76  131.15    0.00
 2010 237    88    85     2   128.3  118.3   10.0    4.20    4.25    5.59    4.48    6.38    7.99    1.89    1.78    1.84    0.07    0.05    0.05  274.65  296.49    1.50   59.17    0.00  215.48   84.19  131.15    0.00
 2010 238    89    85     2   128.6  119.0    9.7    2.01    4.22    6.17    4.76    6.40    7.90    1.79    1.73    1.80    0.07    0.05    0.05  276.80  298.53    1.50   59.49    0.00  217.31   85.66  131.15    0.00
 2010 239    90    85     2   128.9  119.3    9.7    2.47    3.99    5.87    4.79    6.39    8.09    1.84    1.73    1.77    0.07    0.05    0.05  278.98  300.36    1.50   59.82    0.00  219.17   86.43  131.98    0.00
 2010 240    91    85     2   129.9  120.3    9.6    1.83    3.66    6.01    5.06    6.45    8.12    1.83    1.71    1.77    0.07    0.05    0.05  281.34  302.40    1.50   60.17    0.00  221.17   86.99  132.41    0.00
 2010 241    92    85     2   125.5  116.0    9.6    2.32    3.48    5.56    4.93    6.20    7.83    1.87    1.72    1.73    0.07    0.05    0.05  283.49  304.19    1.50   60.49    0.00  223.00   88.44  137.17    0.00
 2010 242    93    85     2   126.7  117.2    9.5    3.12    3.74    5.68    4.94    6.18    7.80    1.85    1.70    1.73    0.07    0.05    0.05  285.86  306.24    1.50   60.84    0.00  225.02   89.32  137.17    0.00
 2010 243    94    85     2   127.0  117.7    9.4    2.10    3.28    5.75    5.24    6.26    7.81    1.80    1.68    1.71    0.06    0.05    0.05  288.22  308.31    1.50   61.19    0.00  227.03   90.55  137.58    0.00
 2010 244    95    85     2   127.1  117.7    9.4    1.75    3.00    5.42    5.34    6.36    7.92    1.84    1.71    1.70    0.06    0.05    0.05  290.34  310.05    1.50   61.51    0.00  228.83   90.55  139.32    0.00
 2010 245    96    85     2   126.3  116.8    9.5    1.95    2.96    5.17    5.27    6.35    7.93    1.88    1.74    1.71    0.06    0.05    0.05  292.41  311.73    1.50   61.81    0.00  230.60   90.55  141.90    0.00
 2010 246    97    85     2   124.4  115.0    9.5    1.44    2.46    4.83    5.30    6.38    7.93    1.89    1.72    1.69    0.06    0.05    0.05  294.58  313.65    1.50   62.12    0.00  232.46   90.55  145.61    0.00
 2010 247    98    85     2   115.6  106.0    9.6    1.78    2.44    4.31    4.83    5.89    7.30    1.92    1.75    1.72    0.06    0.05    0.05  296.53  315.19    1.50   62.39    0.00  234.14   90.55  156.13    0.00
 2010 248    99    85     2   114.1  104.5    9.5    2.33    2.69    4.34    4.70    5.73    7.10    1.89    1.73    1.71    0.06    0.05    0.05  298.64  317.09    1.54   62.68    0.00  235.97   90.55  159.45    0.00
 2010 249   100    85     2   111.7  102.1    9.5    1.16    1.59    3.20    4.71    6.07    7.41    1.87    1.73    1.72    0.06    0.06    0.05  300.80  318.93    1.54   62.97    0.00  237.83   90.55  163.69    0.00
 2010 250   101    85     2   100.1   90.4    9.8    1.35    1.63    2.88    4.05    5.30    6.59    1.91    1.76    1.77    0.06    0.06    0.05  302.61  320.31    1.60   63.19    0.00  239.42   90.55  176.77    0.00
 2010 251   102    85     2   100.0   90.3    9.7    1.50    1.91    3.05    3.91    5.23    6.58    1.88    1.74    1.76    0.06    0.06    0.05  304.62  322.14    1.61   63.42    0.00  241.20   90.55  178.65    0.00
 2010 252   103    85     2   100.0   90.3    9.7    1.54    2.12    3.25    3.85    5.15    6.53    1.91    1.73    1.76    0.06    0.06    0.05  306.62  323.90    1.63   63.66    0.00  242.96   90.55  180.43    0.00
 2010 253   104    85     2    97.3   87.6    9.7    1.81    2.25    3.32    3.71    4.92    6.25    1.93    1.71    1.75    0.07    0.06    0.05  308.61  325.66    1.65   63.91    0.00  244.70   90.55  184.85    0.00
 2010 254   105    85     2    98.9   89.2    9.7    2.54    2.58    3.61    3.71    4.90    6.22    1.90    1.71    1.76    0.07    0.06    0.05  310.75  327.55    1.65   64.17    0.00  246.58   90.55  185.07    0.00
 2010 255   106    85     2   100.7   91.1    9.6    2.04    2.83    4.01    3.82    4.99    6.20    1.84    1.69    1.75    0.07    0.06    0.05  312.81  329.45    1.65   64.44    0.00  248.37   90.55  185.07    0.00
 2010 256   107    85     2   100.7   91.2    9.5    2.52    2.90    4.05    3.80    4.90    6.21    1.86    1.67    1.72    0.07    0.06    0.05  314.88  331.31    1.65   64.71    0.00  250.17   90.55  186.83    0.00
 2010 257   108    85     2   102.6   93.2    9.4    2.19    3.11    4.39    3.92    4.95    6.25    1.82    1.66    1.72    0.07    0.06    0.05  317.08  333.30    1.65   65.01    0.00  252.08   90.55  186.83    0.00
 2010 258   109    85     2    99.7   90.4    9.3    1.09    1.65    3.03    4.02    5.29    6.59    1.83    1.64    1.69    0.07    0.06    0.05  319.14  335.16    1.65   65.29    0.00  253.85   90.55  191.52    0.00
 2010 259   110    85     2    89.1   79.6    9.5    1.50    1.74    2.81    3.46    4.54    5.75    1.84    1.66    1.72    0.07    0.06    0.05  321.00  336.67    1.65   65.51    0.00  255.49   90.55  203.76    0.00
 2010 260   111    85     2    89.2   79.9    9.3    1.83    2.07    3.03    3.34    4.46    5.74    1.81    1.64    1.70    0.07    0.06    0.05  323.17  338.70    1.67   65.77    0.00  257.40   90.55  205.53    0.00
 2010 261   112    85     2    87.5   78.2    9.3    2.14    2.32    3.21    3.23    4.26    5.48    1.79    1.62    1.69    0.07    0.06    0.05  325.28  340.63    1.69   66.02    0.00  259.25   90.55  209.10    0.00
 2010 262   113    85     2    89.0   79.7    9.3    2.44    2.68    3.53    3.23    4.24    5.47    1.77    1.62    1.69    0.07    0.06    0.06  327.42  342.52    1.69   66.29    0.00  261.13   90.55  209.48    0.00
 2010 263   114    85     2    90.9   81.6    9.2    2.67    3.03    3.87    3.28    4.27    5.46    1.73    1.62    1.68    0.07    0.06    0.06  329.56  344.43    1.70   66.56    0.00  263.00   90.55  209.48    0.00
 2010 264   115    85     2    92.5   83.4    9.1    3.19    3.26    4.11    3.32    4.27    5.49    1.72    1.60    1.67    0.07    0.06    0.06  331.66  346.32    1.71   66.84    0.00  264.82   90.55  209.61    0.00
 2010 265   116    85     2    94.3   85.3    9.0    2.55    3.46    4.53    3.46    4.33    5.48    1.71    1.58    1.65    0.07    0.06    0.06  333.72  348.20    1.71   67.12    0.00  266.60   90.55  209.61    0.00
 2010 266   117    85     2    94.8   85.9    9.0    3.07    3.47    4.53    3.51    4.30    5.51    1.72    1.56    1.62    0.07    0.06    0.06  335.72  350.01    1.72   67.40    0.00  268.32   90.55  210.78    0.00
 2010 267   118    85     2    96.7   87.9    8.8    3.59    3.82    4.85    3.56    4.29    5.50    1.68    1.54    1.60    0.06    0.06    0.06  337.91  352.01    1.72   67.71    0.00  270.20   90.55  210.78    0.00
 2010 268   119    85     2    98.6   89.9    8.7    4.52    4.14    5.12    3.59    4.28    5.49    1.64    1.52    1.57    0.06    0.06    0.06  340.12  354.04    1.73   68.03    0.00  272.09   90.55  210.78    0.00
 2010 269   120    85     2   100.4   92.0    8.5    5.68    4.49    5.37    3.58    4.28    5.47    1.58    1.48    1.54    0.06    0.06    0.05  342.28  356.09    1.73   68.36    0.00  273.92   90.55  210.78    0.00
