*PLANT N OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.7.2.000 -release      OCT 15, 2021; 17:59:34
                                                                                
*RUN   1        :             CSM335_date_1 MZCER047 ITSA1301    1              
 MODEL          : MZCER047 - Maize                                              
 EXPERIMENT     : ITSA1301 SG CALIBRATION SETUP OF SORGHUM SOWING DATES         
 DATA PATH      :                                                               
 TREATMENT  1   :             CSM335_date_1 MZCER047                            
  
@YEAR DOY   DAS   DAP   CNAD   GNAD   VNAD   GN%D   VN%D   NUPC   LNAD   SNAD   LN%D   SN%D   RN%D   SNN0C   SNN1C
 2010 151     2     0    0.0    0.0    0.0   0.00   0.00    0.0    0.0    0.0    0.0   0.00   0.00    0.00    0.00
 2010 152     3     1    0.0    0.0    0.0   0.00   0.00    0.0    0.0    0.0    0.0   0.00   0.00    0.00    0.00
 2010 153     4     2    0.0    0.0    0.0   0.00   0.00    0.0    0.0    0.0    0.0   0.00   0.00    0.00    0.00
 2010 154     5     3    0.0    0.0    0.0   0.00   0.00    0.0    0.0    0.0    0.0   0.00   0.00    0.00    0.00
 2010 155     6     4    1.1    0.0    1.1   0.00   4.40    0.0    0.5    0.5    4.4   4.40   2.20    0.00    0.00
 2010 156     7     5    1.1    0.0    1.1   0.00   4.40    0.0    0.5    0.5    4.4   4.40   2.17    0.00    0.00
 2010 157     8     6    1.1    0.0    1.1   0.00   4.40    0.0    0.5    0.5    4.4   4.40   2.09    0.00    0.00
 2010 158     9     7    1.1    0.0    1.1   0.00   4.40    0.0    0.5    0.5    4.4   4.40   1.98    0.00    0.00
 2010 159    10     8    1.1    0.0    1.1   0.00   4.40    0.0    0.5    0.5    4.4   4.40   1.84    0.00    0.00
 2010 160    11     9    1.1    0.0    1.1   0.00   4.40    0.0    0.5    0.5    4.4   4.40   1.70    0.00    0.00
 2010 161    12    10    1.1    0.0    1.1   0.00   4.40    0.0    0.5    0.5    4.4   4.40   1.63    0.00    0.00
 2010 162    13    11    1.1    0.0    1.1   0.00   4.40    0.0    0.5    0.5    4.4   4.40   1.40    0.00    0.00
 2010 163    14    12    1.1    0.0    1.1   0.00   4.09    0.0    0.6    0.5    4.1   4.09   1.23    0.00    0.00
 2010 164    15    13    1.1    0.0    1.1   0.00   3.32    0.0    0.7    0.4    3.3   3.32   1.19    0.00    0.00
 2010 165    16    14    1.3    0.0    1.3   0.00   3.24    0.2    0.9    0.4    3.2   3.24   1.20    0.00    0.00
 2010 166    17    15    1.5    0.0    1.5   0.00   3.18    0.5    1.1    0.4    3.2   3.18   1.21    0.00    0.00
 2010 167    18    16    1.8    0.0    1.8   0.00   3.14    0.9    1.4    0.4    3.1   3.14   1.24    0.00    0.00
 2010 168    19    17    2.5    0.0    2.5   0.00   3.79    1.5    2.0    0.5    3.8   3.79   1.10    0.00    0.01
 2010 169    20    18    2.8    0.0    2.8   0.00   3.73    2.0    2.4    0.5    3.7   3.73   1.23    0.00    0.01
 2010 170    21    19    3.3    0.0    3.3   0.00   3.62    2.6    2.8    0.4    3.6   3.62   1.26    0.00    0.01
 2010 171    22    20    3.8    0.0    3.8   0.00   3.54    3.3    3.3    0.4    3.5   3.54   1.25    0.00    0.02
 2010 172    23    21    4.4    0.0    4.4   0.00   3.49    4.0    4.0    0.4    3.5   3.49   1.23    0.00    0.02
 2010 173    24    22    5.0    0.0    5.0   0.00   3.44    4.7    4.6    0.5    3.4   3.44   1.19    0.00    0.02
 2010 174    25    23    5.7    0.0    5.7   0.00   3.39    5.6    5.2    0.5    3.4   3.39   1.20    0.00    0.03
 2010 175    26    24    6.6    0.0    6.6   0.00   3.34    6.7    6.0    0.5    3.3   3.34   1.22    0.00    0.04
 2010 176    27    25    7.3    0.0    7.3   0.00   3.30    7.3    6.7    0.6    3.3   3.30   1.08    0.00    0.04
 2010 177    28    26    8.2    0.0    8.2   0.00   3.26    8.5    7.6    0.7    3.3   3.26   1.20    0.00    0.05
 2010 178    29    27    9.1    0.0    9.1   0.00   3.22    9.4    8.3    0.8    3.2   3.22   1.13    0.00    0.06
 2010 179    30    28   10.1    0.0   10.1   0.00   3.17   11.0    9.2    0.9    3.2   3.17   1.24    0.00    0.07
 2010 180    31    29   11.4    0.0   11.4   0.00   3.13   12.5   10.3    1.1    3.1   3.13   1.21    0.00    0.08
 2010 181    32    30   12.6    0.0   12.6   0.00   3.09   13.9   11.3    1.3    3.1   3.09   1.15    0.00    0.09
 2010 182    33    31   14.0    0.0   14.0   0.00   3.05   15.4   12.4    1.6    3.0   3.05   1.14    0.00    0.10
