*SOIL-PLANT-ATMOSPHERE MODULE OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.7.2.000 -release      OCT 15, 2021; 17:59:34
                                                                                
*RUN   1        :             CSM335_date_1 MZCER047 ITSA1301    1              
 MODEL          : MZCER047 - Maize                                              
 EXPERIMENT     : ITSA1301 SG CALIBRATION SETUP OF SORGHUM SOWING DATES         
 DATA PATH      :                                                               
 TREATMENT  1   :             CSM335_date_1 MZCER047                            
  
!                                                                                                                                                Soil evaporation (mm/d) by soil depth (cm):
!                                                                                                                                                0-5    5-15   15-30   30-60   60-90  90-120
@YEAR DOY   DAS   SRAA  TMAXA  TMINA   EOAA   EOPA   EOSA   ETAA   EPAA   ESAA   EFAA   EMAA    EOAC    ETAC    EPAC    ESAC    EFAC    EMAC    ES1D    ES2D    ES3D    ES4D    ES5D    ES6D   TRWUD
 2010 176    27   9.40  34.00  18.50  2.473  0.562  1.901  2.462  0.562  1.901  0.000  0.000  148.17   79.41    8.35   71.06    0.00    0.00   0.499   0.374   0.296   0.355   0.243   0.135   0.056
 2010 177    28  20.18  34.50  22.50  5.350  1.330  4.003  5.333  1.330  4.003  0.000  0.000  153.52   84.75    9.68   75.07    0.00    0.00   1.027   0.763   0.627   0.760   0.528   0.298   0.133
 2010 178    29  12.95  31.25  21.00  3.249  0.887  2.352  3.239  0.887  2.352  0.000  0.000  156.77   87.99   10.57   77.42    0.00    0.00   0.630   0.472   0.364   0.426   0.293   0.166   0.089
 2010 179    30  24.32  31.50  23.25  6.433  1.901  4.519  6.420  1.901  4.519  0.000  0.000  163.21   94.41   12.47   81.94    0.00    0.00   1.171   0.883   0.697   0.826   0.574   0.369   0.190
 2010 180    31  22.85  33.75  23.50  5.987  1.913  4.062  5.975  1.913  4.062  0.000  0.000  169.19  100.38   14.38   86.00    0.00    0.00   1.042   0.764   0.620   0.745   0.521   0.369   0.191
 2010 181    32  17.83  33.50  21.50  4.624  1.591  3.016  4.607  1.591  3.016  0.000  0.000  173.82  104.99   15.97   89.01    0.00    0.00   0.749   0.552   0.465   0.569   0.399   0.282   0.159
 2010 182    33  16.79  33.50  20.00  4.247  1.561  2.663  2.662  1.561  1.102  0.000  0.000  178.06  107.65   17.53   90.12    0.00    0.00   0.920   0.119   0.036   0.018   0.007   0.003   0.156
 2010 183    34  17.09  31.50  22.00  4.249  1.661  2.559  2.659  1.661  0.999  0.000  0.000  182.31  110.31   19.20   91.11    0.00    0.00   0.820   0.116   0.035   0.018   0.007   0.003   0.166
 2010 184    35  16.80  31.25  21.50  4.114  1.723  2.378  2.627  1.723  0.904  0.000  0.000  186.43  112.94   20.92   92.02    0.00    0.00   0.728   0.114   0.035   0.018   0.007   0.003   0.172
 2010 185    36  24.79  33.50  21.50  6.170  2.730  3.416  3.547  2.730  0.817  0.000  0.000  192.60  116.48   23.65   92.84    0.00    0.00   0.645   0.111   0.034   0.018   0.007   0.003   0.273
 2010 186    37  21.25  35.25  23.50  5.481  2.563  2.889  3.291  2.563  0.727  0.000  0.000  198.08  119.77   26.21   93.56    0.00    0.00   0.560   0.107   0.033   0.018   0.007   0.003   0.256
 2010 187    38  19.77  35.00  22.45  4.972  2.457  2.478  3.121  2.457  0.664  0.000  0.000  203.05  122.89   28.67   94.23    0.00    0.00   0.501   0.104   0.032   0.017   0.006   0.003   0.246
 2010 188    39  18.44  33.00  22.40  4.526  2.362  2.137  2.974  2.362  0.612  0.000  0.000  207.58  125.87   31.03   94.84    0.00    0.00   0.453   0.101   0.032   0.017   0.006   0.003   0.236
 2010 189    40  18.45  33.50  24.25  4.599  2.526  2.057  3.092  2.526  0.566  0.000  0.000  212.18  128.96   33.56   95.41    0.00    0.00   0.412   0.097   0.031   0.017   0.006   0.003   0.253
 2010 190    41  19.20  34.00  21.50  4.710  2.656  2.042  3.178  2.654  0.524  0.000  0.000  216.89  132.14   36.21   95.93    0.00    0.00   0.374   0.094   0.030   0.017   0.006   0.003   0.265
 2010 191    42  16.98  34.00  19.50  4.101  2.351  1.722  3.153  2.351  0.802  0.000  0.000  220.99  135.29   38.56   96.73    0.00    0.00   0.656   0.091   0.029   0.016   0.006   0.003   0.235
 2010 192    43  21.44  34.50  21.00  5.437  3.179  2.222  5.401  3.179  2.222  0.000  0.000  226.42  140.69   41.74   98.95    0.00    0.00   0.631   0.417   0.314   0.379   0.278   0.203   0.318
 2010 193    44  12.83  31.75  20.50  3.212  1.936  1.269  3.206  1.936  1.269  0.000  0.000  229.64  143.90   43.68  100.22    0.00    0.00   0.365   0.268   0.194   0.202   0.140   0.100   0.194
 2010 194    45  26.06  32.00  21.50  6.595  4.019  2.555  6.575  4.019  2.555  0.000  0.000  236.23  150.47   47.69  102.78    0.00    0.00   0.657   0.492   0.403   0.458   0.313   0.233   0.402
 2010 195    46  21.31  33.50  22.50  5.421  3.370  2.022  5.392  3.370  2.022  0.000  0.000  241.65  155.86   51.06  104.80    0.00    0.00   0.488   0.373   0.314   0.376   0.263   0.208   0.337
 2010 196    47  23.26  34.25  21.50  5.887  3.701  2.128  4.804  3.701  1.103  0.000  0.000  247.54  160.67   54.77  105.90    0.00    0.00   0.918   0.121   0.036   0.018   0.007   0.003   0.370
 2010 197    48  19.99  33.25  24.00  5.063  3.249  1.769  4.302  3.249  1.053  0.000  0.000  252.60  164.97   58.02  106.96    0.00    0.00   0.873   0.117   0.035   0.018   0.007   0.003   0.325
 2010 198    49  20.00  33.00  20.60  4.940  3.235  1.677  4.246  3.235  1.011  0.000  0.000  257.54  169.22   61.25  107.97    0.00    0.00   0.837   0.113   0.034   0.017   0.006   0.003   0.323
 2010 199    50  25.23  32.75  21.75  6.234  4.130  2.058  5.035  4.130  0.905  0.000  0.000  263.78  174.25   65.38  108.87    0.00    0.00   0.736   0.109   0.033   0.017   0.006   0.003   0.413
 2010 200    51  25.39  33.25  23.25  6.342  4.263  2.025  5.199  4.263  0.936  0.000  0.000  270.12  179.45   69.64  109.81    0.00    0.00   0.772   0.105   0.032   0.017   0.006   0.003   0.426
 2010 201    52  12.56  32.00  20.50  3.059  2.082  0.943  3.025  2.082  0.943  0.000  0.000  273.18  182.48   71.73  110.75    0.00    0.00   0.789   0.098   0.030   0.016   0.006   0.003   0.208
 2010 202    53  24.82  30.50  23.00  6.031  4.133  1.826  5.005  4.133  0.872  0.000  0.000  279.21  187.48   75.86  111.62    0.00    0.00   0.718   0.098   0.030   0.016   0.006   0.003   0.413
 2010 203    54  19.30  29.00  21.25  4.538  3.155  1.330  4.485  3.155  1.330  0.000  0.000  283.75  191.97   79.01  112.95    0.00    0.00   0.350   0.242   0.188   0.233   0.175   0.143   0.316
 2010 204    55   9.44  32.00  20.00  2.333  1.644  0.664  2.308  1.644  0.664  0.000  0.000  286.08  194.27   80.66  113.62    0.00    0.00   0.195   0.130   0.101   0.105   0.074   0.059   0.164
 2010 205    56   9.44  27.00  20.00  2.210  1.562  0.620  2.182  1.562  0.620  0.000  0.000  288.29  196.46   82.22  114.24    0.00    0.00   0.171   0.117   0.100   0.106   0.071   0.055   0.156
 2010 206    57  22.03  29.25  20.00  5.273  3.754  1.459  5.213  3.754  1.459  0.000  0.000  293.56  201.67   85.97  115.70    0.00    0.00   0.369   0.268   0.228   0.266   0.184   0.144   0.375
 2010 207    58  18.44  29.50  21.00  4.415  3.189  1.187  4.376  3.189  1.187  0.000  0.000  297.98  206.05   89.16  116.88    0.00    0.00   0.287   0.215   0.184   0.223   0.155   0.123   0.319
 2010 208    59  19.95  30.00  21.25  4.793  3.508  1.252  4.760  3.508  1.252  0.000  0.000  302.77  210.81   92.67  118.13    0.00    0.00   0.318   0.237   0.202   0.224   0.153   0.119   0.351
 2010 209    60  15.60  31.00  20.50  3.827  2.720  1.070  3.790  2.720  1.070  0.000  0.000  306.60  214.60   95.39  119.21    0.00    0.00   0.268   0.200   0.171   0.194   0.133   0.104   0.272
 2010 210    61  14.41  29.50  20.50  3.445  2.447  0.969  3.417  2.447  0.969  0.000  0.000  310.04  218.01   97.84  120.17    0.00    0.00   0.250   0.186   0.158   0.170   0.116   0.090   0.245
 2010 211    62  18.48  32.00  20.70  4.592  3.261  1.300  4.561  3.261  1.300  0.000  0.000  314.64  222.57  101.10  121.47    0.00    0.00   0.327   0.241   0.210   0.236   0.161   0.125   0.326
 2010 212    63  23.00  31.50  20.50  5.634  3.985  1.604  5.589  3.985  1.604  0.000  0.000  320.27  228.16  105.08  123.08    0.00    0.00   0.429   0.291   0.244   0.284   0.199   0.156   0.398
 2010 213    64  21.81  31.00  20.50  5.351  3.787  1.533  5.319  3.787  1.533  0.000  0.000  325.62  233.48  108.87  124.61    0.00    0.00   0.417   0.284   0.240   0.266   0.183   0.143   0.379
 2010 214    65  26.80  31.50  21.00  6.637  4.703  1.913  6.616  4.703  1.913  0.000  0.000  332.26  240.10  113.57  126.52    0.00    0.00   0.497   0.349   0.300   0.342   0.238   0.186   0.470
 2010 215    66  21.53  33.00  21.50  5.408  3.825  1.568  5.394  3.825  1.568  0.000  0.000  337.67  245.49  117.40  128.09    0.00    0.00   0.414   0.282   0.237   0.280   0.198   0.157   0.383
 2010 216    67  21.54  33.50  21.00  5.428  3.805  1.584  5.389  3.805  1.584  0.000  0.000  343.09  250.88  121.20  129.68    0.00    0.00   0.422   0.295   0.250   0.275   0.191   0.151   0.380
 2010 217    68  23.82  30.00  19.25  5.735  3.998  1.685  5.682  3.998  1.685  0.000  0.000  348.83  256.56  125.20  131.36    0.00    0.00   0.419   0.315   0.268   0.304   0.212   0.167   0.400
 2010 218    69  18.53  31.50  19.25  4.490  3.108  1.358  4.465  3.108  1.358  0.000  0.000  353.32  261.03  128.31  132.72    0.00    0.00   0.353   0.263   0.213   0.236   0.163   0.129   0.311
 2010 219    70  23.69  31.75  20.50  5.876  4.067  1.785  5.853  4.067  1.785  0.000  0.000  359.19  266.88  132.38  134.50    0.00    0.00   0.489   0.353   0.275   0.300   0.206   0.161   0.407
 2010 220    71  20.82  30.80  19.50  5.072  3.499  1.551  5.050  3.499  1.551  0.000  0.000  364.27  271.93  135.88  136.05    0.00    0.00   0.400   0.289   0.240   0.277   0.193   0.151   0.350
 2010 221    72   9.45  29.50  21.25  2.283  1.566  0.703  2.269  1.566  0.703  0.000  0.000  366.55  274.20  137.44  136.76    0.00    0.00   0.172   0.129   0.109   0.130   0.091   0.072   0.157
 2010 222    73  17.04  30.25  21.50  4.137  2.823  1.284  4.108  2.823  1.284  0.000  0.000  370.69  278.31  140.26  138.04    0.00    0.00   0.308   0.233   0.198   0.243   0.169   0.134   0.282
 2010 223    74  11.28  29.25  19.75  2.668  1.814  0.836  2.650  1.814  0.836  0.000  0.000  373.35  280.96  142.08  138.88    0.00    0.00   0.218   0.150   0.125   0.153   0.106   0.084   0.181
 2010 224    75  17.05  28.50  20.50  4.070  2.764  1.289  4.053  2.764  1.289  0.000  0.000  377.42  285.01  144.84  140.17    0.00    0.00   0.330   0.231   0.194   0.238   0.165   0.131   0.276
 2010 225    76  24.05  30.00  21.00  5.810  3.902  1.862  5.764  3.902  1.862  0.000  0.000  383.23  290.77  148.74  142.03    0.00    0.00   0.456   0.336   0.283   0.348   0.245   0.194   0.390
 2010 226    77  11.73  30.25  21.00  2.831  1.898  0.920  2.818  1.898  0.920  0.000  0.000  386.06  293.59  150.64  142.95    0.00    0.00   0.227   0.168   0.143   0.176   0.117   0.089   0.190
 2010 227    78  19.80  28.75  19.00  4.720  3.157  1.557  4.714  3.157  1.557  0.000  0.000  390.79  298.30  153.80  144.51    0.00    0.00   0.381   0.284   0.242   0.299   0.200   0.152   0.316
 2010 228    79  26.51  30.00  18.60  6.314  4.178  2.116  6.293  4.178  2.116  0.000  0.000  397.10  304.60  157.98  146.62    0.00    0.00   0.505   0.384   0.327   0.404   0.278   0.217   0.418
 2010 229    80  18.75  32.50  21.00  4.642  3.044  1.583  4.627  3.044  1.583  0.000  0.000  401.74  309.22  161.02  148.20    0.00    0.00   0.401   0.301   0.252   0.284   0.194   0.151   0.304
 2010 230    81  21.65  32.00  17.50  5.298  3.411  1.846  5.257  3.411  1.846  0.000  0.000  407.04  314.48  164.43  150.05    0.00    0.00   0.464   0.348   0.292   0.333   0.230   0.180   0.341
 2010 231    82  25.01  32.25  20.00  6.172  3.929  2.198  6.127  3.929  2.198  0.000  0.000  413.21  320.61  168.36  152.25    0.00    0.00   0.530   0.404   0.342   0.409   0.287   0.225   0.393
 2010 232    83  25.78  32.25  20.50  6.352  3.992  2.320  6.313  3.992  2.320  0.000  0.000  419.56  326.92  172.35  154.57    0.00    0.00   0.541   0.426   0.363   0.438   0.309   0.244   0.399
 2010 233    84  11.72  31.50  19.00  2.826  1.747  1.062  2.809  1.747  1.062  0.000  0.000  422.39  329.73  174.10  155.63    0.00    0.00   0.278   0.202   0.160   0.188   0.131   0.103   0.175
 2010 234    85  18.60  30.95  19.50  4.591  2.788  1.776  4.563  2.788  1.776  0.000  0.000  426.98  334.29  176.89  157.41    0.00    0.00   0.463   0.333   0.267   0.319   0.221   0.173   0.279
