*SOIL-PLANT-ATMOSPHERE MODULE OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.7.2.000 -release      OCT 15, 2021; 17:59:33
                                                                                
*RUN   1        :             CSM335_date_1 MZCER047 ITSA1301    1              
 MODEL          : MZCER047 - Maize                                              
 EXPERIMENT     : ITSA1301 SG CALIBRATION SETUP OF SORGHUM SOWING DATES         
 DATA PATH      :                                                               
 TREATMENT  1   :             CSM335_date_1 MZCER047                            
  
!                                                                                                                                                Soil evaporation (mm/d) by soil depth (cm):
!                                                                                                                                                0-5    5-15   15-30   30-53   53-77  77-100
@YEAR DOY   DAS   SRAA  TMAXA  TMINA   EOAA   EOPA   EOSA   ETAA   EPAA   ESAA   EFAA   EMAA    EOAC    ETAC    EPAC    ESAC    EFAC    EMAC    ES1D    ES2D    ES3D    ES4D    ES5D    ES6D   TRWUD
 2008 136    27  20.20  33.10  24.50  5.476  1.226  4.242  1.949  0.832  1.117  0.000  0.000  141.87   89.90    7.76   82.14    0.00    0.00   0.892   0.146   0.045   0.021   0.009   0.004   0.083
 2008 137    28  10.80  34.10  23.50  2.922  0.685  2.232  1.715  0.685  1.030  0.000  0.000  144.79   91.62    8.44   83.17    0.00    0.00   0.807   0.144   0.044   0.021   0.009   0.004   0.069
 2008 138    29  17.10  32.00  24.60  4.533  1.185  3.341  4.187  0.846  3.341  0.000  0.000  149.33   95.80    9.29   86.51    0.00    0.00   0.779   0.680   0.584   0.571   0.430   0.297   0.085
 2008 139    30  21.80  33.00  24.00  5.987  1.634  4.341  5.975  1.634  4.341  0.000  0.000  155.31  101.78   10.92   90.86    0.00    0.00   1.127   0.855   0.730   0.709   0.531   0.390   0.163
 2008 140    31  14.80  34.00  24.70  4.065  1.247  2.811  4.057  1.247  2.811  0.000  0.000  159.38  105.84   12.17   93.67    0.00    0.00   0.686   0.552   0.472   0.471   0.356   0.273   0.125
 2008 141    32  21.10  33.80  21.90  5.633  1.923  3.697  3.256  1.923  1.333  0.000  0.000  165.01  109.09   14.09   95.00    0.00    0.00   1.093   0.156   0.048   0.022   0.009   0.005   0.192
 2008 142    33  22.80  34.00  24.60  6.160  2.310  3.836  3.527  2.310  1.218  0.000  0.000  171.17  112.62   16.40   96.22    0.00    0.00   0.982   0.152   0.047   0.022   0.009   0.005   0.231
 2008 143    34  20.00  31.70  25.00  5.255  2.123  3.117  3.232  2.115  1.117  0.000  0.000  176.43  115.85   18.52   97.33    0.00    0.00   0.886   0.149   0.046   0.022   0.009   0.005   0.211
 2008 144    35  22.80  31.50  25.10  5.945  2.584  3.340  3.957  2.584  1.374  0.000  0.000  182.37  119.81   21.10   98.71    0.00    0.00   1.137   0.155   0.046   0.021   0.009   0.005   0.258
 2008 145    36  13.50  32.60  25.40  3.625  1.666  1.943  3.610  1.666  1.943  0.000  0.000  186.00  123.42   22.77  100.65    0.00    0.00   0.549   0.378   0.306   0.299   0.231   0.181   0.167
 2008 146    37  13.00  33.10  26.30  3.509  1.732  1.765  3.497  1.732  1.765  0.000  0.000  189.51  126.92   24.50  102.42    0.00    0.00   0.469   0.347   0.290   0.277   0.214   0.168   0.173
 2008 147    38  20.90  30.30  26.00  5.427  2.844  2.564  4.268  2.844  1.424  0.000  0.000  194.93  131.18   27.34  103.84    0.00    0.00   1.186   0.156   0.047   0.021   0.009   0.005   0.284
 2008 148    39  23.10  31.10  23.90  5.914  3.288  2.607  5.895  3.288  2.607  0.000  0.000  200.85  137.08   30.63  106.45    0.00    0.00   0.671   0.526   0.445   0.414   0.311   0.240   0.329
 2008 149    40  12.20  31.00  25.10  3.166  1.828  1.325  3.153  1.828  1.325  0.000  0.000  204.01  140.23   32.46  107.77    0.00    0.00   0.361   0.269   0.224   0.206   0.152   0.114   0.183
 2008 150    41  19.80  31.00  21.20  4.985  3.006  1.963  4.969  3.006  1.963  0.000  0.000  209.00  145.20   35.47  109.73    0.00    0.00   0.513   0.387   0.325   0.317   0.239   0.182   0.301
 2008 151    42  11.20  32.90  25.50  2.938  1.866  1.065  2.931  1.866  1.065  0.000  0.000  211.94  148.13   37.33  110.80    0.00    0.00   0.271   0.207   0.176   0.175   0.133   0.103   0.187
 2008 152    43  15.70  32.50  25.40  4.085  2.670  1.401  4.072  2.670  1.401  0.000  0.000  216.02  152.20   40.00  112.20    0.00    0.00   1.165   0.154   0.047   0.022   0.009   0.005   0.267
 2008 153    44  19.10  30.30  25.10  4.821  3.269  1.531  4.566  3.269  1.296  0.000  0.000  220.84  156.77   43.27  113.50    0.00    0.00   1.060   0.153   0.047   0.022   0.009   0.005   0.327
 2008 154    45  22.80  29.50  25.00  5.674  3.997  1.647  5.645  3.997  1.647  0.000  0.000  226.52  162.41   47.27  115.14    0.00    0.00   0.397   0.321   0.276   0.277   0.212   0.164   0.400
 2008 155    46  10.50  33.60  24.60  2.732  1.991  0.727  2.718  1.991  0.727  0.000  0.000  229.25  165.13   49.26  115.87    0.00    0.00   0.187   0.140   0.119   0.119   0.091   0.070   0.199
 2008 156    47   9.60  29.60  24.60  2.387  1.767  0.611  2.378  1.767  0.611  0.000  0.000  231.64  167.51   51.03  116.48    0.00    0.00   0.156   0.118   0.100   0.101   0.077   0.059   0.177
 2008 157    48  23.10  30.50  25.00  5.805  4.342  1.440  5.782  4.342  1.440  0.000  0.000  237.44  173.29   55.37  117.92    0.00    0.00   0.383   0.276   0.233   0.233   0.178   0.138   0.434
 2008 158    49  11.90  33.00  25.10  3.070  2.342  0.714  3.055  2.342  0.714  0.000  0.000  240.51  176.35   57.71  118.64    0.00    0.00   0.188   0.137   0.116   0.115   0.088   0.069   0.234
 2008 159    50  13.20  31.90  23.70  3.327  2.553  0.750  3.303  2.553  0.750  0.000  0.000  243.84  179.65   60.26  119.39    0.00    0.00   0.194   0.144   0.123   0.122   0.094   0.073   0.255
 2008 160    51  22.60  31.40  25.00  5.710  4.429  1.246  5.675  4.429  1.246  0.000  0.000  249.55  185.32   64.69  120.63    0.00    0.00   1.040   0.134   0.041   0.019   0.008   0.004   0.443
 2008 161    52  17.70  32.60  24.50  4.499  3.542  0.932  4.474  3.542  0.932  0.000  0.000  254.05  189.80   68.23  121.56    0.00    0.00   0.766   0.107   0.033   0.015   0.007   0.003   0.354
 2008 162    53  17.20  33.50  23.80  4.383  3.484  0.873  4.357  3.484  0.873  0.000  0.000  258.43  194.16   71.72  122.44    0.00    0.00   0.710   0.105   0.032   0.015   0.007   0.003   0.348
 2008 163    54  20.70  28.70  25.80  5.079  4.073  0.975  5.023  4.048  0.975  0.000  0.000  263.51  199.18   75.77  123.41    0.00    0.00   0.785   0.123   0.038   0.018   0.008   0.004   0.405
 2008 164    55  21.30  30.80  22.60  5.216  4.219  0.961  4.486  3.525  0.961  0.000  0.000  268.72  203.66   79.29  124.37    0.00    0.00   0.802   0.104   0.031   0.014   0.006   0.003   0.352
 2008 165    56  11.90  31.90  23.60  2.984  2.426  0.541  2.967  2.426  0.541  0.000  0.000  271.71  206.63   81.72  124.91    0.00    0.00   0.148   0.104   0.085   0.086   0.066   0.051   0.243
 2008 166    57   9.60  32.50  21.90  2.393  1.956  0.424  2.380  1.956  0.424  0.000  0.000  274.10  209.01   83.67  125.34    0.00    0.00   0.108   0.082   0.070   0.070   0.053   0.041   0.196
 2008 167    58  20.00  29.00  22.40  4.822  3.955  0.839  4.794  3.955  0.839  0.000  0.000  278.92  213.80   87.63  126.18    0.00    0.00   0.219   0.159   0.136   0.136   0.106   0.083   0.395
 2008 168    59  16.50  27.50  24.30  3.962  3.266  0.665  3.931  3.266  0.665  0.000  0.000  282.89  217.74   90.89  126.84    0.00    0.00   0.170   0.127   0.109   0.109   0.084   0.065   0.327
 2008 169    60  10.80  28.50  22.10  2.575  2.133  0.419  2.553  2.133  0.419  0.000  0.000  285.46  220.29   93.03  127.26    0.00    0.00   0.108   0.080   0.068   0.069   0.053   0.041   0.213
 2008 170    61   9.60  32.00  23.90  2.406  2.003  0.384  2.388  2.003  0.384  0.000  0.000  287.87  222.68   95.03  127.64    0.00    0.00   0.099   0.074   0.063   0.063   0.049   0.037   0.200
 2008 171    62   9.60  31.30  24.50  2.397  2.007  0.377  2.384  2.007  0.377  0.000  0.000  290.26  225.06   97.04  128.02    0.00    0.00   0.096   0.072   0.062   0.062   0.048   0.037   0.201
 2008 172    63  20.20  32.00  22.40  5.004  4.198  0.773  4.972  4.198  0.773  0.000  0.000  295.27  230.03  101.24  128.79    0.00    0.00   0.644   0.084   0.026   0.012   0.005   0.003   0.420
 2008 173    64  19.20  31.40  25.00  4.806  4.052  0.717  4.769  4.052  0.717  0.000  0.000  300.08  234.80  105.29  129.51    0.00    0.00   0.592   0.081   0.025   0.012   0.005   0.003   0.405
 2008 174    65  18.70  30.10  24.80  4.607  3.909  0.664  4.573  3.909  0.664  0.000  0.000  304.68  239.37  109.20  130.18    0.00    0.00   0.545   0.078   0.024   0.011   0.005   0.003   0.391
 2008 175    66  18.70  30.20  23.00  4.549  3.880  0.635  4.514  3.880  0.635  0.000  0.000  309.23  243.89  113.08  130.81    0.00    0.00   0.519   0.075   0.023   0.011   0.005   0.002   0.388
 2008 176    67   9.90  31.80  24.60  2.475  2.124  0.334  2.458  2.124  0.334  0.000  0.000  311.71  246.35  115.20  131.14    0.00    0.00   0.280   0.035   0.011   0.005   0.002   0.001   0.212
 2008 177    68  16.10  32.90  22.80  4.030  3.469  0.535  4.004  3.469  0.535  0.000  0.000  315.74  250.35  118.67  131.68    0.00    0.00   0.152   0.102   0.082   0.084   0.065   0.051   0.347
 2008 178    69  13.30  31.50  24.80  3.323  2.880  0.428  3.308  2.880  0.428  0.000  0.000  319.06  253.66  121.55  132.11    0.00    0.00   0.361   0.045   0.013   0.006   0.003   0.001   0.288
 2008 179    70  15.40  31.00  25.10  3.833  3.333  0.482  3.816  3.333  0.482  0.000  0.000  322.89  257.47  124.88  132.59    0.00    0.00   0.405   0.051   0.015   0.007   0.003   0.002   0.333
 2008 180    71  13.40  30.40  25.50  3.326  2.856  0.454  3.310  2.856  0.454  0.000  0.000  326.22  260.78  127.74  133.04    0.00    0.00   0.384   0.047   0.013   0.006   0.003   0.001   0.286
 2008 181    72  19.10  31.00  23.30  4.704  4.025  0.649  4.675  4.025  0.649  0.000  0.000  330.92  265.46  131.76  133.69    0.00    0.00   0.182   0.124   0.099   0.102   0.079   0.062   0.403
 2008 182    73  10.10  32.30  22.50  2.505  2.140  0.349  2.490  2.140  0.349  0.000  0.000  333.43  267.95  133.90  134.04    0.00    0.00   0.292   0.037   0.011   0.005   0.002   0.001   0.214
 2008 183    74  11.20  32.00  22.50  2.769  2.366  0.390  2.756  2.366  0.390  0.000  0.000  336.20  270.70  136.27  134.43    0.00    0.00   0.330   0.040   0.012   0.005   0.002   0.001   0.237
 2008 184    75  14.80  31.50  23.40  3.668  3.128  0.522  3.650  3.128  0.522  0.000  0.000  339.86  274.35  139.40  134.95    0.00    0.00   0.445   0.050   0.015   0.007   0.003   0.002   0.313
 2008 185    76  20.10  31.50  22.70  4.952  4.213  0.712  2.717  2.005  0.712  0.000  0.000  344.82  277.07  141.40  135.67    0.00    0.00   0.204   0.144   0.109   0.107   0.083   0.065   0.201
 2008 186    77  18.50  30.00  23.30  4.524  3.809  0.684  4.493  3.809  0.684  0.000  0.000  349.34  281.56  145.21  136.35    0.00    0.00   0.197   0.143   0.108   0.099   0.077   0.060   0.381
 2008 187    78  16.90  27.70  22.50  3.999  3.363  0.605  3.968  3.363  0.605  0.000  0.000  353.34  285.53  148.58  136.96    0.00    0.00   0.509   0.064   0.019   0.008   0.003   0.002   0.336
