*PLANT N OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.7.2.000 -release      OCT 15, 2021; 17:59:33
                                                                                
*RUN   1        :             CSM335_date_1 MZCER047 ITSA1301    1              
 MODEL          : MZCER047 - Maize                                              
 EXPERIMENT     : ITSA1301 SG CALIBRATION SETUP OF SORGHUM SOWING DATES         
 DATA PATH      :                                                               
 TREATMENT  1   :             CSM335_date_1 MZCER047                            
  
@YEAR DOY   DAS   DAP   CNAD   GNAD   VNAD   GN%D   VN%D   NUPC   LNAD   SNAD   LN%D   SN%D   RN%D   SNN0C   SNN1C
 2008 157    48    46   54.0    0.0   54.0   0.00   2.79   57.0   39.3   14.7    2.8   2.79   1.09    0.00    0.35
 2008 158    49    47   56.4    0.0   56.4   0.00   2.76   59.4   39.9   16.6    2.8   2.76   1.08    0.00    0.38
 2008 159    50    48   59.2    0.0   59.2   0.00   2.73   62.2   40.5   18.7    2.7   2.73   1.08    0.00    0.40
 2008 160    51    49   64.2    0.0   64.2   0.00   2.70   67.4   41.7   22.5    2.7   2.70   1.09    0.00    0.42
 2008 161    52    50   68.0    0.0   68.0   0.00   2.67   71.3   42.5   25.5    2.7   2.67   1.09    0.00    0.44
 2008 162    53    51   71.6    0.0   71.6   0.00   2.64   75.0   43.2   28.4    2.6   2.64   1.09    0.00    0.47
 2008 163    54    52   76.0    0.0   76.0   0.00   2.61   79.6   44.1   31.9    2.6   2.61   1.10    0.00    0.49
 2008 164    55    53   79.7    0.0   79.7   0.00   2.61   83.8   45.0   34.7    2.6   2.61   1.14    0.00    0.52
 2008 165    56    54   81.1    0.0   81.1   0.00   2.56   85.0   44.8   36.3    2.6   2.56   1.08    0.00    0.54
 2008 166    57    55   82.7    0.0   82.7   0.00   2.53   86.5   44.9   37.7    2.5   2.53   1.08    0.00    0.57
 2008 167    58    56   86.8    0.0   86.8   0.00   2.51   90.9   45.7   41.2    2.5   2.51   1.09    0.00    0.60
 2008 168    59    57   90.0    0.0   90.0   0.00   2.48   94.1   46.2   43.8    2.5   2.48   1.08    0.00    0.62
 2008 169    60    58   91.7    0.0   91.7   0.00   2.46   95.9   46.3   45.4    2.5   2.46   1.08    0.00    0.65
 2008 170    61    59   93.0    0.0   93.0   0.00   2.43   97.2   46.3   46.7    2.4   2.43   1.08    0.00    0.68
 2008 171    62    60   94.3    0.0   94.3   0.00   2.40   98.5   46.3   48.0    2.4   2.40   1.08    0.00    0.71
 2008 172    63    61   98.1    0.0   98.1   0.00   2.39  102.6   47.1   51.0    2.4   2.39   1.09    0.00    0.73
 2008 173    64    62  101.1    0.0  101.1   0.00   2.37  105.6   47.6   53.4    2.4   2.37   1.09    0.00    0.76
