*SOM N DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.7.2.000 -release      OCT 15, 2021; 17:59:32
                                                                                
*RUN   1        :             CSM335_date_1 MZCER047 ITSA1301    1              
 MODEL          : MZCER047 - Maize                                              
 EXPERIMENT     : ITSA1301 SG CALIBRATION SETUP OF SORGHUM SOWING DATES         
 DATA PATH      :                                                               
 TREATMENT  1   :             CSM335_date_1 MZCER047                            
  
!                                                                                                                                                                                                                                                                                                                                                                                                                                                Cumul.
!               <---- SOM N in top layers ----> <---------------- Total Soil Organic Nitrogen ----------------> <-------- Active Soil Organic Nitrogen (SOM1) --------> <---- Intermediate Soil Organic N (SOM2) -----> <------- Passive Soil Organic N (SOM3) -------> <----------------- Litter Nitrogen -------------------> <------------- Metabolic Litter Nitrogen -------------> <------------ Structural Litter Nitrogen ------------->  Res. N
!               20cm-kg  20cm-% 40cm-kg  40cm-%   Total Surface    Soil     0-5    5-15   15-30   30-60  60-120 Surface    Soil     0-5    5-15   15-30   30-60  60-120    Soil     0-5    5-15   15-30   30-60  60-120    Soil     0-5    5-15   15-30   30-60  60-120 Surface    Soil     0-5    5-15   15-30   30-60  60-120 Surface    Soil     0-5    5-15   15-30   30-60  60-120 Surface    Soil     0-5    5-15   15-30   30-60  60-120 (kg/ha)
@YEAR DOY   DAS  SNS20D  SN%20D  SNS40D  SN%40D    SOND    SN0D    SNTD    SN1D    SN2D    SN3D    SN4D   SN5+D   S1N0D   S1NTD   S1N1D   S1N2D   S1N3D   S1N4D  S1N5+D   S2NTD   S2N1D   S2N2D   S2N3D   S2N4D  S2N5+D   S3NTD   S3N1D   S3N2D   S3N3D   S3N4D  S3N5+D    LN0D    LNTD    LN1D    LN2D    LN3D    LN4D   LN5+D   MEN0D   MENTD   MEN1D   MEN2D   MEN3D   MEN4D  MEN5+D   STN0D   STNTD   STN1D   STN2D   STN3D   STN4D  STN5+D   RESNC
 2014 127     0    4530   0.160    5109   0.180   32397       0   32397    1133    2266    3400    8530   17069       0     271      42      84     126       6      12    3027     470     941    1412      68     135   29095     620    1239    1860    8456   16921    0.00    4.50    0.56    0.93    1.02    1.17    0.81    0.00    4.11    0.51    0.85    0.94    1.07    0.74    0.00    0.39    0.05    0.08    0.09    0.10    0.07       0
 2014 128     1    4530   0.159    5109   0.180   32397       0   32397    1132    2266    3400    8530   17069       0     271      42      84     126       6      12    3026     470     941    1412      68     135   29095     620    1239    1860    8456   16921    0.00    4.48    0.55    0.93    1.02    1.17    0.81    0.00    4.09    0.50    0.85    0.93    1.06    0.74    0.00    0.39    0.05    0.08    0.09    0.10    0.07       0
 2014 129     2    4529   0.159    5109   0.180   32397       0   32397    1132    2266    3400    8530   17069       0     271      42      84     126       6      12    3026     470     941    1412      68     135   29095     620    1239    1860    8456   16921    0.00    4.46    0.53    0.93    1.02    1.16    0.81    0.00    4.06    0.48    0.85    0.93    1.06    0.74    0.00    0.39    0.05    0.08    0.09    0.10    0.07       0
 2014 130     3    4529   0.159    5109   0.180   32396       0   32396    1132    2266    3400    8530   17069       0     271      42      84     126       6      12    3026     470     941    1412      68     135   29095     620    1239    1860    8456   16921    0.00    4.42    0.51    0.93    1.02    1.16    0.81    0.00    4.03    0.46    0.84    0.93    1.06    0.74    0.00    0.39    0.05    0.08    0.09    0.10    0.07       0
 2014 131     4    4529   0.159    5109   0.180   32396       0   32396    1132    2265    3400    8530   17069       0     270      42      84     126       6      12    3026     470     941    1412      67     135   29095     620    1239    1860    8456   16921    0.00    4.37    0.48    0.90    1.02    1.16    0.81    0.00    3.98    0.43    0.82    0.93    1.06    0.74    0.00    0.39    0.05    0.08    0.09    0.10    0.07       0
 2014 132     5    4528   0.159    5109   0.180   32395       0   32395    1131    2265    3400    8530   17069       0     270      42      84     126       6      12    3025     470     941    1412      67     135   29095     620    1239    1860    8456   16921    0.00    4.30    0.46    0.86    1.02    1.16    0.81    0.00    3.91    0.41    0.78    0.93    1.06    0.73    0.00    0.39    0.05    0.08    0.09    0.10    0.07       0
 2014 133     6    4527   0.159    5109   0.180   32394       0   32394    1131    2264    3400    8530   17069       0     270      42      84     126       6      12    3025     470     940    1412      67     135   29095     620    1240    1860    8456   16921    0.00    4.23    0.44    0.82    1.01    1.16    0.80    0.00    3.84    0.39    0.74    0.93    1.05    0.73    0.00    0.39    0.05    0.08    0.09    0.10    0.07       0
 2014 134     7    4526   0.159    5109   0.180   32393       0   32393    1131    2264    3400    8530   17069       0     269      41      83     126       6      12    3024     470     940    1412      67     135   29095     620    1240    1860    8456   16921    0.00    4.17    0.42    0.78    1.01    1.15    0.80    0.00    3.78    0.37    0.70    0.92    1.05    0.73    0.00    0.39    0.05    0.08    0.09    0.10    0.07       0
 2014 135     8    4526   0.159    5109   0.180   32392       0   32392    1131    2263    3399    8530   17069       0     269      41      83     126       6      12    3024     469     940    1412      67     135   29095     620    1240    1860    8456   16921    0.00    4.10    0.40    0.75    1.00    1.15    0.80    0.00    3.71    0.35    0.67    0.91    1.05    0.73    0.00    0.39    0.05    0.08    0.09    0.10    0.07       0
 2014 136     9    4525   0.159    5109   0.180   32391       0   32391    1130    2263    3399    8530   17069       0     269      41      83     126       6      12    3023     469     940    1412      67     135   29096     620    1240    1860    8456   16921    0.00    4.04    0.38    0.71    0.99    1.15    0.80    0.00    3.65    0.33    0.63    0.90    1.05    0.73    0.00    0.39    0.05    0.08    0.09    0.10    0.07       0
