*Surface Mulch daily output file

*DSSAT Cropping System Model Ver. 4.7.2.000 -release      OCT 15, 2021; 17:59:32
                                                                                
*RUN   1        :             CSM335_date_1 MZCER047 ITSA1301    1              
 MODEL          : MZCER047 - Maize                                              
 EXPERIMENT     : ITSA1301 SG CALIBRATION SETUP OF SORGHUM SOWING DATES         
 DATA PATH      :                                                               
 TREATMENT  1   :             CSM335_date_1 MZCER047                            
  
@YEAR DOY   DAS    MCFD   MDEPD    MWAD    MWTD
 2014 127     0   0.000    0.00       0    0.00
 2014 128     1   0.000    0.00       0    0.00
 2014 129     2   0.000    0.00       0    0.00
 2014 130     3   0.000    0.00       0    0.00
 2014 131     4   0.000    0.00       0    0.00
 2014 132     5   0.000    0.00       0    0.00
 2014 133     6   0.000    0.00       0    0.00
 2014 134     7   0.000    0.00       0    0.00
 2014 135     8   0.000    0.00       0    0.00
 2014 136     9   0.000    0.00       0    0.00
 2014 137    10   0.000    0.00       0    0.00
 2014 138    11   0.000    0.00       0    0.00
 2014 139    12   0.000    0.00       0    0.00
 2014 140    13   0.000    0.00       0    0.00
 2014 141    14   0.000    0.00       0    0.00
 2014 142    15   0.000    0.00       0    0.00
 2014 143    16   0.000    0.00       0    0.00
 2014 144    17   0.000    0.00       0    0.00
 2014 145    18   0.000    0.00       0    0.00
 2014 146    19   0.000    0.00       0    0.00
 2014 147    20   0.000    0.00       0    0.00
 2014 148    21   0.000    0.00       0    0.00
 2014 149    22   0.000    0.00       0    0.00
 2014 150    23   0.000    0.00       0    0.00
 2014 151    24   0.000    0.00       0    0.00
 2014 152    25   0.000    0.00       0    0.00
 2014 153    26   0.000    0.00       0    0.00
 2014 154    27   0.000    0.00       0    0.00
 2014 155    28   0.000    0.00       0    0.00
 2014 156    29   0.000    0.00       0    0.00
 2014 157    30   0.000    0.00       0    0.00
 2014 158    31   0.000    0.00       0    0.00
 2014 159    32   0.000    0.00       0    0.00
 2014 160    33   0.000    0.00       0    0.00
 2014 161    34   0.000    0.00       0    0.00
 2014 162    35   0.000    0.00       0    0.00
 2014 163    36   0.000    0.00       0    0.00
 2014 164    37   0.000    0.00       0    0.00
 2014 165    38   0.000    0.00       0    0.00
 2014 166    39   0.000    0.00       0    0.00
 2014 167    40   0.000    0.00       0    0.00
 2014 168    41   0.000    0.00       0    0.00
 2014 169    42   0.000    0.00       0    0.00
 2014 170    43   0.000    0.00       0    0.00
 2014 171    44   0.000    0.00       0    0.00
 2014 172    45   0.000    0.00       0    0.00
 2014 173    46   0.000    0.00       0    0.00
 2014 174    47   0.000    0.00       0    0.00
 2014 175    48   0.000    0.00       0    0.00
 2014 176    49   0.000    0.00       0    0.00
 2014 177    50   0.000    0.00       0    0.00
 2014 178    51   0.000    0.00       0    0.00
 2014 179    52   0.000    0.00       0    0.00
 2014 180    53   0.000    0.00       0    0.00
 2014 181    54   0.000    0.00       0    0.00
 2014 182    55   0.000    0.00       0    0.00
 2014 183    56   0.000    0.00       0    0.00
 2014 184    57   0.000    0.00       0    0.00
 2014 185    58   0.000    0.00       0    0.00
 2014 186    59   0.000    0.00       0    0.00
 2014 187    60   0.000    0.00       0    0.00
 2014 188    61   0.000    0.00       0    0.00
 2014 189    62   0.000    0.00       0    0.00
 2014 190    63   0.000    0.00       0    0.00
 2014 191    64   0.000    0.00       0    0.00
 2014 192    65   0.000    0.00       0    0.00
 2014 193    66   0.000    0.00       0    0.00
 2014 194    67   0.000    0.00       0    0.00
 2014 195    68   0.000    0.00       0    0.00
 2014 196    69   0.000    0.00       0    0.00
 2014 197    70   0.000    0.00       0    0.00
 2014 198    71   0.000    0.00       0    0.00
 2014 199    72   0.000    0.00       0    0.00
 2014 200    73   0.000    0.00       0    0.00
 2014 201    74   0.000    0.00       0    0.00
 2014 202    75   0.000    0.00       0    0.00
 2014 203    76   0.000    0.00       0    0.00
 2014 204    77   0.000    0.00       0    0.00
 2014 205    78   0.000    0.00       0    0.00
 2014 206    79   0.000    0.00       0    0.00
 2014 207    80   0.000    0.00       0    0.00
 2014 208    81   0.000    0.00       0    0.00
 2014 209    82   0.000    0.00       0    0.00
 2014 210    83   0.000    0.00       0    0.00
 2014 211    84   0.000    0.00       0    0.00
 2014 212    85   0.000    0.00       0    0.00
 2014 213    86   0.000    0.00       0    0.00
 2014 214    87   0.000    0.00       0    0.00
 2014 215    88   0.000    0.00       0    0.00
 2014 216    89   0.000    0.00       0    0.00
 2014 217    90   0.000    0.00       0    0.00
 2014 218    91   0.000    0.00       0    0.00
 2014 219    92   0.000    0.00       0    0.00
 2014 220    93   0.000    0.00       0    0.00
 2014 221    94   0.000    0.00       0    0.00
 2014 222    95   0.000    0.00       0    0.00
 2014 223    96   0.000    0.00       0    0.00
 2014 224    97   0.000    0.00       0    0.00
 2014 225    98   0.000    0.00       0    0.00
 2014 226    99   0.000    0.00       0    0.00
 2014 227   100   0.000    0.00       0    0.00
 2014 228   101   0.000    0.00       0    0.00
 2014 229   102   0.000    0.00       0    0.00
 2014 230   103   0.000    0.00       0    0.00
 2014 231   104   0.000    0.00       0    0.00
 2014 232   105   0.000    0.00       0    0.00
 2014 233   106   0.000    0.00       0    0.00
 2014 234   107   0.000    0.00       0    0.00
 2014 235   108   0.000    0.00       0    0.00
 2014 236   109   0.000    0.00       0    0.00
 2014 237   110   0.000    0.00       0    0.00
 2014 238   111   0.000    0.00       0    0.00
 2014 239   112   0.000    0.00       0    0.00
 2014 240   113   0.000    0.00       0    0.00
 2014 241   114   0.000    0.00       0    0.00
 2014 242   115   0.000    0.00       0    0.00
 2014 243   116   0.000    0.00       0    0.00
 2014 244   117   0.000    0.00       0    0.00
 2014 245   118   0.000    0.00       0    0.00
 2014 246   119   0.000    0.00       0    0.00
 2014 247   120   0.000    0.00       0    0.00
 2014 248   121   0.000    0.00       0    0.00
 2014 249   122   0.000    0.00       0    0.00
 2014 250   123   0.000    0.00       0    0.00
 2014 251   124   0.000    0.00       0    0.00
 2014 252   125   0.000    0.00       0    0.00
 2014 253   126   0.000    0.00       0    0.00
 2014 254   127   0.000    0.00       0    0.00
 2014 255   128   0.000    0.00       0    0.00
 2014 256   129   0.000    0.00       0    0.00
 2014 257   130   0.000    0.00       0    0.00
 2014 258   131   0.000    0.00       0    0.00
 2014 259   132   0.000    0.00       0    0.00
 2014 260   133   0.000    0.00       0    0.00
 2014 261   134   0.000    0.00       0    0.00
 2014 262   135   0.000    0.00       0    0.00
 2014 263   136   0.000    0.00       0    0.00
 2014 264   137   0.000    0.00       0    0.00
 2014 265   138   0.000    0.00       0    0.00
 2014 266   139   0.000    0.00       0    0.00
 2014 267   140   0.000    0.00       0    0.00
 2014 268   141   0.000    0.00       0    0.00
 2014 269   142   0.000    0.00       0    0.00
 2014 270   143   0.000    0.00       0    0.00
 2014 271   144   0.000    0.00       0    0.00
 2014 272   145   0.000    0.00       0    0.00
 2014 273   146   0.000    0.00       0    0.00
 2014 274   147   0.000    0.00       0    0.00
 2014 275   148   0.000    0.00       0    0.00
 2014 276   149   0.000    0.00       0    0.00
 2014 277   150   0.000    0.00       0    0.00
 2014 278   151   0.000    0.00       0    0.00
 2014 279   152   0.000    0.00       0    0.00
 2014 280   153   0.000    0.00       0    0.00
 2014 281   154   0.000    0.00       0    0.00
 2014 282   155   0.000    0.00       0    0.00
 2014 283   156   0.000    0.00       0    0.00
 2014 284   157   0.000    0.00       0    0.00
 2014 285   158   0.000    0.00       0    0.00
 2014 286   159   0.000    0.00       0    0.00
 2014 287   160   0.000    0.00       0    0.00
 2014 288   161   0.000    0.00       0    0.00
 2014 289   162   0.000    0.00       0    0.00
 2014 290   163   0.000    0.00       0    0.00
 2014 291   164   0.000    0.00       0    0.00
 2014 292   165   0.000    0.00       0    0.00
 2014 293   166   0.000    0.00       0    0.00
 2014 294   167   0.000    0.00       0    0.00
 2014 295   168   0.000    0.00       0    0.00
 2014 296   169   0.000    0.00       0    0.00
 2014 297   170   0.000    0.00       0    0.00
 2014 298   171   0.000    0.00       0    0.00
 2014 299   172   0.000    0.00       0    0.00
 2014 300   173   0.000    0.00       0    0.00
 2014 301   174   0.000    0.00       0    0.00
 2014 302   175   0.000    0.00       0    0.00
 2014 303   176   0.000    0.00       0    0.00
 2014 304   177   0.000    0.00       0    0.00
 2014 305   178   0.000    0.00       0    0.00
 2014 306   179   0.000    0.00       0    0.00
 2014 307   180   0.000    0.00       0    0.00
 2014 308   181   0.000    0.00       0    0.00
 2014 309   182   0.000    0.00       0    0.00
 2014 310   183   0.000    0.00       0    0.00
 2014 311   184   0.000    0.00       0    0.00
 2014 312   185   0.000    0.00       0    0.00
 2014 313   186   0.000    0.00       0    0.00
 2014 314   187   0.000    0.00       0    0.00
 2014 315   188   0.000    0.00       0    0.00
 2014 316   189   0.000    0.00       0    0.00
 2014 317   190   0.000    0.00       0    0.00
 2014 318   191   0.000    0.00       0    0.00
 2014 319   192   0.000    0.00       0    0.00
 2014 320   193   0.000    0.00       0    0.00
 2014 321   194   0.000    0.00       0    0.00
 2014 322   195   0.000    0.00       0    0.00
 2014 323   196   0.000    0.00       0    0.00
 2014 324   197   0.000    0.00       0    0.00
 2014 325   198   0.000    0.00       0    0.00
 2014 326   199   0.000    0.00       0    0.00
 2014 327   200   0.000    0.00       0    0.00
 2014 328   201   0.000    0.00       0    0.00
 2014 329   202   0.000    0.00       0    0.00
 2014 330   203   0.000    0.00       0    0.00
 2014 331   204   0.000    0.00       0    0.00
 2014 332   205   0.000    0.00       0    0.00
 2014 333   206   0.000    0.00       0    0.00
 2014 334   207   0.000    0.00       0    0.00
 2014 335   208   0.000    0.00       0    0.00
 2014 336   209   0.000    0.00       0    0.00
 2014 337   210   0.000    0.00       0    0.00
 2014 338   211   0.000    0.00       0    0.00
 2014 339   212   0.000    0.00       0    0.00
 2014 340   213   0.000    0.00       0    0.00
 2014 341   214   0.000    0.00       0    0.00
 2014 342   215   0.000    0.00       0    0.00
 2014 343   216   0.000    0.00       0    0.00
 2014 344   217   0.000    0.00       0    0.00
 2014 345   218   0.000    0.00       0    0.00
 2014 346   219   0.000    0.00       0    0.00
 2014 347   220   0.000    0.00       0    0.00
 2014 348   221   0.000    0.00       0    0.00
 2014 349   222   0.000    0.00       0    0.00
 2014 350   223   0.000    0.00       0    0.00
 2014 351   224   0.000    0.00       0    0.00
 2014 352   225   0.000    0.00       0    0.00
 2014 353   226   0.000    0.00       0    0.00
 2014 354   227   0.000    0.00       0    0.00
 2014 355   228   0.000    0.00       0    0.00
 2014 356   229   0.000    0.00       0    0.00
 2014 357   230   0.000    0.00       0    0.00
 2014 358   231   0.000    0.00       0    0.00
 2014 359   232   0.000    0.00       0    0.00
 2014 360   233   0.000    0.00       0    0.00
 2014 361   234   0.000    0.00       0    0.00
 2014 362   235   0.000    0.00       0    0.00
 2014 363   236   0.000    0.00       0    0.00
