*SOIL-PLANT-ATMOSPHERE MODULE OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.7.2.000 -release      OCT 15, 2021; 17:59:32
                                                                                
*RUN   1        :             CSM335_date_1 MZCER047 ITSA1301    1              
 MODEL          : MZCER047 - Maize                                              
 EXPERIMENT     : ITSA1301 SG CALIBRATION SETUP OF SORGHUM SOWING DATES         
 DATA PATH      :                                                               
 TREATMENT  1   :             CSM335_date_1 MZCER047                            
  
!                                                                                                                                                Soil evaporation (mm/d) by soil depth (cm):
!                                                                                                                                                0-5    5-15   15-30   30-60   60-90  90-120
@YEAR DOY   DAS   SRAA  TMAXA  TMINA   EOAA   EOPA   EOSA   ETAA   EPAA   ESAA   EFAA   EMAA    EOAC    ETAC    EPAC    ESAC    EFAC    EMAC    ES1D    ES2D    ES3D    ES4D    ES5D    ES6D   TRWUD
 2014 128     1  22.40  26.90  16.30  5.409  0.000  5.409  1.205  0.000  1.205  0.000  0.000    5.41    1.21    0.00    1.21    0.00    0.00   1.037   0.109   0.033   0.017   0.006   0.003   0.000
 2014 129     2  16.60  27.00  15.40  4.056  0.000  4.056  1.532  0.000  1.532  0.000  0.000    9.46    2.74    0.00    2.74    0.00    0.00   1.361   0.112   0.033   0.017   0.006   0.003   0.000
 2014 130     3  15.70  25.70  14.40  3.808  0.000  3.808  3.808  0.000  3.808  0.000  0.000   13.27    6.55    0.00    6.55    0.00    0.00   1.349   0.689   0.469   0.578   0.404   0.320   0.000
 2014 131     4  23.00  26.30  15.30  5.674  0.000  5.674  5.674  0.000  5.674  0.000  0.000   18.95   12.22    0.00   12.22    0.00    0.00   1.933   1.251   0.669   0.806   0.566   0.448   0.000
 2014 132     5  24.60  26.60  14.00  6.009  0.000  6.009  6.009  0.000  6.009  0.000  0.000   24.96   18.23    0.00   18.23    0.00    0.00   1.975   1.445   0.714   0.828   0.584   0.463   0.000
 2014 133     6  22.70  27.70  14.60  5.640  0.000  5.640  5.640  0.000  5.640  0.000  0.000   30.60   23.87    0.00   23.87    0.00    0.00   1.858   1.350   0.678   0.771   0.547   0.435   0.000
 2014 134     7  23.20  27.90  15.40  5.814  0.000  5.814  5.814  0.000  5.814  0.000  0.000   36.41   29.68    0.00   29.68    0.00    0.00   1.897   1.423   0.739   0.770   0.549   0.437   0.000
 2014 135     8  24.70  27.70  16.30  6.224  0.000  6.224  6.224  0.000  6.224  0.000  0.000   42.63   35.91    0.00   35.91    0.00    0.00   1.973   1.525   0.858   0.816   0.584   0.467   0.000
 2014 136     9  24.70  27.60  15.70  6.146  0.000  6.146  6.146  0.000  6.146  0.000  0.000   48.78   42.05    0.00   42.05    0.00    0.00   1.959   1.486   0.868   0.798   0.574   0.460   0.000
 2014 137    10  21.50  26.80  17.40  5.405  0.000  5.405  5.405  0.000  5.405  0.000  0.000   54.19   47.46    0.00   47.46    0.00    0.00   1.703   1.286   0.897   0.664   0.474   0.381   0.000
 2014 138    11  21.90  26.40  18.50  5.534  0.000  5.534  5.534  0.000  5.534  0.000  0.000   59.72   52.99    0.00   52.99    0.00    0.00   1.672   1.292   1.062   0.683   0.457   0.368   0.000
 2014 139    12  22.90  28.60  17.20  5.877  0.000  5.877  5.877  0.000  5.877  0.000  0.000   65.60   58.87    0.00   58.87    0.00    0.00   1.771   1.339   1.128   0.773   0.479   0.386   0.000
 2014 140    13  18.80  27.10  16.00  4.696  0.000  4.696  4.696  0.000  4.696  0.000  0.000   70.29   63.57    0.00   63.57    0.00    0.00   1.378   1.060   0.901   0.650   0.392   0.317   0.000
 2014 141    14  22.80  26.30  15.90  5.598  0.000  5.598  5.598  0.000  5.598  0.000  0.000   75.89   69.16    0.00   69.16    0.00    0.00   1.616   1.260   1.079   0.829   0.450   0.364   0.000
 2014 142    15  14.70  24.40  16.80  3.583  0.000  3.583  3.583  0.000  3.583  0.000  0.000   79.47   72.75    0.00   72.75    0.00    0.00   1.042   0.800   0.676   0.570   0.273   0.222   0.000
 2014 143    16  22.70  24.90  16.60  5.573  0.000  5.573  5.573  0.000  5.573  0.000  0.000   85.05   78.32    0.00   78.32    0.00    0.00   1.617   1.228   1.039   0.939   0.414   0.336   0.000
 2014 144    17  17.00  22.60  16.90  4.058  0.000  4.058  4.058  0.000  4.058  0.000  0.000   89.10   82.38    0.00   82.38    0.00    0.00   1.146   0.885   0.756   0.734   0.296   0.241   0.000
 2014 145    18  10.30  23.20  16.30  2.471  0.000  2.471  2.471  0.000  2.471  0.000  0.000   91.57   84.85    0.00   84.85    0.00    0.00   0.685   0.525   0.448   0.480   0.183   0.149   0.000
 2014 146    19  23.00  24.30  17.10  5.597  0.000  5.597  5.597  0.000  5.597  0.000  0.000   97.17   90.44    0.00   90.44    0.00    0.00   1.543   1.184   1.012   1.130   0.401   0.327   0.000
 2014 147    20  23.60  28.10  16.20  5.980  0.000  5.980  5.980  0.000  5.980  0.000  0.000  103.15   96.43    0.00   96.43    0.00    0.00   1.629   1.255   1.076   1.245   0.439   0.336   0.000
 2014 148    21  25.10  27.00  17.20  6.326  0.000  6.326  6.326  0.000  6.326  0.000  0.000  109.48  102.75    0.00  102.75    0.00    0.00   1.695   1.296   1.113   1.347   0.515   0.360   0.000
 2014 149    22  23.70  26.00  17.00  5.862  0.000  5.862  5.862  0.000  5.862  0.000  0.000  115.34  108.61    0.00  108.61    0.00    0.00   1.576   1.198   1.018   1.238   0.499   0.332   0.000
 2014 150    23  24.50  28.80  16.40  6.267  0.000  6.267  6.267  0.000  6.267  0.000  0.000  121.61  114.88    0.00  114.88    0.00    0.00   1.711   1.297   1.079   1.295   0.539   0.346   0.000
 2014 151    24  24.20  30.20  14.40  6.190  0.000  6.190  6.190  0.000  6.190  0.000  0.000  127.80  121.07    0.00  121.07    0.00    0.00   1.633   1.268   1.072   1.306   0.563   0.347   0.000
 2014 152    25  18.80  27.70  15.70  4.679  0.000  4.679  1.744  0.000  1.744  0.000  0.000  132.48  122.81    0.00  122.81    0.00    0.00   1.455   0.191   0.058   0.030   0.007   0.003   0.000
 2014 153    26  22.30  28.00  16.20  5.644  0.000  5.644  5.644  0.000  5.644  0.000  0.000  138.12  128.46    0.00  128.46    0.00    0.00   1.512   1.148   0.973   1.177   0.519   0.315   0.000
 2014 154    27  23.00  29.80  15.30  5.855  0.000  5.855  1.607  0.000  1.607  0.000  0.000  143.98  130.07    0.00  130.07    0.00    0.00   1.325   0.186   0.057   0.029   0.007   0.003   0.000
 2014 155    28  23.30  29.90  15.00  5.884  0.000  5.884  1.477  0.000  1.477  0.000  0.000  149.86  131.54    0.00  131.54    0.00    0.00   1.196   0.185   0.057   0.029   0.007   0.003   0.000
 2014 156    29  21.20  29.50  14.60  5.279  0.000  5.279  1.637  0.000  1.637  0.000  0.000  155.14  133.18    0.00  133.18    0.00    0.00   1.351   0.190   0.058   0.029   0.007   0.003   0.000
 2014 157    30  20.60  27.60  15.60  5.171  0.000  5.171  5.171  0.000  5.171  0.000  0.000  160.31  138.35    0.00  138.35    0.00    0.00   1.435   1.051   0.881   1.056   0.466   0.284   0.000
 2014 158    31  23.00  29.80  15.30  5.897  0.000  5.897  1.742  0.000  1.742  0.000  0.000  166.21  140.09    0.00  140.09    0.00    0.00   1.456   0.190   0.058   0.029   0.007   0.003   0.000
 2014 159    32  15.10  27.80  16.00  3.775  0.000  3.775  3.775  0.000  3.775  0.000  0.000  169.98  143.87    0.00  143.87    0.00    0.00   1.012   0.771   0.654   0.783   0.345   0.211   0.000
 2014 160    33  21.50  25.10  16.00  5.259  0.000  5.259  5.259  0.000  5.259  0.000  0.000  175.24  149.13    0.00  149.13    0.00    0.00   1.451   1.075   0.914   1.069   0.470   0.280   0.000
 2014 161    34  19.30  28.80  16.20  4.932  0.000  4.932  4.932  0.000  4.932  0.000  0.000  180.17  154.06    0.00  154.06    0.00    0.00   1.341   1.008   0.856   1.015   0.454   0.259   0.000
 2014 162    35  20.70  27.00  15.60  5.161  0.000  5.161  5.161  0.000  5.161  0.000  0.000  185.33  159.22    0.00  159.22    0.00    0.00   1.395   1.049   0.897   1.059   0.494   0.267   0.000
 2014 163    36  20.70  28.10  16.80  5.274  0.000  5.274  5.274  0.000  5.274  0.000  0.000  190.61  164.49    0.00  164.49    0.00    0.00   1.411   1.080   0.910   1.077   0.528   0.268   0.000
 2014 164    37  23.30  26.20  17.30  5.829  0.000  5.829  5.829  0.000  5.829  0.000  0.000  196.44  170.32    0.00  170.32    0.00    0.00   1.541   1.179   1.000   1.193   0.625   0.291   0.000
 2014 165    38  23.00  27.00  15.20  5.710  0.000  5.710  5.710  0.000  5.710  0.000  0.000  202.15  176.03    0.00  176.03    0.00    0.00   1.501   1.130   0.963   1.168   0.663   0.285   0.000
 2014 166    39  22.70  29.10  15.50  5.783  0.000  5.783  5.783  0.000  5.783  0.000  0.000  207.93  181.82    0.00  181.82    0.00    0.00   1.515   1.128   0.963   1.181   0.705   0.291   0.000
 2014 167    40  22.50  29.60  15.80  5.762  0.000  5.762  5.762  0.000  5.762  0.000  0.000  213.69  187.58    0.00  187.58    0.00    0.00   1.452   1.121   0.969   1.197   0.726   0.297   0.000
 2014 168    41  22.70  28.80  15.90  5.720  0.006  5.715  1.618  0.006  1.612  0.000  0.000  219.41  189.20    0.01  189.19    0.00    0.00   1.333   0.181   0.057   0.030   0.009   0.003   0.001
 2014 169    42  22.30  27.60  16.50  5.570  0.010  5.560  1.741  0.010  1.731  0.000  0.000  224.98  190.94    0.02  190.92    0.00    0.00   1.447   0.186   0.057   0.029   0.009   0.003   0.001
 2014 170    43  14.70  26.90  17.90  3.723  0.009  3.713  3.723  0.009  3.713  0.000  0.000  228.71  194.66    0.02  194.64    0.00    0.00   0.970   0.731   0.609   0.755   0.460   0.188   0.001
 2014 171    44  20.10  27.30  16.10  5.014  0.017  4.997  5.014  0.017  4.997  0.000  0.000  233.72  199.67    0.04  199.63    0.00    0.00   1.326   0.984   0.819   1.003   0.613   0.251   0.002
 2014 172    45  21.00  28.80  16.80  5.391  0.023  5.368  5.391  0.023  5.368  0.000  0.000  239.11  205.07    0.06  205.00    0.00    0.00   1.443   1.076   0.889   1.061   0.637   0.262   0.002
 2014 173    46  19.60  28.30  16.50  4.988  0.026  4.962  4.988  0.026  4.962  0.000  0.000  244.10  210.05    0.09  209.96    0.00    0.00   1.314   1.007   0.832   0.987   0.584   0.237   0.003
 2014 174    47  16.60  26.50  15.90  4.121  0.026  4.095  4.121  0.026  4.095  0.000  0.000  248.22  214.17    0.12  214.06    0.00    0.00   1.081   0.826   0.688   0.815   0.491   0.193   0.003
 2014 175    48  17.30  26.00  15.50  4.261  0.031  4.229  4.260  0.031  4.229  0.000  0.000  252.48  218.43    0.15  218.29    0.00    0.00   1.122   0.835   0.705   0.845   0.523   0.199   0.003
 2014 176    49  17.50  25.30  15.20  4.260  0.044  4.216  4.260  0.044  4.216  0.000  0.000  256.74  222.69    0.19  222.50    0.00    0.00   1.114   0.836   0.697   0.838   0.533   0.197   0.004
 2014 177    50  18.90  25.80  15.30  4.632  0.063  4.568  4.631  0.063  4.568  0.000  0.000  261.37  227.33    0.25  227.07    0.00    0.00   1.204   0.911   0.752   0.903   0.588   0.211   0.006
 2014 178    51  18.00  27.00  15.10  4.462  0.076  4.386  4.462  0.076  4.386  0.000  0.000  265.83  231.79    0.33  231.46    0.00    0.00   1.154   0.870   0.720   0.866   0.576   0.202   0.008
 2014 179    52  20.40  26.80  14.90  5.037  0.104  4.932  5.036  0.104  4.932  0.000  0.000  270.87  236.82    0.43  236.39    0.00    0.00   1.300   0.969   0.806   0.972   0.658   0.226   0.010
 2014 180    53  22.60  25.00  15.10  5.463  0.135  5.326  5.462  0.135  5.326  0.000  0.000  276.33  242.28    0.57  241.71    0.00    0.00   1.398   1.049   0.869   1.048   0.720   0.242   0.014
 2014 181    54  21.50  26.60  15.30  5.299  0.153  5.145  5.298  0.153  5.145  0.000  0.000  281.63  247.58    0.72  246.86    0.00    0.00   1.332   1.007   0.844   1.020   0.708   0.235   0.015
 2014 182    55  19.50  25.90  15.70  4.765  0.160  4.604  4.764  0.160  4.604  0.000  0.000  286.40  252.35    0.88  251.46    0.00    0.00   1.185   0.903   0.762   0.910   0.632   0.211   0.016
 2014 183    56  21.60  26.90  14.60  5.312  0.204  5.107  5.311  0.204  5.107  0.000  0.000  291.71  257.66    1.09  256.57    0.00    0.00   1.327   1.004   0.841   1.000   0.695   0.240   0.020
 2014 184    57  20.90  27.70  15.30  5.209  0.227  4.980  5.207  0.227  4.980  0.000  0.000  296.92  262.86    1.31  261.55    0.00    0.00   1.284   0.974   0.823   0.976   0.678   0.245   0.023
 2014 185    58  19.50  25.10  15.40  4.715  0.232  4.480  4.713  0.232  4.480  0.000  0.000  301.64  267.58    1.55  266.03    0.00    0.00   1.148   0.880   0.739   0.874   0.608   0.232   0.023
 2014 186    59  18.40  26.90  15.20  4.538  0.248  4.287  4.535  0.248  4.287  0.000  0.000  306.17  272.11    1.79  270.32    0.00    0.00   1.089   0.833   0.703   0.841   0.581   0.240   0.025
