*SOIL TEMPERATURE OUTPUT FILE (DAILY)

*DSSAT Cropping System Model Ver. 4.7.2.000 -release      OCT 15, 2021; 17:59:32
                                                                                
*RUN   1        :             CSM335_date_1 MZCER047 ITSA1301    1              
 MODEL          : MZCER047 - Maize                                              
 EXPERIMENT     : ITSA1301 SG CALIBRATION SETUP OF SORGHUM SOWING DATES         
 DATA PATH      :                                                               
 TREATMENT  1   :             CSM335_date_1 MZCER047                            
  
! TAV  =    27.7
! TAMP =     5.2
!               Temperature (oC) by soil depth (cm):
!               Surface     0-5    5-15   15-30   30-60   60-90  90-120
@YEAR DOY   DAS    TS0D    TS1D    TS2D    TS3D    TS4D    TS5D    TS6D    
 2014 207    80    23.4    23.4    23.5    23.7    24.0    24.3    24.6
 2014 208    81    23.4    23.4    23.5    23.7    24.0    24.3    24.6
 2014 209    82    23.4    23.4    23.5    23.7    24.0    24.3    24.6
 2014 210    83    23.4    23.4    23.5    23.7    24.0    24.3    24.6
 2014 211    84    23.1    23.1    23.3    23.4    23.8    24.1    24.4
 2014 212    85    22.9    22.9    23.1    23.3    23.6    24.0    24.3
 2014 213    86    23.1    23.1    23.2    23.4    23.7    24.1    24.4
 2014 214    87    22.9    22.9    23.0    23.2    23.6    23.9    24.3
 2014 215    88    22.8    22.9    23.0    23.2    23.5    23.9    24.3
 2014 216    89    22.9    22.9    23.0    23.2    23.6    24.0    24.3
 2014 217    90    22.9    22.9    23.1    23.3    23.6    24.0    24.3
 2014 218    91    22.9    23.0    23.1    23.3    23.7    24.0    24.4
 2014 219    92    23.1    23.1    23.2    23.4    23.8    24.2    24.5
 2014 220    93    22.9    23.0    23.1    23.3    23.7    24.1    24.4
 2014 221    94    23.3    23.3    23.4    23.6    24.0    24.3    24.6
 2014 222    95    23.3    23.3    23.5    23.7    24.0    24.4    24.7
 2014 223    96    23.0    23.0    23.2    23.4    23.7    24.1    24.5
 2014 224    97    23.0    23.0    23.1    23.4    23.7    24.1    24.5
 2014 225    98    23.3    23.3    23.4    23.6    24.0    24.4    24.7
 2014 226    99    23.5    23.5    23.7    23.9    24.2    24.6    24.9
 2014 227   100    23.7    23.7    23.9    24.1    24.4    24.7    25.0
 2014 228   101    23.7    23.7    23.9    24.0    24.4    24.7    25.0
 2014 229   102    23.6    23.6    23.8    24.0    24.3    24.7    25.0
 2014 230   103    23.4    23.4    23.5    23.7    24.1    24.5    24.8
 2014 231   104    22.7    22.7    22.9    23.1    23.5    23.9    24.3
 2014 232   105    22.8    22.9    23.0    23.2    23.6    24.1    24.4
 2014 233   106    22.9    23.0    23.1    23.4    23.7    24.2    24.5
 2014 234   107    22.7    22.8    22.9    23.2    23.6    24.0    24.4
 2014 235   108    22.4    22.5    22.6    22.9    23.3    23.8    24.2
 2014 236   109    23.3    23.3    23.5    23.7    24.0    24.5    24.8
 2014 237   110    23.2    23.3    23.4    23.6    24.0    24.4    24.8
 2014 238   111    23.2    23.3    23.4    23.7    24.0    24.4    24.8
 2014 239   112    23.5    23.6    23.7    23.9    24.3    24.7    25.0
 2014 240   113    24.1    24.2    24.3    24.5    24.8    25.2    25.5
 2014 241   114    23.6    23.7    23.8    24.0    24.4    24.8    25.1
 2014 242   115    24.1    24.1    24.3    24.4    24.8    25.1    25.4
 2014 243   116    24.4    24.5    24.6    24.8    25.1    25.4    25.7
 2014 244   117    24.1    24.1    24.3    24.5    24.8    25.1    25.5
 2014 245   118    23.7    23.8    23.9    24.1    24.5    24.9    25.2
 2014 246   119    23.5    23.6    23.7    23.9    24.3    24.7    25.1
 2014 247   120    23.2    23.3    23.4    23.7    24.0    24.5    24.9
 2014 248   121    22.9    23.0    23.1    23.4    23.8    24.2    24.7
 2014 249   122    23.2    23.3    23.4    23.7    24.1    24.5    24.9
 2014 250   123    23.3    23.3    23.5    23.7    24.1    24.6    24.9
 2014 251   124    23.1    23.1    23.3    23.5    23.9    24.4    24.8
 2014 252   125    22.5    22.6    22.7    23.0    23.4    24.0    24.4
 2014 253   126    22.5    22.5    22.7    23.0    23.4    24.0    24.4
 2014 254   127    22.7    22.7    22.9    23.1    23.6    24.1    24.5
 2014 255   128    22.9    23.0    23.1    23.4    23.8    24.3    24.7
