*PLANT N OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.7.2.000 -release      OCT 15, 2021; 17:59:34
                                                                                
*RUN   1        :             CSM335_date_1 MZCER047 ITSA1301    1              
 MODEL          : MZCER047 - Maize                                              
 EXPERIMENT     : ITSA1301 SG CALIBRATION SETUP OF SORGHUM SOWING DATES         
 DATA PATH      :                                                               
 TREATMENT  1   :             CSM335_date_1 MZCER047                            
  
@YEAR DOY   DAS   DAP   CNAD   GNAD   VNAD   GN%D   VN%D   NUPC   LNAD   SNAD   LN%D   SN%D   RN%D   SNN0C   SNN1C
 2009 105     2     0    0.0    0.0    0.0   0.00   0.00    0.0    0.0    0.0    0.0   0.00   0.00    0.00    0.00
 2009 106     3     1    0.0    0.0    0.0   0.00   0.00    0.0    0.0    0.0    0.0   0.00   0.00    0.00    0.00
 2009 107     4     2    0.0    0.0    0.0   0.00   0.00    0.0    0.0    0.0    0.0   0.00   0.00    0.00    0.00
 2009 108     5     3    0.0    0.0    0.0   0.00   0.00    0.0    0.0    0.0    0.0   0.00   0.00    0.00    0.00
 2009 109     6     4    1.5    0.0    1.5   0.00   4.40    0.0    0.8    0.8    4.4   4.40   2.20    0.00    0.00
 2009 110     7     5    1.5    0.0    1.5   0.00   4.40    0.0    0.8    0.8    4.4   4.40   2.17    0.00    0.00
 2009 111     8     6    1.5    0.0    1.5   0.00   4.40    0.0    0.8    0.8    4.4   4.40   2.10    0.00    0.00
 2009 112     9     7    1.5    0.0    1.5   0.00   4.40    0.0    0.8    0.8    4.4   4.40   2.00    0.00    0.00
 2009 113    10     8    1.5    0.0    1.5   0.00   4.40    0.0    0.8    0.8    4.4   4.40   1.87    0.00    0.00
 2009 114    11     9    1.5    0.0    1.5   0.00   4.40    0.0    0.8    0.8    4.4   4.40   1.75    0.00    0.00
 2009 115    12    10    1.5    0.0    1.5   0.00   4.40    0.0    0.8    0.8    4.4   4.40   1.61    0.00    0.00
 2009 116    13    11    1.5    0.0    1.5   0.00   4.40    0.0    0.8    0.8    4.4   4.40   1.43    0.00    0.00
 2009 117    14    12    1.5    0.0    1.5   0.00   4.00    0.0    0.8    0.7    4.0   4.00   1.36    0.00    0.00
 2009 118    15    13    1.6    0.0    1.6   0.00   3.56    0.0    1.0    0.6    3.6   3.56   1.15    0.00    0.00
 2009 119    16    14    1.8    0.0    1.8   0.00   3.65    0.3    1.2    0.6    3.6   3.65   1.20    0.00    0.00
 2009 120    17    15    2.0    0.0    2.0   0.00   3.68    0.6    1.4    0.6    3.7   3.68   1.27    0.00    0.01
 2009 121    18    16    2.2    0.0    2.2   0.00   3.54    0.8    1.6    0.6    3.5   3.54   1.18    0.00    0.01
 2009 122    19    17    2.5    0.0    2.5   0.00   3.60    1.1    1.9    0.6    3.6   3.60   1.24    0.00    0.01
 2009 123    20    18    2.7    0.0    2.7   0.00   3.56    1.5    2.1    0.6    3.6   3.56   1.26    0.00    0.01
 2009 124    21    19    2.9    0.0    2.9   0.00   3.65    1.8    2.3    0.6    3.7   3.65   1.26    0.00    0.02
 2009 125    22    20    3.1    0.0    3.1   0.00   3.49    1.9    2.5    0.6    3.5   3.49   1.09    0.00    0.02
 2009 126    23    21    3.4    0.0    3.4   0.00   3.25    2.3    2.9    0.6    3.3   3.25   1.11    0.00    0.02
 2009 127    24    22    4.6    0.0    4.6   0.00   3.81    3.5    4.0    0.7    3.8   3.81   1.12    0.00    0.03
 2009 128    25    23    5.2    0.0    5.2   0.00   3.86    4.2    4.5    0.7    3.9   3.86   1.21    0.00    0.03
 2009 129    26    24    5.5    0.0    5.5   0.00   3.77    4.7    4.8    0.7    3.8   3.77   1.32    0.00    0.04
 2009 130    27    25    5.9    0.0    5.9   0.00   3.55    4.9    5.3    0.6    3.6   3.55   1.08    0.00    0.04
 2009 131    28    26    6.6    0.0    6.6   0.00   3.77    6.0    5.9    0.7    3.8   3.77   1.43    0.00    0.05
 2009 132    29    27    6.9    0.0    6.9   0.00   3.50    6.0    6.3    0.6    3.5   3.50   1.09    0.00    0.05
 2009 133    30    28    7.7    0.0    7.7   0.00   3.73    7.3    7.0    0.7    3.7   3.73   1.39    0.00    0.06
 2009 134    31    29    8.0    0.0    8.0   0.00   3.67    7.6    7.3    0.7    3.7   3.67   1.37    0.00    0.07
 2009 135    32    30    8.3    0.0    8.3   0.00   3.59    7.9    7.6    0.7    3.6   3.59   1.25    0.00    0.07
 2009 136    33    31    8.9    0.0    8.9   0.00   3.61    8.5    8.1    0.8    3.6   3.61   1.28    0.00    0.08
 2009 137    34    32    9.3    0.0    9.3   0.00   3.58    9.0    8.5    0.8    3.6   3.58   1.28    0.00    0.09
 2009 138    35    33    9.8    0.0    9.8   0.00   3.57    9.5    8.9    0.9    3.6   3.57   1.26    0.00    0.09
 2009 139    36    34   10.1    0.0   10.1   0.00   3.49    9.8    9.2    0.9    3.5   3.49   1.19    0.00    0.10
 2009 140    37    35   10.7    0.0   10.7   0.00   3.45   10.3    9.6    1.0    3.5   3.45   1.10    0.00    0.11
 2009 141    38    36   11.2    0.0   11.2   0.00   3.48   11.1   10.1    1.1    3.5   3.48   1.25    0.00    0.12
 2009 142    39    37   11.7    0.0   11.7   0.00   3.46   11.4   10.4    1.2    3.5   3.46   1.18    0.00    0.13
 2009 143    40    38   12.1    0.0   12.1   0.00   3.46   11.9   10.8    1.3    3.5   3.46   1.17    0.00    0.13
 2009 144    41    39   12.4    0.0   12.4   0.00   3.38   12.1   11.0    1.5    3.4   3.38   1.11    0.00    0.14
 2009 145    42    40   12.4    0.0   12.4   0.00   3.06   12.1   10.8    1.7    3.1   3.06   1.10    0.00    0.14
 2009 146    43    41   13.9    0.0   13.9   0.00   2.94   13.7   11.7    2.2    2.9   2.94   1.09    0.00    0.15
 2009 147    44    42   16.3    0.0   16.3   0.00   2.90   16.1   13.3    3.0    2.9   2.90   1.10    0.00    0.16
 2009 148    45    43   18.6    0.0   18.6   0.00   2.87   18.4   14.4    4.2    2.9   2.87   1.10    0.00    0.16
 2009 149    46    44   20.8    0.0   20.8   0.00   2.87   20.7   15.2    5.6    2.9   2.87   1.10    0.00    0.17
 2009 150    47    45   22.0    0.0   22.0   0.00   2.81   21.9   15.5    6.5    2.8   2.81   1.09    0.00    0.18
 2009 151    48    46   24.4    0.0   24.4   0.00   2.90   24.4   16.5    7.9    2.9   2.90   1.11    0.00    0.19
 2009 152    49    47   25.9    0.0   25.9   0.00   2.90   25.9   16.9    9.0    2.9   2.90   1.12    0.00    0.20
 2009 153    50    48   26.9    0.0   26.9   0.00   2.86   27.0   17.1    9.8    2.9   2.86   1.12    0.00    0.21
 2009 154    51    49   28.2    0.0   28.2   0.00   2.86   28.3   17.4   10.8    2.9   2.86   1.13    0.00    0.22
 2009 155    52    50   28.5    0.0   28.5   0.00   2.78   28.6   17.2   11.4    2.8   2.78   1.12    0.00    0.23
 2009 156    53    51   28.8    0.0   28.8   0.00   2.71   28.9   16.9   11.8    2.7   2.71   1.10    0.00    0.23
 2009 157    54    52   29.7    0.0   29.7   0.00   2.70   29.8   17.1   12.6    2.7   2.70   1.11    0.00    0.24
 2009 158    55    53   30.5    0.0   30.5   0.00   2.70   30.6   17.2   13.2    2.7   2.70   1.12    0.00    0.25
 2009 159    56    54   31.1    0.0   31.1   0.00   2.68   31.3   17.3   13.8    2.7   2.68   1.12    0.00    0.26
 2009 160    57    55   31.5    0.0   31.5   0.00   2.65   31.8   17.3   14.3    2.7   2.65   1.12    0.00    0.27
 2009 161    58    56   31.5    0.0   31.5   0.00   2.59   31.8   17.0   14.5    2.6   2.59   1.12    0.00    0.27
 2009 162    59    57   31.5    0.0   31.5   0.00   2.53   31.8   16.8   14.8    2.5   2.53   1.11    0.00    0.27
 2009 163    60    58   31.8    0.0   31.8   0.00   2.43   32.0   16.4   15.4    2.4   2.43   1.09    0.00    0.28
 2009 164    61    59   32.5    0.0   32.5   0.00   2.41   32.7   16.4   16.1    2.4   2.41   1.08    0.00    0.29
 2009 165    62    60   33.6    0.0   33.6   0.00   2.38   33.9   16.5   17.1    2.4   2.38   1.09    0.00    0.30
 2009 166    63    61   35.6    0.0   35.6   0.00   2.37   36.0   16.9   18.8    2.4   2.37   1.10    0.00    0.31
 2009 167    64    62   36.2    0.0   36.2   0.00   2.33   36.6   16.8   19.4    2.3   2.33   1.08    0.00    0.32
 2009 168    65    63   37.2    0.0   37.2   0.00   2.31   37.7   16.9   20.3    2.3   2.31   1.09    0.00    0.33
 2009 169    66    64   39.2    0.0   39.2   0.00   2.31   39.7   17.4   21.8    2.3   2.31   1.10    0.00    0.34
 2009 170    67    65   40.3    0.0   40.3   0.00   2.28   40.8   17.5   22.8    2.3   2.28   1.09    0.00    0.35
 2009 171    68    66   41.3    0.0   41.3   0.00   2.25   41.9   17.7   23.7    2.3   2.25   1.09    0.00    0.36
 2009 172    69    67   41.6    0.0   41.6   0.00   2.26   42.2   17.5   24.1    2.3   2.26   1.08    0.00    0.37
 2009 173    70    68   41.6    0.0   41.6   0.00   2.25   42.2   17.1   24.6    2.2   2.25   1.06    0.00    0.37
 2009 174    71    69   41.6    0.0   41.6   0.00   2.23   42.2   16.6   25.0    2.2   2.23   1.04    0.00    0.37
 2009 175    72    70   41.6    0.0   41.6   0.00   2.24   42.2   16.3   25.3    2.2   2.24   1.04    0.00    0.37
 2009 176    73    71   41.6    0.0   41.6   0.00   2.24   42.2   16.0   25.6    2.2   2.24   1.03    0.00    0.37
 2009 177    74    72   41.6    0.0   41.6   0.00   2.25   42.2   15.7   25.9    2.3   2.25   1.02    0.00    0.37
 2009 178    75    73   41.6    0.0   41.6   0.00   2.26   42.2   15.3   26.3    2.3   2.26   1.01    0.00    0.37
 2009 179    76    74   41.6    0.0   41.6   0.00   2.28   42.2   15.0   26.6    2.3   2.28   1.00    0.00    0.37
