*Surface Mulch daily output file

*DSSAT Cropping System Model Ver. 4.7.2.000 -release      OCT 15, 2021; 17:59:34
                                                                                
*RUN   1        :             CSM335_date_1 MZCER047 ITSA1301    1              
 MODEL          : MZCER047 - Maize                                              
 EXPERIMENT     : ITSA1301 SG CALIBRATION SETUP OF SORGHUM SOWING DATES         
 DATA PATH      :                                                               
 TREATMENT  1   :             CSM335_date_1 MZCER047                            
  
@YEAR DOY   DAS    MCFD   MDEPD    MWAD    MWTD
 2009 103     0   0.000    0.00       0    0.00
 2009 104     1   0.000    0.00       0    0.00
 2009 105     2   0.000    0.00       0    0.00
 2009 106     3   0.000    0.00       0    0.00
 2009 107     4   0.000    0.00       0    0.00
 2009 108     5   0.000    0.00       0    0.00
 2009 109     6   0.000    0.00       0    0.00
 2009 110     7   0.000    0.00       0    0.00
 2009 111     8   0.000    0.00       0    0.00
 2009 112     9   0.000    0.00       0    0.00
 2009 113    10   0.000    0.00       0    0.00
 2009 114    11   0.000    0.00       0    0.00
 2009 115    12   0.000    0.00       0    0.00
 2009 116    13   0.000    0.00       0    0.00
 2009 117    14   0.000    0.00       0    0.00
 2009 118    15   0.000    0.00       0    0.00
 2009 119    16   0.000    0.00       0    0.00
 2009 120    17   0.000    0.00       0    0.00
 2009 121    18   0.000    0.00       0    0.00
 2009 122    19   0.000    0.00       0    0.00
 2009 123    20   0.000    0.00       0    0.00
 2009 124    21   0.000    0.00       0    0.00
 2009 125    22   0.000    0.00       0    0.00
 2009 126    23   0.000    0.00       0    0.00
 2009 127    24   0.000    0.00       0    0.00
 2009 128    25   0.000    0.00       0    0.00
 2009 129    26   0.000    0.00       0    0.00
 2009 130    27   0.000    0.00       0    0.00
 2009 131    28   0.000    0.00       0    0.00
 2009 132    29   0.000    0.00       0    0.00
 2009 133    30   0.000    0.00       0    0.00
 2009 134    31   0.000    0.00       0    0.00
 2009 135    32   0.000    0.00       0    0.00
 2009 136    33   0.000    0.00       0    0.00
 2009 137    34   0.000    0.00       0    0.00
 2009 138    35   0.000    0.00       0    0.00
 2009 139    36   0.000    0.00       0    0.00
 2009 140    37   0.000    0.00       0    0.00
 2009 141    38   0.000    0.00       0    0.00
 2009 142    39   0.000    0.00       0    0.00
 2009 143    40   0.000    0.00       0    0.00
 2009 144    41   0.000    0.00       0    0.00
 2009 145    42   0.000    0.00       0    0.00
 2009 146    43   0.000    0.00       0    0.00
 2009 147    44   0.000    0.00       0    0.00
 2009 148    45   0.000    0.00       0    0.00
 2009 149    46   0.000    0.00       0    0.00
 2009 150    47   0.000    0.00       0    0.00
 2009 151    48   0.000    0.00       0    0.00
 2009 152    49   0.000    0.00       0    0.00
 2009 153    50   0.000    0.00       0    0.00
 2009 154    51   0.000    0.00       0    0.00
 2009 155    52   0.000    0.00       0    0.00
 2009 156    53   0.000    0.00       0    0.00
 2009 157    54   0.000    0.00       0    0.00
 2009 158    55   0.000    0.00       0    0.00
 2009 159    56   0.000    0.00       0    0.00
 2009 160    57   0.000    0.00       0    0.00
 2009 161    58   0.000    0.00       0    0.00
 2009 162    59   0.000    0.00       0    0.00
 2009 163    60   0.000    0.00       0    0.00
 2009 164    61   0.000    0.00       0    0.00
 2009 165    62   0.000    0.00       0    0.00
 2009 166    63   0.000    0.00       0    0.00
 2009 167    64   0.000    0.00       0    0.00
 2009 168    65   0.000    0.00       0    0.00
 2009 169    66   0.000    0.00       0    0.00
 2009 170    67   0.000    0.00       0    0.00
 2009 171    68   0.000    0.00       0    0.00
 2009 172    69   0.000    0.00       0    0.00
 2009 173    70   0.000    0.00       0    0.00
 2009 174    71   0.000    0.00       0    0.00
 2009 175    72   0.000    0.00       0    0.00
 2009 176    73   0.000    0.00       0    0.00
 2009 177    74   0.000    0.00       0    0.00
 2009 178    75   0.000    0.00       0    0.00
 2009 179    76   0.000    0.00       0    0.00
 2009 180    77   0.000    0.00       0    0.00
 2009 181    78   0.000    0.00       0    0.00
 2009 182    79   0.000    0.00       0    0.00
 2009 183    80   0.000    0.00       0    0.00
 2009 184    81   0.000    0.00       0    0.00
 2009 185    82   0.000    0.00       0    0.00
 2009 186    83   0.000    0.00       0    0.00
 2009 187    84   0.000    0.00       0    0.00
 2009 188    85   0.000    0.00       0    0.00
 2009 189    86   0.000    0.00       0    0.00
 2009 190    87   0.000    0.00       0    0.00
 2009 191    88   0.000    0.00       0    0.00
 2009 192    89   0.000    0.00       0    0.00
 2009 193    90   0.000    0.00       0    0.00
 2009 194    91   0.000    0.00       0    0.00
 2009 195    92   0.000    0.00       0    0.00
 2009 196    93   0.000    0.00       0    0.00
 2009 197    94   0.000    0.00       0    0.00
 2009 198    95   0.000    0.00       0    0.00
 2009 199    96   0.000    0.00       0    0.00
 2009 200    97   0.000    0.00       0    0.00
 2009 201    98   0.000    0.00       0    0.00
 2009 202    99   0.000    0.00       0    0.00
 2009 203   100   0.000    0.00       0    0.00
 2009 204   101   0.000    0.00       0    0.00
 2009 205   102   0.000    0.00       0    0.00
 2009 206   103   0.000    0.00       0    0.00
 2009 207   104   0.000    0.00       0    0.00
 2009 208   105   0.000    0.00       0    0.00
 2009 209   106   0.000    0.00       0    0.00
 2009 210   107   0.000    0.00       0    0.00
 2009 211   108   0.000    0.00       0    0.00
 2009 212   109   0.000    0.00       0    0.00
 2009 213   110   0.000    0.00       0    0.00
 2009 214   111   0.000    0.00       0    0.00
 2009 215   112   0.000    0.00       0    0.00
 2009 216   113   0.000    0.00       0    0.00
 2009 217   114   0.000    0.00       0    0.00
 2009 218   115   0.000    0.00       0    0.00
 2009 219   116   0.000    0.00       0    0.00
 2009 220   117   0.000    0.00       0    0.00
 2009 221   118   0.000    0.00       0    0.00
 2009 222   119   0.000    0.00       0    0.00
 2009 223   120   0.000    0.00       0    0.00
 2009 224   121   0.000    0.00       0    0.00
 2009 225   122   0.000    0.00       0    0.00
 2009 226   123   0.000    0.00       0    0.00
 2009 227   124   0.000    0.00       0    0.00
 2009 228   125   0.000    0.00       0    0.00
 2009 229   126   0.000    0.00       0    0.00
 2009 230   127   0.000    0.00       0    0.00
 2009 231   128   0.000    0.00       0    0.00
 2009 232   129   0.000    0.00       0    0.00
 2009 233   130   0.000    0.00       0    0.00
 2009 234   131   0.000    0.00       0    0.00
 2009 235   132   0.000    0.00       0    0.00
 2009 236   133   0.000    0.00       0    0.00
 2009 237   134   0.000    0.00       0    0.00
 2009 238   135   0.000    0.00       0    0.00
 2009 239   136   0.000    0.00       0    0.00
 2009 240   137   0.000    0.00       0    0.00
 2009 241   138   0.000    0.00       0    0.00
 2009 242   139   0.000    0.00       0    0.00
 2009 243   140   0.000    0.00       0    0.00
 2009 244   141   0.000    0.00       0    0.00
 2009 245   142   0.000    0.00       0    0.00
 2009 246   143   0.000    0.00       0    0.00
 2009 247   144   0.000    0.00       0    0.00
 2009 248   145   0.000    0.00       0    0.00
 2009 249   146   0.000    0.00       0    0.00
 2009 250   147   0.000    0.00       0    0.00
