*SOIL-PLANT-ATMOSPHERE MODULE OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.7.2.000 -release      OCT 15, 2021; 17:59:34
                                                                                
*RUN   1        :             CSM335_date_1 MZCER047 ITSA1301    1              
 MODEL          : MZCER047 - Maize                                              
 EXPERIMENT     : ITSA1301 SG CALIBRATION SETUP OF SORGHUM SOWING DATES         
 DATA PATH      :                                                               
 TREATMENT  1   :             CSM335_date_1 MZCER047                            
  
!                                                                                                                                                Soil evaporation (mm/d) by soil depth (cm):
!                                                                                                                                                0-5    5-15   15-30   30-53   53-77  77-100
@YEAR DOY   DAS   SRAA  TMAXA  TMINA   EOAA   EOPA   EOSA   ETAA   EPAA   ESAA   EFAA   EMAA    EOAC    ETAC    EPAC    ESAC    EFAC    EMAC    ES1D    ES2D    ES3D    ES4D    ES5D    ES6D   TRWUD
 2009 104     1  22.90  35.50  24.30  6.681  0.000  6.681  1.158  0.000  1.158  0.000  0.000    6.68    1.16    0.00    1.16    0.00    0.00   0.965   0.126   0.038   0.017   0.008   0.004   0.000
 2009 105     2  10.20  28.50  23.90  2.683  0.000  2.683  1.394  0.000  1.394  0.000  0.000    9.36    2.55    0.00    2.55    0.00    0.00   1.181   0.146   0.038   0.017   0.008   0.004   0.000
 2009 106     3  23.80  34.70  24.00  6.889  0.000  6.889  6.262  0.000  6.262  0.000  0.000   16.25    8.81    0.00    8.81    0.00    0.00   1.872   1.376   0.922   0.889   0.678   0.524   0.000
 2009 107     4  25.00  34.80  24.00  7.137  0.000  7.137  1.352  0.000  1.352  0.000  0.000   23.39   10.17    0.00   10.17    0.00    0.00   1.128   0.156   0.039   0.017   0.007   0.004   0.000
 2009 108     5  24.30  31.20  23.70  6.628  0.000  6.628  6.370  0.000  6.370  0.000  0.000   30.02   16.54    0.00   16.54    0.00    0.00   1.796   1.440   1.056   0.892   0.669   0.518   0.000
 2009 109     6  21.00  34.90  23.60  6.053  0.000  6.053  6.053  0.000  6.053  0.000  0.000   36.07   22.59    0.00   22.59    0.00    0.00   1.707   1.323   1.089   0.847   0.612   0.475   0.000
 2009 110     7  24.50  33.20  23.70  6.862  0.017  6.845  1.378  0.017  1.361  0.000  0.000   42.93   23.97    0.02   23.95    0.00    0.00   1.121   0.162   0.049   0.018   0.007   0.004   0.002
 2009 111     8  24.20  33.70  23.30  6.749  0.031  6.718  6.516  0.031  6.484  0.000  0.000   49.68   30.48    0.05   30.43    0.00    0.00   1.791   1.430   1.172   0.934   0.651   0.507   0.003
 2009 112     9  21.90  34.70  23.80  6.303  0.044  6.259  6.303  0.044  6.259  0.000  0.000   55.99   36.78    0.09   36.69    0.00    0.00   1.772   1.346   1.127   0.912   0.618   0.483   0.004
 2009 113    10  24.80  33.60  23.60  6.960  0.067  6.893  1.415  0.067  1.348  0.000  0.000   62.95   38.20    0.16   38.04    0.00    0.00   1.112   0.159   0.049   0.018   0.007   0.004   0.007
