*PLANT N OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.7.2.000 -release      OCT 15, 2021; 17:59:34
                                                                                
*RUN   1        :             CSM335_date_1 MZCER047 ITSA1301    1              
 MODEL          : MZCER047 - Maize                                              
 EXPERIMENT     : ITSA1301 SG CALIBRATION SETUP OF SORGHUM SOWING DATES         
 DATA PATH      :                                                               
 TREATMENT  1   :             CSM335_date_1 MZCER047                            
  
@YEAR DOY   DAS   DAP   CNAD   GNAD   VNAD   GN%D   VN%D   NUPC   LNAD   SNAD   LN%D   SN%D   RN%D   SNN0C   SNN1C
 2013 267     2     0    0.0    0.0    0.0   0.00   0.00    0.0    0.0    0.0    0.0   0.00   0.00    0.00    0.00
 2013 268     3     1    0.0    0.0    0.0   0.00   0.00    0.0    0.0    0.0    0.0   0.00   0.00    0.00    0.00
 2013 269     4     2    0.0    0.0    0.0   0.00   0.00    0.0    0.0    0.0    0.0   0.00   0.00    0.00    0.00
 2013 270     5     3    0.0    0.0    0.0   0.00   0.00    0.0    0.0    0.0    0.0   0.00   0.00    0.00    0.00
 2013 271     6     4    0.0    0.0    0.0   0.00   0.00    0.0    0.0    0.0    0.0   0.00   0.00    0.00    0.00
 2013 272     7     5    0.0    0.0    0.0   0.00   0.00    0.0    0.0    0.0    0.0   0.00   0.00    0.00    0.00
 2013 273     8     6    1.1    0.0    1.1   0.00   4.40    0.0    0.5    0.5    4.4   4.40   2.20    0.00    0.00
 2013 274     9     7    1.1    0.0    1.1   0.00   4.40    0.0    0.5    0.5    4.4   4.40   2.18    0.00    0.00
 2013 275    10     8    1.1    0.0    1.1   0.00   4.40    0.0    0.5    0.5    4.4   4.40   2.10    0.00    0.00
 2013 276    11     9    1.1    0.0    1.1   0.00   4.40    0.0    0.5    0.5    4.4   4.40   2.01    0.00    0.00
 2013 277    12    10    1.1    0.0    1.1   0.00   4.40    0.0    0.5    0.5    4.4   4.40   1.92    0.00    0.00
 2013 278    13    11    1.1    0.0    1.1   0.00   4.40    0.0    0.5    0.5    4.4   4.40   1.74    0.00    0.00
 2013 279    14    12    1.1    0.0    1.1   0.00   4.40    0.0    0.5    0.5    4.4   4.40   1.52    0.00    0.00
 2013 280    15    13    1.1    0.0    1.1   0.00   4.15    0.0    0.6    0.5    4.1   4.15   1.31    0.00    0.00
 2013 281    16    14    1.1    0.0    1.1   0.00   3.33    0.0    0.7    0.4    3.3   3.33   1.16    0.00    0.00
 2013 282    17    15    1.4    0.0    1.4   0.00   3.32    0.3    1.0    0.4    3.3   3.32   1.14    0.00    0.00
 2013 283    18    16    1.8    0.0    1.8   0.00   3.45    0.7    1.3    0.4    3.4   3.45   1.12    0.00    0.00
 2013 284    19    17    2.1    0.0    2.1   0.00   3.46    1.1    1.7    0.4    3.5   3.46   1.19    0.00    0.01
 2013 285    20    18    2.5    0.0    2.5   0.00   3.43    1.6    2.1    0.4    3.4   3.43   1.22    0.00    0.01
 2013 286    21    19    3.0    0.0    3.0   0.00   3.39    2.2    2.6    0.4    3.4   3.39   1.32    0.00    0.01
 2013 287    22    20    3.6    0.0    3.6   0.00   3.41    2.9    3.1    0.4    3.4   3.41   1.23    0.00    0.01
 2013 288    23    21    4.2    0.0    4.2   0.00   3.36    3.7    3.7    0.4    3.4   3.36   1.29    0.00    0.02
 2013 289    24    22    4.9    0.0    4.9   0.00   3.37    4.7    4.5    0.4    3.4   3.37   1.30    0.00    0.02
 2013 290    25    23    5.7    0.0    5.7   0.00   3.36    5.7    5.3    0.4    3.4   3.36   1.26    0.00    0.03
 2013 291    26    24    6.6    0.0    6.6   0.00   3.51    6.9    6.2    0.4    3.5   3.51   1.28    0.00    0.03
 2013 292    27    25    7.3    0.0    7.3   0.00   3.26    7.9    6.9    0.4    3.3   3.26   1.21    0.00    0.04
 2013 293    28    26    8.6    0.0    8.6   0.00   3.33    9.2    8.2    0.4    3.3   3.33   1.16    0.00    0.05
 2013 294    29    27   11.3    0.0   11.3   0.00   3.79   12.2   10.8    0.5    3.8   3.79   1.17    0.00    0.06
 2013 295    30    28   12.5    0.0   12.5   0.00   3.72   13.4   12.1    0.5    3.7   3.72   1.12    0.00    0.07
 2013 296    31    29   13.7    0.0   13.7   0.00   3.61   14.7   13.3    0.4    3.6   3.61   1.12    0.00    0.08
 2013 297    32    30   15.2    0.0   15.2   0.00   3.56   16.5   14.8    0.5    3.6   3.56   1.16    0.00    0.09
 2013 298    33    31   17.0    0.0   17.0   0.00   3.52   19.2   16.5    0.5    3.5   3.52   1.26    0.00    0.11
 2013 299    34    32   19.0    0.0   19.0   0.00   3.47   21.7   18.5    0.5    3.5   3.47   1.22    0.00    0.12
 2013 300    35    33   20.9    0.0   20.9   0.00   3.43   24.2   20.3    0.6    3.4   3.43   1.21    0.00    0.14
 2013 301    36    34   22.4    0.0   22.4   0.00   3.39   26.0   21.7    0.7    3.4   3.39   1.17    0.00    0.17
 2013 302    37    35   23.9    0.0   23.9   0.00   3.37   27.6   23.0    0.8    3.4   3.37   1.14    0.00    0.19
 2013 303    38    36   25.3    0.0   25.3   0.00   3.46   30.2   24.4    1.0    3.5   3.46   1.30    0.00    0.21
 2013 304    39    37   26.2    0.0   26.2   0.00   3.46   31.1   25.1    1.1    3.5   3.46   1.26    0.00    0.24
 2013 305    40    38   26.7    0.0   26.7   0.00   3.40   31.5   25.5    1.2    3.4   3.40   1.18    0.00    0.27
 2013 306    41    39   27.7    0.0   27.7   0.00   3.41   33.0   26.3    1.4    3.4   3.41   1.25    0.00    0.30
 2013 307    42    40   27.7    0.0   27.7   0.00   3.27   33.0   26.1    1.5    3.3   3.27   1.23    0.00    0.30
 2013 308    43    41   28.7    0.0   28.7   0.00   3.22   33.4   26.9    1.9    3.2   3.22   1.08    0.00    0.34
 2013 309    44    42   30.1    0.0   30.1   0.00   3.18   35.1   27.8    2.3    3.2   3.18   1.12    0.00    0.36
 2013 310    45    43   30.1    0.0   30.1   0.00   3.17   35.1   27.8    2.3    3.2   3.17   1.13    0.00    0.36
 2013 311    46    44   32.6    0.0   32.6   0.00   3.06   37.4   29.3    3.3    3.1   3.06   1.08    0.00    0.39
 2013 312    47    45   36.0    0.0   36.0   0.00   3.02   40.8   31.5    4.4    3.0   3.02   1.08    0.00    0.42
 2013 313    48    46   39.5    0.0   39.5   0.00   2.99   44.5   33.8    5.7    3.0   2.99   1.08    0.00    0.45
 2013 314    49    47   43.0    0.0   43.0   0.00   2.96   48.1   35.9    7.1    3.0   2.96   1.08    0.00    0.48
 2013 315    50    48   46.5    0.0   46.5   0.00   2.93   51.6   37.9    8.6    2.9   2.93   1.08    0.00    0.51
 2013 316    51    49   48.4    0.0   48.4   0.00   2.96   53.9   39.1    9.3    3.0   2.96   1.12    0.00    0.54
 2013 317    52    50   49.4    0.0   49.4   0.00   2.95   55.0   39.6    9.8    2.9   2.95   1.13    0.00    0.57
 2013 318    53    51   50.8    0.0   50.8   0.00   2.97   56.5   40.5   10.3    3.0   2.97   1.13    0.00    0.60
 2013 319    54    52   51.8    0.0   51.8   0.00   2.81   57.3   40.2   11.6    2.8   2.81   1.08    0.00    0.64
 2013 320    55    53   54.8    0.0   54.8   0.00   2.84   60.5   41.9   12.9    2.8   2.84   1.09    0.00    0.67
 2013 321    56    54   56.7    0.0   56.7   0.00   2.75   62.4   42.3   14.4    2.8   2.75   1.08    0.00    0.70
 2013 322    57    55   60.0    0.0   60.0   0.00   2.72   65.7   44.1   15.9    2.7   2.72   1.08    0.00    0.73
 2013 323    58    56   63.4    0.0   63.4   0.00   2.69   69.2   45.5   17.9    2.7   2.69   1.08    0.00    0.76
 2013 324    59    57   67.0    0.0   67.0   0.00   2.67   73.0   46.7   20.3    2.7   2.67   1.08    0.00    0.80
 2013 325    60    58   70.6    0.0   70.6   0.00   2.64   76.7   47.8   22.8    2.6   2.64   1.08    0.00    0.83
 2013 326    61    59   74.0    0.0   74.0   0.00   2.61   80.2   48.7   25.3    2.6   2.61   1.08    0.00    0.86
 2013 327    62    60   77.4    0.0   77.4   0.00   2.58   83.6   49.5   27.8    2.6   2.58   1.08    0.00    0.89
 2013 328    63    61   80.7    0.0   80.7   0.00   2.56   87.1   50.3   30.4    2.6   2.56   1.08    0.00    0.93
 2013 329    64    62   83.9    0.0   83.9   0.00   2.53   90.4   51.0   32.9    2.5   2.53   1.08    0.00    0.96
 2013 330    65    63   86.5    0.0   86.5   0.00   2.52   93.5   51.7   34.8    2.5   2.52   1.11    0.00    1.00
 2013 331    66    64   88.9    0.0   88.9   0.00   2.49   95.8   52.0   36.9    2.5   2.49   1.08    0.00    1.03
 2013 332    67    65   91.3    0.0   91.3   0.00   2.47   98.2   52.4   38.9    2.5   2.47   1.08    0.00    1.07
 2013 333    68    66   93.3    0.0   93.3   0.00   2.44  100.4   52.7   40.6    2.4   2.44   1.08    0.00    1.11
 2013 334    69    67   95.3    0.0   95.3   0.00   2.42  102.4   53.0   42.3    2.4   2.42   1.08    0.00    1.14
 2013 335    70    68   97.4    0.0   97.4   0.00   2.40  104.6   53.4   44.1    2.4   2.40   1.08    0.00    1.18
 2013 336    71    69   99.6    0.0   99.6   0.00   2.38  106.9   53.9   45.8    2.4   2.38   1.08    0.00    1.22
 2013 337    72    70  101.8    0.0  101.8   0.00   2.36  109.2   54.4   47.4    2.4   2.36   1.08    0.00    1.25
