*SOIL WATER DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.7.2.000 -release      OCT 15, 2021; 17:59:34
                                                                                
*RUN   1        :             CSM335_date_1 MZCER047 ITSA1301    1              
 MODEL          : MZCER047 - Maize                                              
 EXPERIMENT     : ITSA1301 SG CALIBRATION SETUP OF SORGHUM SOWING DATES         
 DATA PATH      :                                                               
 TREATMENT  1   :             CSM335_date_1 MZCER047                            
  
!                                                                                                 Soil water content (mm3/mm3) by soil depth (cm):
!                                                                                                 0-5    5-15   15-30   30-53   53-77  77-100
@YEAR DOY   DAS  SWTD  SWXD   ROFC   DRNC   PREC  IR#C  IRRC  DTWT    MWTD  TDFD  TDFC   ROFD    SW1D    SW2D    SW3D    SW4D    SW5D    SW6D    
 2013 265     0   130    60      0      0      0     0     0     0    0.00   0.0   0.0   0.00   0.130   0.130   0.130   0.130   0.130   0.130
 2013 266     1   129    59      0      0      0     0     0    50    0.00   0.0   0.0   0.00   0.121   0.129   0.130   0.130   0.130   0.130
 2013 267     2   129    59      0      0      0     0     0   100    0.00   0.0   0.0   0.00   0.112   0.129   0.130   0.130   0.130   0.130
 2013 268     3   128    58      0      0      0     0     0   100    0.00   0.0   0.0   0.00   0.104   0.128   0.130   0.130   0.130   0.130
 2013 269     4   130    60      0      0      2     0     0   100    0.00   0.0   0.0   0.00   0.139   0.128   0.130   0.130   0.130   0.130
 2013 270     5   130    60      0      0      2     0     0   100    0.00   0.0   0.0   0.00   0.133   0.127   0.129   0.130   0.130   0.130
 2013 271     6   129    59      0      0      2     0     0   100    0.00   0.0   0.0   0.00   0.124   0.127   0.129   0.130   0.130   0.130
 2013 272     7   132    62      0      0      6     0     0   100    0.00   0.0   0.0   0.00   0.161   0.136   0.129   0.130   0.130   0.130
 2013 273     8   130    60      0      0      7     0     0   100    0.00   0.0   0.0   0.00   0.150   0.139   0.126   0.128   0.128   0.129
 2013 274     9   142    72      0      0     22     0     0   100    0.00   0.0   0.0   0.00   0.262   0.174   0.150   0.126   0.127   0.128
 2013 275    10   139    69      0      0     23     0     0   100    0.00   0.0   0.0   0.00   0.185   0.167   0.157   0.130   0.126   0.126
 2013 276    11   136    66      0      0     24     0     0   100    0.00   0.0   0.0   0.00   0.154   0.157   0.155   0.133   0.124   0.125
 2013 277    12   134    64      0      0     24     0     0   100    0.00   0.0   0.0   0.00   0.143   0.150   0.152   0.133   0.123   0.124
 2013 278    13   133    63      0      0     24     0     0   100    0.00   0.0   0.0   0.00   0.136   0.149   0.152   0.133   0.123   0.124
 2013 279    14   133    63      0      0     24     0     0   100    0.00   0.0   0.0   0.00   0.125   0.148   0.152   0.133   0.123   0.124
 2013 280    15   132    62      0      0     24     0     0   100    0.00   0.0   0.0   0.00   0.115   0.147   0.152   0.133   0.123   0.124
 2013 281    16   131    61      0      0     24     0     0   100    0.00   0.0   0.0   0.00   0.106   0.146   0.151   0.133   0.123   0.124
 2013 282    17   131    61      0      0     24     0     0   100    0.00   0.0   0.0   0.00   0.098   0.144   0.151   0.133   0.123   0.124
 2013 283    18   132    62      0      0     27     0     0   100    0.00   0.0   0.0   0.00   0.138   0.142   0.151   0.133   0.123   0.124
 2013 284    19   134    64      0      0     32     0     0   100    0.00   0.0   0.0   0.00   0.174   0.151   0.151   0.131   0.121   0.123
 2013 285    20   132    62      0      0     34     0     0   100    0.00   0.0   0.0   0.00   0.158   0.151   0.152   0.129   0.120   0.122
 2013 286    21   132    62      0      0     38     0     0   100    0.00   0.0   0.0   0.00   0.166   0.152   0.151   0.129   0.119   0.121
 2013 287    22   132    62      0      0     42     0     0   100    0.00   0.0   0.0   0.00   0.168   0.153   0.151   0.129   0.117   0.120
 2013 288    23   128    58      0      0     42     0     0   100    0.00   0.0   0.0   0.00   0.136   0.144   0.148   0.127   0.116   0.119
 2013 289    24   126    56      0      0     42     0     0   100    0.00   0.0   0.0   0.00   0.121   0.140   0.146   0.127   0.116   0.119
