*SOIL-PLANT-ATMOSPHERE MODULE OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.7.2.000 -release      OCT 15, 2021; 17:59:34
                                                                                
*RUN   1        :             CSM335_date_1 MZCER047 ITSA1301    1              
 MODEL          : MZCER047 - Maize                                              
 EXPERIMENT     : ITSA1301 SG CALIBRATION SETUP OF SORGHUM SOWING DATES         
 DATA PATH      :                                                               
 TREATMENT  1   :             CSM335_date_1 MZCER047                            
  
!                                                                                                                                                Soil evaporation (mm/d) by soil depth (cm):
!                                                                                                                                                0-5    5-15   15-30   30-53   53-77  77-100
@YEAR DOY   DAS   SRAA  TMAXA  TMINA   EOAA   EOPA   EOSA   ETAA   EPAA   ESAA   EFAA   EMAA    EOAC    ETAC    EPAC    ESAC    EFAC    EMAC    ES1D    ES2D    ES3D    ES4D    ES5D    ES6D   TRWUD
 2013 266     1  15.08  26.20  17.60  3.472  0.000  3.472  0.551  0.000  0.551  0.000  0.000    3.47    0.55    0.00    0.55    0.00    0.00   0.464   0.057   0.017   0.008   0.003   0.002   0.000
 2013 267     2  11.79  25.80  17.50  2.670  0.000  2.670  0.511  0.000  0.511  0.000  0.000    6.14    1.06    0.00    1.06    0.00    0.00   0.425   0.057   0.017   0.008   0.003   0.002   0.000
 2013 268     3  19.98  28.70  17.80  4.641  0.000  4.641  0.474  0.000  0.474  0.000  0.000   10.78    1.54    0.00    1.54    0.00    0.00   0.389   0.057   0.017   0.008   0.003   0.002   0.000
 2013 269     4  11.94  29.10  18.30  2.770  0.000  2.770  0.535  0.000  0.535  0.000  0.000   13.55    2.07    0.00    2.07    0.00    0.00   0.449   0.056   0.017   0.008   0.003   0.002   0.000
 2013 270     5  23.61  31.20  16.80  5.781  0.000  5.781  0.598  0.000  0.598  0.000  0.000   19.33    2.67    0.00    2.67    0.00    0.00   0.513   0.056   0.017   0.008   0.003   0.002   0.000
 2013 271     6  20.07  30.60  17.60  4.875  0.000  4.875  0.563  0.000  0.563  0.000  0.000   24.21    3.23    0.00    3.23    0.00    0.00   0.478   0.056   0.017   0.008   0.003   0.002   0.000
 2013 272     7   5.73  22.80  17.40  1.256  0.000  1.256  0.626  0.000  0.626  0.000  0.000   25.46    3.86    0.00    3.86    0.00    0.00   0.539   0.058   0.017   0.008   0.003   0.002   0.000
 2013 273     8  12.80  26.30  16.40  3.028  0.000  3.028  3.028  0.000  3.028  0.000  0.000   28.49    6.89    0.00    6.89    0.00    0.00   0.927   0.585   0.451   0.453   0.346   0.267   0.000
 2013 274     9  15.16  27.90  16.30  3.605  0.006  3.598  3.605  0.006  3.598  0.000  0.000   32.10   10.49    0.01   10.48    0.00    0.00   1.313   0.699   0.508   0.457   0.350   0.271   0.001
 2013 275    10  19.68  28.30  15.50  5.272  0.018  5.254  3.816  0.018  3.798  0.000  0.000   37.37   14.31    0.02   14.28    0.00    0.00   1.299   0.797   0.592   0.477   0.356   0.276   0.002
 2013 276    11  15.67  27.30  17.20  3.875  0.020  3.854  3.544  0.020  3.524  0.000  0.000   41.24   17.85    0.04   17.81    0.00    0.00   1.057   0.744   0.605   0.494   0.351   0.273   0.002
 2013 277    12  11.47  26.40  16.60  2.700  0.020  2.680  2.699  0.020  2.680  0.000  0.000   43.94   20.55    0.06   20.49    0.00    0.00   0.743   0.563   0.477   0.401   0.278   0.217   0.002
 2013 278    13  21.07  28.70  16.40  5.017  0.047  4.970  0.674  0.047  0.627  0.000  0.000   48.96   21.23    0.11   21.11    0.00    0.00   0.527   0.068   0.020   0.008   0.003   0.002   0.005
 2013 279    14  24.51  29.90  17.20  5.903  0.070  5.832  0.659  0.070  0.588  0.000  0.000   54.86   21.88    0.18   21.70    0.00    0.00   0.488   0.067   0.020   0.008   0.003   0.002   0.007
 2013 280    15  21.95  30.30  17.00  5.236  0.111  5.125  0.654  0.111  0.543  0.000  0.000   60.10   22.54    0.29   22.25    0.00    0.00   0.444   0.067   0.020   0.008   0.003   0.002   0.011
 2013 281    16  23.60  31.30  16.80  5.617  0.176  5.441  0.677  0.176  0.501  0.000  0.000   65.72   23.21    0.47   22.75    0.00    0.00   0.402   0.066   0.020   0.008   0.003   0.002   0.018
 2013 282    17  18.00  30.60  19.40  4.286  0.186  4.100  0.647  0.186  0.461  0.000  0.000   70.00   23.86    0.66   23.21    0.00    0.00   0.363   0.065   0.020   0.008   0.003   0.002   0.019
 2013 283    18  12.59  27.70  18.10  2.849  0.163  2.686  0.692  0.163  0.529  0.000  0.000   72.85   24.55    0.82   23.74    0.00    0.00   0.432   0.064   0.020   0.008   0.003   0.002   0.016
 2013 284    19  15.88  27.50  17.70  3.733  0.260  3.472  3.615  0.260  3.355  0.000  0.000   76.58   28.17    1.08   27.09    0.00    0.00   0.998   0.672   0.583   0.493   0.342   0.268   0.026
 2013 285    20  16.97  29.60  16.40  4.199  0.349  3.849  3.792  0.349  3.443  0.000  0.000   80.78   31.96    1.43   30.53    0.00    0.00   1.074   0.697   0.587   0.483   0.337   0.265   0.035
 2013 286    21  23.61  30.30  16.30  5.777  0.568  5.209  3.978  0.568  3.410  0.000  0.000   86.56   35.94    2.00   33.94    0.00    0.00   1.048   0.701   0.588   0.479   0.332   0.262   0.057
 2013 287    22  18.50  29.40  16.70  4.525  0.523  4.002  3.963  0.523  3.440  0.000  0.000   91.09   39.90    2.52   37.38    0.00    0.00   1.082   0.706   0.586   0.480   0.328   0.259   0.052
 2013 288    23  23.57  30.70  16.40  5.838  0.777  5.060  4.047  0.777  3.269  0.000  0.000   96.93   43.95    3.29   40.65    0.00    0.00   0.947   0.688   0.580   0.475   0.323   0.256   0.078
 2013 289    24  24.77  30.90  14.70  5.878  0.901  4.974  1.486  0.901  0.585  0.000  0.000  102.80   45.43    4.20   41.24    0.00    0.00   0.489   0.065   0.020   0.007   0.003   0.001   0.090
 2013 290    25  23.19  31.10  14.90  5.439  0.948  4.489  1.467  0.948  0.519  0.000  0.000  108.24   46.90    5.14   41.76    0.00    0.00   0.426   0.063   0.019   0.007   0.003   0.001   0.095
 2013 291    26  23.15  31.50  16.10  5.428  1.067  4.359  1.526  1.067  0.459  0.000  0.000  113.67   48.43    6.21   42.22    0.00    0.00   0.368   0.060   0.019   0.007   0.003   0.001   0.107
 2013 292    27  22.54  31.80  17.70  5.316  1.196  4.117  1.735  1.196  0.539  0.000  0.000  118.99   50.16    7.41   42.76    0.00    0.00   0.451   0.058   0.018   0.007   0.003   0.001   0.120
 2013 293    28  16.46  27.80  16.20  3.826  0.980  2.844  1.606  0.980  0.625  0.000  0.000  122.81   51.77    8.39   43.38    0.00    0.00   0.541   0.055   0.018   0.007   0.003   0.001   0.098
 2013 294    29  18.11  30.90  16.20  4.311  1.217  3.092  1.782  1.217  0.565  0.000  0.000  127.12   53.55    9.60   43.95    0.00    0.00   0.483   0.053   0.017   0.007   0.003   0.001   0.122
 2013 295    30  12.20  27.90  15.70  2.758  0.863  1.895  1.358  0.863  0.496  0.000  0.000  129.88   54.91   10.47   44.44    0.00    0.00   0.417   0.050   0.017   0.007   0.003   0.001   0.086
 2013 296    31  12.06  27.80  16.60  2.713  0.920  1.792  1.360  0.920  0.439  0.000  0.000  132.59   56.27   11.39   44.88    0.00    0.00   0.363   0.049   0.016   0.007   0.003   0.001   0.092
 2013 297    32  14.92  27.50  16.70  3.324  1.214  2.107  1.758  1.214  0.544  0.000  0.000  135.92   58.03   12.60   45.43    0.00    0.00   0.468   0.049   0.016   0.007   0.003   0.001   0.121
 2013 298    33  24.84  29.10  14.80  5.779  2.282  3.494  5.143  2.282  2.861  0.000  0.000  141.70   63.17   14.88   48.29    0.00    0.00   0.918   0.482   0.428   0.463   0.318   0.253   0.228
 2013 299    34  22.86  30.70  15.60  5.331  2.271  3.056  2.780  2.271  0.509  0.000  0.000  147.03   65.95   17.15   48.80    0.00    0.00   0.440   0.044   0.014   0.007   0.003   0.001   0.227
 2013 300    35  22.47  31.70  15.50  5.187  2.384  2.798  2.757  2.384  0.372  0.000  0.000  152.22   68.71   19.54   49.17    0.00    0.00   0.307   0.041   0.013   0.007   0.003   0.001   0.238
 2013 301    36  16.61  29.20  18.70  3.794  1.854  1.937  2.175  1.854  0.321  0.000  0.000  156.01   70.88   21.39   49.49    0.00    0.00   0.260   0.037   0.012   0.007   0.003   0.001   0.185
 2013 302    37  12.84  28.20  16.80  2.848  1.455  1.389  1.612  1.327  0.285  0.000  0.000  158.86   72.49   22.72   49.77    0.00    0.00   0.228   0.035   0.011   0.007   0.003   0.001   0.133
 2013 303    38  24.26  30.30  14.90  5.421  2.868  2.545  1.326  1.064  0.262  0.000  0.000  164.28   73.82   23.78   50.04    0.00    0.00   0.209   0.033   0.010   0.007   0.003   0.001   0.106
 2013 304    39  20.60  29.70  16.80  4.627  2.434  2.185  1.200  0.924  0.277  0.000  0.000  168.91   75.02   24.71   50.31    0.00    0.00   0.225   0.031   0.010   0.007   0.003   0.001   0.092
 2013 305    40  16.31  28.20  17.30  3.638  1.908  1.725  1.200  0.893  0.307  0.000  0.000  172.54   76.22   25.60   50.62    0.00    0.00   0.257   0.030   0.009   0.007   0.003   0.001   0.089
 2013 306    41  21.20  31.10  16.70  4.867  2.560  2.301  1.129  0.827  0.302  0.000  0.000  177.41   77.35   26.43   50.92    0.00    0.00   0.254   0.029   0.009   0.007   0.003   0.001   0.083
 2013 307    42  13.79  29.20  18.00  3.124  1.631  1.489  1.062  0.756  0.306  0.000  0.000  180.54   78.41   27.18   51.23    0.00    0.00   0.258   0.028   0.009   0.006   0.003   0.001   0.076
 2013 308    43   9.83  25.00  17.80  2.126  1.114  1.009  1.109  0.756  0.353  0.000  0.000  182.66   79.52   27.94   51.58    0.00    0.00   0.307   0.027   0.009   0.006   0.003   0.001   0.076
 2013 309    44  13.89  26.60  17.40  3.076  1.639  1.434  1.629  1.203  0.426  0.000  0.000  185.74   81.15   29.14   52.01    0.00    0.00   0.381   0.026   0.008   0.006   0.003   0.001   0.120
 2013 310    45   0.21  18.10  16.30  0.042  0.023  0.019  0.042  0.023  0.019  0.000  0.000  185.78   81.19   29.16   52.02    0.00    0.00   0.008   0.003   0.002   0.003   0.002   0.002   0.002
 2013 311    46  14.75  27.91  17.08  3.581  1.952  1.627  3.579  1.952  1.627  0.000  0.000  189.36   84.77   31.12   53.65    0.00    0.00   0.643   0.340   0.131   0.216   0.165   0.133   0.195
 2013 312    47  14.42  27.87  17.10  3.343  1.927  1.415  3.342  1.927  1.415  0.000  0.000  192.70   88.11   33.04   55.07    0.00    0.00   0.487   0.319   0.127   0.202   0.155   0.126   0.193
 2013 313    48  14.63  27.76  17.18  3.335  2.017  1.316  2.583  2.017  0.565  0.000  0.000  196.04   90.69   35.06   55.63    0.00    0.00   0.490   0.056   0.008   0.006   0.003   0.001   0.202
 2013 314    49  14.20  27.76  17.15  3.200  2.022  1.177  2.478  2.022  0.456  0.000  0.000  199.24   93.17   37.08   56.09    0.00    0.00   0.388   0.049   0.008   0.006   0.003   0.001   0.202
 2013 315    50  13.82  27.45  17.22  3.081  2.021  1.059  2.385  2.021  0.365  0.000  0.000  202.32   95.56   39.10   56.45    0.00    0.00   0.304   0.042   0.008   0.006   0.003   0.001   0.202
 2013 316    51  14.38  27.39  17.00  3.184  2.157  1.025  1.319  1.016  0.303  0.000  0.000  205.50   96.87   40.12   56.76    0.00    0.00   0.250   0.034   0.008   0.006   0.003   0.001   0.102
 2013 317    52  14.23  27.50  16.97  3.145  2.123  1.020  0.971  0.703  0.268  0.000  0.000  208.65   97.85   40.82   57.02    0.00    0.00   0.218   0.032   0.008   0.006   0.003   0.001   0.070
 2013 318    53  13.91  27.44  17.00  3.067  2.052  1.015  1.045  0.614  0.431  0.000  0.000  211.72   98.89   41.44   57.45    0.00    0.00   0.382   0.030   0.008   0.006   0.003   0.001   0.061
 2013 319    54  13.82  27.36  17.22  3.140  2.074  1.065  2.654  2.074  0.580  0.000  0.000  214.86  101.54   43.51   58.03    0.00    0.00   0.533   0.029   0.008   0.006   0.003   0.001   0.207
 2013 320    55  13.40  27.19  17.30  2.986  2.026  0.958  2.273  1.315  0.958  0.000  0.000  217.84  103.82   44.82   58.99    0.00    0.00   0.398   0.171   0.080   0.128   0.100   0.081   0.132
 2013 321    56  13.34  27.09  17.24  3.141  2.142  0.997  3.139  2.142  0.997  0.000  0.000  220.98  106.96   46.97   59.99    0.00    0.00   0.388   0.224   0.096   0.119   0.094   0.076   0.214
 2013 322    57  13.65  27.27  17.14  3.120  2.176  0.942  3.118  2.176  0.942  0.000  0.000  224.10  110.07   49.14   60.93    0.00    0.00   0.321   0.209   0.115   0.122   0.096   0.079   0.218
 2013 323    58  13.96  27.46  17.12  3.160  2.262  0.896  2.865  2.262  0.603  0.000  0.000  227.26  112.94   51.41   61.53    0.00    0.00   0.523   0.058   0.012   0.006   0.003   0.001   0.226
 2013 324    59  14.87  27.96  17.15  3.360  2.453  0.904  3.030  2.453  0.576  0.000  0.000  230.62  115.97   53.86   62.11    0.00    0.00   0.503   0.051   0.012   0.006   0.003   0.001   0.245
 2013 325    60  14.90  28.24  17.16  3.389  2.518  0.869  3.063  2.518  0.545  0.000  0.000  234.01  119.03   56.38   62.65    0.00    0.00   0.480   0.044   0.011   0.006   0.003   0.001   0.252
 2013 326    61  14.36  27.99  17.23  3.225  2.432  0.790  2.950  2.432  0.518  0.000  0.000  237.24  121.98   58.81   63.17    0.00    0.00   0.456   0.041   0.011   0.006   0.003   0.001   0.243
 2013 327    62  14.18  27.75  17.21  3.211  2.452  0.756  3.208  2.452  0.756  0.000  0.000  240.45  125.19   61.26   63.93    0.00    0.00   0.313   0.132   0.077   0.096   0.076   0.062   0.245
 2013 328    63  14.48  27.91  17.17  3.332  2.573  0.755  3.329  2.573  0.755  0.000  0.000  243.78  128.52   63.83   64.68    0.00    0.00   0.275   0.173   0.076   0.095   0.075   0.062   0.257
 2013 329    64  14.06  27.58  17.00  3.178  2.480  0.695  3.175  2.480  0.695  0.000  0.000  246.96  131.69   66.31   65.38    0.00    0.00   0.273   0.152   0.072   0.081   0.064   0.053   0.248
 2013 330    65  14.64  27.95   1.00  2.964  2.333  0.626  2.959  2.333  0.626  0.000  0.000  249.92  134.65   68.65   66.00    0.00    0.00   0.227   0.141   0.077   0.074   0.059   0.048   0.233
 2013 331    66  14.11  27.71  17.00  3.225  2.237  0.985  3.222  2.237  0.985  0.000  0.000  253.15  137.87   70.88   66.99    0.00    0.00   0.362   0.214   0.129   0.115   0.091   0.075   0.224
 2013 332    67  13.61  27.45  17.08  3.128  2.197  0.929  3.126  2.197  0.929  0.000  0.000  256.28  141.00   73.08   67.92    0.00    0.00   0.317   0.211   0.127   0.112   0.089   0.073   0.220
 2013 333    68  12.63  27.03  17.00  2.851  2.024  0.824  2.670  2.024  0.647  0.000  0.000  259.13  143.67   75.11   68.57    0.00    0.00   0.560   0.064   0.014   0.006   0.002   0.001   0.202
 2013 334    69  12.38  26.58  17.06  2.762  1.980  0.780  2.531  1.980  0.551  0.000  0.000  261.89  146.20   77.08   69.12    0.00    0.00   0.471   0.058   0.013   0.006   0.002   0.001   0.198
 2013 335    70  13.51  26.82  17.00  3.003  2.172  0.829  2.632  2.172  0.461  0.000  0.000  264.89  148.83   79.26   69.58    0.00    0.00   0.386   0.052   0.013   0.006   0.002   0.001   0.217
 2013 336    71  14.65  27.52  17.01  3.268  2.386  0.879  3.265  2.386  0.879  0.000  0.000  268.16  152.10   81.64   70.46    0.00    0.00   0.310   0.178   0.112   0.114   0.091   0.074   0.239
 2013 337    72  15.32  27.93  17.00  3.550  2.618  0.929  3.547  2.618  0.929  0.000  0.000  271.71  155.65   84.26   71.39    0.00    0.00   0.346   0.205   0.102   0.112   0.090   0.074   0.262
 2013 338    73  15.56  28.17  17.15  3.557  2.650  0.904  3.554  2.650  0.904  0.000  0.000  275.27  159.20   86.91   72.29    0.00    0.00   0.311   0.200   0.105   0.117   0.094   0.077   0.265
 2013 339    74  16.05  28.48  17.25  3.661  2.755  0.903  3.305  2.755  0.550  0.000  0.000  278.93  162.50   89.67   72.84    0.00    0.00   0.479   0.051   0.011   0.005   0.002   0.001   0.276
 2013 340    75  16.24  28.56  17.29  3.683  2.799  0.880  3.225  2.799  0.426  0.000  0.000  282.61  165.73   92.46   73.27    0.00    0.00   0.365   0.041   0.010   0.005   0.002   0.001   0.280
 2013 341    76  16.36  28.73  17.30  3.689  2.832  0.854  1.816  1.523  0.293  0.000  0.000  286.30  167.55   93.99   73.56    0.00    0.00   0.239   0.035   0.010   0.005   0.002   0.001   0.152
