*GROWTH ASPECTS OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.7.2.000 -release      OCT 15, 2021; 17:59:34
                                                                                
*RUN   1        :             CSM335_date_1 MZCER047 ITSA1301    1              
 MODEL          : MZCER047 - Maize                                              
 EXPERIMENT     : ITSA1301 SG CALIBRATION SETUP OF SORGHUM SOWING DATES         
 DATA PATH      :                                                               
 TREATMENT  1   :             CSM335_date_1 MZCER047                            
  
!                                                                                                                                                                                                                                      Root Dens. (cm/cm3) by soil depth (cm):
!                                                                                                                                                                                                                                      0-5    5-15   15-30   30-53   53-77  77-100
@YEAR DOY   DAS   DAP   L#SD   GSTD   LAID   LWAD   SWAD   GWAD   RWAD   VWAD   CWAD   G#AD   GWGD   HIAD   PWAD   P#AD   WSPD   WSGD   NSTD   EWSD  PST1A  PST2A   KSTD   LN%D   SH%D   HIPD   PWDD   PWTD     SLAD   CHTD   CWID   RDPD    RL1D    RL2D    RL3D    RL4D    RL5D    RL6D   CDAD   LDAD   SDAD   SNW0C   SNW1C  DTTD
 2013 285    20    18    6.0      1   0.15     61     12      0     34     74     74      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   3.43   0.00   0.00      0      0    247.3   0.08   0.00   0.35    0.46    0.27    0.11    0.00    0.00    0.00      0      0      0       0       1 15.88
 2013 286    21    19    6.0      1   0.18     76     12      0     45     88     88      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   3.39   0.00   0.00      0      0    236.5   0.10   0.00   0.39    0.55    0.34    0.17    0.00    0.00    0.00      0      0      0       0       1 16.73
 2013 287    22    20    7.0      1   0.21     92     12      0     53    104    104      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   3.41   0.00   0.00      0      0    227.3   0.11   0.00   0.42    0.62    0.40    0.21    0.00    0.00    0.00      0      0      0       0       1 16.00
 2013 288    23    21    7.0      1   0.24    111     12      0     68    124    124      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   3.36   0.00   0.00      0      0    218.3   0.13   0.00   0.45    0.73    0.50    0.30    0.00    0.00    0.00      0      0      0       0       1 17.01
 2013 289    24    22    7.0      1   0.28    133     12      0     87    145    145      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   3.37   0.00   0.00      0      0    210.4   0.15   0.00   0.48    0.89    0.62    0.40    0.00    0.00    0.00      0      0      0       0       2 16.55
 2013 290    25    23    8.0      1   0.32    157     12      0    106    170    170      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   3.36   0.00   0.00      0      0    203.1   0.17   0.00   0.52    1.05    0.74    0.51    0.01    0.00    0.00      0      0      0       0       2 16.62
 2013 291    26    24    8.0      2   0.37    176     12      0    132    188    188      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   3.51   0.00   0.00      0      0    212.0   0.20   0.00   0.55    1.26    0.91    0.66    0.01    0.00    0.00      0      0      0       0       3 17.34
 2013 292    27    25    8.0      2   0.43    212     12      0    152    225    225      0    0.0  0.000      0      0  0.000  0.000  0.001  0.000  0.000  0.000  0.000   3.26   0.00   0.00      0      0    203.9   0.23   0.00   0.59    1.43    1.05    0.77    0.01    0.00    0.00      0      0      0       0       3 18.11
 2013 293    28    26    9.0      2   0.48    245     12      0    168    258    258      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   3.33   0.00   0.00      0      0    197.8   0.26   0.00   0.62    1.56    1.15    0.86    0.02    0.00    0.00      0      0      0       0       4 14.74
 2013 294    29    27    9.0      2   0.55    286     12      0    186    299    299      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   3.79   0.00   0.00      0      0    191.5   0.30   0.00   0.65    1.71    1.27    0.96    0.02    0.00    0.00      0      0      0       0       5 16.62
 2013 295    30    28    9.0      2   0.61    325     12      0    195    337    337      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   3.72   0.00   0.00      0      0    186.4   0.33   0.00   0.68    1.78    1.32    1.01    0.02    0.00    0.00      0      0      0       0       6 14.31
 2013 296    31    29   10.0      3   0.67    368     12      0    205    380    380      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   3.61   0.00   0.00      0      0    180.8   0.36   0.00   0.71    1.86    1.39    1.07    0.02    0.00    0.00      0      0      0       0       7 14.66
 2013 297    32    30   10.0      3   0.73    415     13      0    225    428    428      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   3.56   0.00   0.00      0      0    177.0   0.40   0.00   0.74    2.02    1.52    1.18    0.03    0.00    0.00      0      0      0       0       8 14.71
 2013 298    33    31   10.0      3   0.81    469     14      0    276    482    482      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   3.52   0.00   0.00      0      0    173.3   0.44   0.00   0.77    2.43    1.86    1.46    0.04    0.00    0.00      0      0      0       0       9 15.50
 2013 299    34    32   11.0      3   0.90    531     15      0    321    547    547      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   3.47   0.00   0.00      0      0    169.4   0.49   0.00   0.80    2.82    2.15    1.70    0.05    0.01    0.00      0      0      0       0      10 16.63
 2013 300    35    33   11.0      3   0.98    590     18      0    373    608    608      0    0.0  0.000      0      0  0.000  0.085  0.000  0.000  0.000  0.000  0.000   3.43   0.00   0.00      0      0    166.3   0.53   0.00   0.83    3.13    2.53    2.00    0.06    0.01    0.00      0      0      0       0      12 15.60
 2013 301    36    34   11.0      3   1.05    640     21      0    411    661    661      0    0.0  0.000      0      0  0.000  0.300  0.000  0.000  0.000  0.000  0.000   3.39   0.00   0.00      0      0    163.8   0.56   0.00   0.87    3.22    2.83    2.24    0.06    0.02    0.00      0      0      0       0      14 15.95
 2013 302    37    35   11.0      3   1.10    683     25      0    437    708    708      0    0.0  0.000      0      0  0.049  0.366  0.000  0.000  0.000  0.000  0.000   3.37   0.00   0.00      0      0    161.5   0.59   0.00   0.90    3.20    3.05    2.41    0.07    0.02    0.00      0      0      0       0      16 14.50
 2013 303    38    36   12.0      3   1.09    704     28      0    462    731    731      0    0.0  0.000      0      0  0.629  0.753  0.000  0.000  0.000  0.000  0.000   3.46   0.00   0.00      0      0    155.6   0.59   0.00   0.92    3.18    3.24    2.61    0.07    0.03    0.01      0      0      0       0      18 14.60
