*Surface Mulch daily output file

*DSSAT Cropping System Model Ver. 4.7.2.000 -release      OCT 15, 2021; 17:59:34
                                                                                
*RUN   1        :             CSM335_date_1 MZCER047 ITSA1301    1              
 MODEL          : MZCER047 - Maize                                              
 EXPERIMENT     : ITSA1301 SG CALIBRATION SETUP OF SORGHUM SOWING DATES         
 DATA PATH      :                                                               
 TREATMENT  1   :             CSM335_date_1 MZCER047                            
  
@YEAR DOY   DAS    MCFD   MDEPD    MWAD    MWTD
 2014 034   134   0.000    0.00       0    0.00
 2014 035   135   0.000    0.00       0    0.00
 2014 036   136   0.000    0.00       0    0.00
 2014 037   137   0.000    0.00       0    0.00
 2014 038   138   0.000    0.00       0    0.00
 2014 039   139   0.000    0.00       0    0.00
 2014 040   140   0.000    0.00       0    0.00
 2014 041   141   0.000    0.00       0    0.00
 2014 042   142   0.000    0.00       0    0.00
 2014 043   143   0.000    0.00       0    0.00
 2014 044   144   0.000    0.00       0    0.00
 2014 045   145   0.000    0.00       0    0.00
 2014 046   146   0.000    0.00       0    0.00
 2014 047   147   0.000    0.00       0    0.00
