*Surface Mulch daily output file

*DSSAT Cropping System Model Ver. 4.7.2.000 -release      OCT 15, 2021; 17:59:35
                                                                                
*RUN   1        :             CSM335_date_1 MZCER047 ITSA1301    1              
 MODEL          : MZCER047 - Maize                                              
 EXPERIMENT     : ITSA1301 SG CALIBRATION SETUP OF SORGHUM SOWING DATES         
 DATA PATH      :                                                               
 TREATMENT  1   :             CSM335_date_1 MZCER047                            
  
@YEAR DOY   DAS    MCFD   MDEPD    MWAD    MWTD
 2014 280     0   0.000    0.00       0    0.00
 2014 281     1   0.000    0.00       0    0.00
 2014 282     2   0.000    0.00       0    0.00
 2014 283     3   0.000    0.00       0    0.00
 2014 284     4   0.000    0.00       0    0.00
 2014 285     5   0.000    0.00       0    0.00
 2014 286     6   0.000    0.00       0    0.00
 2014 287     7   0.000    0.00       0    0.00
 2014 288     8   0.000    0.00       0    0.00
 2014 289     9   0.000    0.00       0    0.00
 2014 290    10   0.000    0.00       0    0.00
 2014 291    11   0.000    0.00       0    0.00
 2014 292    12   0.000    0.00       0    0.00
 2014 293    13   0.000    0.00       0    0.00
 2014 294    14   0.000    0.00       0    0.00
 2014 295    15   0.000    0.00       0    0.00
 2014 296    16   0.000    0.00       0    0.00
 2014 297    17   0.000    0.00       0    0.00
 2014 298    18   0.000    0.00       0    0.00
 2014 299    19   0.000    0.00       0    0.00
 2014 300    20   0.000    0.00       0    0.00
 2014 301    21   0.000    0.00       0    0.00
 2014 302    22   0.000    0.00       0    0.00
 2014 303    23   0.000    0.00       0    0.00
 2014 304    24   0.000    0.00       0    0.00
 2014 305    25   0.000    0.00       0    0.00
 2014 306    26   0.000    0.00       0    0.00
 2014 307    27   0.000    0.00       0    0.00
 2014 308    28   0.000    0.00       0    0.00
 2014 309    29   0.000    0.00       0    0.00
 2014 310    30   0.000    0.00       0    0.00
 2014 311    31   0.000    0.00       0    0.00
 2014 312    32   0.000    0.00       0    0.00
 2014 313    33   0.000    0.00       0    0.00
 2014 314    34   0.000    0.00       0    0.00
 2014 315    35   0.000    0.00       0    0.00
 2014 316    36   0.000    0.00       0    0.00
 2014 317    37   0.000    0.00       0    0.00
 2014 318    38   0.000    0.00       0    0.00
 2014 319    39   0.000    0.00       0    0.00
 2014 320    40   0.000    0.00       0    0.00
 2014 321    41   0.000    0.00       0    0.00
 2014 322    42   0.000    0.00       0    0.00
 2014 323    43   0.000    0.00       0    0.00
 2014 324    44   0.000    0.00       0    0.00
 2014 325    45   0.000    0.00       0    0.00
 2014 326    46   0.000    0.00       0    0.00
 2014 327    47   0.000    0.00       0    0.00
 2014 328    48   0.000    0.00       0    0.00
 2014 329    49   0.000    0.00       0    0.00
 2014 330    50   0.000    0.00       0    0.00
 2014 331    51   0.000    0.00       0    0.00
 2014 332    52   0.000    0.00       0    0.00
 2014 333    53   0.000    0.00       0    0.00
 2014 334    54   0.000    0.00       0    0.00
 2014 335    55   0.000    0.00       0    0.00
 2014 336    56   0.000    0.00       0    0.00
 2014 337    57   0.000    0.00       0    0.00
 2014 338    58   0.000    0.00       0    0.00
 2014 339    59   0.000    0.00       0    0.00
 2014 340    60   0.000    0.00       0    0.00
 2014 341    61   0.000    0.00       0    0.00
 2014 342    62   0.000    0.00       0    0.00
 2014 343    63   0.000    0.00       0    0.00
 2014 344    64   0.000    0.00       0    0.00
 2014 345    65   0.000    0.00       0    0.00
 2014 346    66   0.000    0.00       0    0.00
 2014 347    67   0.000    0.00       0    0.00
 2014 348    68   0.000    0.00       0    0.00
 2014 349    69   0.000    0.00       0    0.00
 2014 350    70   0.000    0.00       0    0.00
 2014 351    71   0.000    0.00       0    0.00
 2014 352    72   0.000    0.00       0    0.00
 2014 353    73   0.000    0.00       0    0.00
 2014 354    74   0.000    0.00       0    0.00
 2014 355    75   0.000    0.00       0    0.00
 2014 356    76   0.000    0.00       0    0.00
 2014 357    77   0.000    0.00       0    0.00
 2014 358    78   0.000    0.00       0    0.00
 2014 359    79   0.000    0.00       0    0.00
 2014 360    80   0.000    0.00       0    0.00
 2014 361    81   0.000    0.00       0    0.00
 2014 362    82   0.000    0.00       0    0.00
 2014 363    83   0.000    0.00       0    0.00
 2014 364    84   0.000    0.00       0    0.00
 2014 365    85   0.000    0.00       0    0.00
 2015 001    86   0.000    0.00       0    0.00
 2015 002    87   0.000    0.00       0    0.00
 2015 003    88   0.000    0.00       0    0.00
 2015 004    89   0.000    0.00       0    0.00
 2015 005    90   0.000    0.00       0    0.00
 2015 006    91   0.000    0.00       0    0.00
 2015 007    92   0.000    0.00       0    0.00
 2015 008    93   0.000    0.00       0    0.00
 2015 009    94   0.000    0.00       0    0.00
 2015 010    95   0.000    0.00       0    0.00
 2015 011    96   0.000    0.00       0    0.00
 2015 012    97   0.000    0.00       0    0.00
 2015 013    98   0.000    0.00       0    0.00
 2015 014    99   0.000    0.00       0    0.00
 2015 015   100   0.000    0.00       0    0.00
 2015 016   101   0.000    0.00       0    0.00
 2015 017   102   0.000    0.00       0    0.00
 2015 018   103   0.000    0.00       0    0.00
 2015 019   104   0.000    0.00       0    0.00
 2015 020   105   0.000    0.00       0    0.00
 2015 021   106   0.000    0.00       0    0.00
 2015 022   107   0.000    0.00       0    0.00
 2015 023   108   0.000    0.00       0    0.00
 2015 024   109   0.000    0.00       0    0.00
 2015 025   110   0.000    0.00       0    0.00
 2015 026   111   0.000    0.00       0    0.00
 2015 027   112   0.000    0.00       0    0.00
 2015 028   113   0.000    0.00       0    0.00
 2015 029   114   0.000    0.00       0    0.00
 2015 030   115   0.000    0.00       0    0.00
 2015 031   116   0.000    0.00       0    0.00
 2015 032   117   0.000    0.00       0    0.00
 2015 033   118   0.000    0.00       0    0.00
 2015 034   119   0.000    0.00       0    0.00
