*SOIL WATER DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.7.2.000 -release      OCT 15, 2021; 17:59:35
                                                                                
*RUN   1        :             CSM335_date_1 MZCER047 ITSA1301    1              
 MODEL          : MZCER047 - Maize                                              
 EXPERIMENT     : ITSA1301 SG CALIBRATION SETUP OF SORGHUM SOWING DATES         
 DATA PATH      :                                                               
 TREATMENT  1   :             CSM335_date_1 MZCER047                            
  
!                                                                                                 Soil water content (mm3/mm3) by soil depth (cm):
!                                                                                                 0-5    5-15   15-30   30-53   53-77  77-100
@YEAR DOY   DAS  SWTD  SWXD   ROFC   DRNC   PREC  IR#C  IRRC  DTWT    MWTD  TDFD  TDFC   ROFD    SW1D    SW2D    SW3D    SW4D    SW5D    SW6D    
 2014 323    43   155    85      0     45    212     0     0   100    0.00   0.0   0.0   0.00   0.181   0.162   0.155   0.154   0.151   0.154
 2014 324    44   162    92      0     45    221     0     0   100    0.00   0.0   0.0   0.00   0.245   0.176   0.161   0.156   0.156   0.153
 2014 325    45   159    89      0     46    222     0     0   100    0.00   0.0   0.0   0.00   0.189   0.167   0.159   0.156   0.156   0.155
 2014 326    46   152    82      0     48    222     0     0   100    0.00   0.0   0.0   0.00   0.155   0.151   0.148   0.152   0.154   0.154
 2014 327    47   149    79      0     48    222     0     0   100    0.00   0.0   0.0   0.00   0.146   0.144   0.141   0.150   0.152   0.153
 2014 328    48   145    75      0     48    222     0     0   100    0.00   0.0   0.0   0.00   0.132   0.136   0.133   0.147   0.150   0.151
 2014 329    49   147    77      0     48    228     0     0   100    0.00   0.0   0.0   0.00   0.190   0.150   0.129   0.144   0.148   0.150
 2014 330    50   145    75      0     48    228     0     0   100    0.00   0.0   0.0   0.00   0.167   0.152   0.128   0.142   0.147   0.150
 2014 331    51   143    73      0     48    229     0     0   100    0.00   0.0   0.0   0.00   0.157   0.151   0.125   0.140   0.146   0.149
 2014 332    52   140    70      0     48    229     0     0   100    0.00   0.0   0.0   0.00   0.146   0.146   0.119   0.138   0.145   0.148
 2014 333    53   164    94      0     48    256     0     0   100    0.00   0.0   0.0   0.00   0.277   0.224   0.164   0.152   0.144   0.147
 2014 334    54   158    88      0     52    256     0     0   100    0.00   0.0   0.0   0.00   0.198   0.178   0.154   0.153   0.153   0.154
 2014 335    55   151    81      0     54    256     0     0   100    0.00   0.0   0.0   0.00   0.157   0.154   0.145   0.151   0.152   0.153
 2014 336    56   149    79      0     54    256     0     0   100    0.00   0.0   0.0   0.00   0.146   0.149   0.140   0.149   0.151   0.152
 2014 337    57   157    87      0     54    266     0     0   100    0.00   0.0   0.0   0.00   0.236   0.169   0.152   0.150   0.150   0.152
 2014 338    58   156    86      0     54    267     0     0   100    0.00   0.0   0.0   0.00   0.199   0.168   0.156   0.155   0.149   0.151
 2014 339    59   152    82      0     54    268     0     0   100    0.00   0.0   0.0   0.00   0.167   0.156   0.150   0.153   0.151   0.150
 2014 340    60   147    77      0     54    268     0     0   100    0.00   0.0   0.0   0.00   0.142   0.144   0.141   0.150   0.149   0.148
 2014 341    61   143    73      0     54    268     0     0   100    0.00   0.0   0.0   0.00   0.127   0.135   0.132   0.147   0.147   0.147
 2014 342    62   138    68      0     54    268     0     0   100    0.00   0.0   0.0   0.00   0.106   0.123   0.121   0.145   0.146   0.146
 2014 343    63   137    67      0     54    273     0     0   100    0.00   0.0   0.0   0.00   0.160   0.122   0.111   0.142   0.144   0.145
 2014 344    64   142    72      0     54    279     0     0   100    0.00   0.0   0.0   0.00   0.208   0.149   0.109   0.140   0.143   0.145
 2014 345    65   137    67      0     54    279     0     0   100    0.00   0.0   0.0   0.00   0.165   0.146   0.109   0.137   0.141   0.143
 2014 346    66   134    64      0     54    279     0     0   100    0.00   0.0   0.0   0.00   0.147   0.140   0.105   0.135   0.140   0.142
 2014 347    67   129    59      0     54    279     0     0   100    0.00   0.0   0.0   0.00   0.124   0.124   0.101   0.131   0.137   0.141
 2014 348    68   125    55      0     54    279     0     0   100    0.00   0.0   0.0   0.00   0.106   0.112   0.099   0.128   0.135   0.139
 2014 349    69   121    51      0     54    279     0     0   100    0.00   0.0   0.0   0.00   0.096   0.102   0.096   0.123   0.132   0.137
 2014 350    70   118    48      0     54    279     0     0   100    0.00   0.0   0.0   0.00   0.090   0.098   0.094   0.118   0.129   0.135
 2014 351    71   115    45      0     54    280     0     0   100    0.00   0.0   0.0   0.00   0.094   0.095   0.092   0.113   0.126   0.132
 2014 352    72   111    41      0     54    280     0     0   100    0.00   0.0   0.0   0.00   0.088   0.093   0.091   0.110   0.121   0.129
 2014 353    73   107    37      0     54    280     0     0   100    0.00   0.0   0.0   0.00   0.082   0.090   0.089   0.106   0.115   0.124
 2014 354    74   108    38      0     54    285     0     0   100    0.00   0.0   0.0   0.00   0.167   0.098   0.087   0.103   0.110   0.118
 2014 355    75   104    34      0     54    285     0     0   100    0.00   0.0   0.0   0.00   0.129   0.098   0.085   0.102   0.108   0.114
 2014 356    76   102    32      0     54    286     0     0   100    0.00   0.0   0.0   0.00   0.107   0.095   0.085   0.100   0.106   0.111
 2014 357    77    99    29      0     54    286     0     0   100    0.00   0.0   0.0   0.00   0.091   0.091   0.083   0.099   0.104   0.108
 2014 358    78    96    26      0     54    286     0     0   100    0.00   0.0   0.0   0.00   0.086   0.088   0.082   0.097   0.102   0.105
 2014 359    79    97    27      0     54    287     0     0   100    0.00   0.0   0.0   0.00   0.115   0.086   0.081   0.096   0.100   0.104
 2014 360    80    94    24      0     54    287     0     0   100    0.00   0.0   0.0   0.00   0.083   0.085   0.080   0.095   0.099   0.103
 2014 361    81    90    20      0     54    287     0     0   100    0.00   0.0   0.0   0.00   0.075   0.081   0.078   0.092   0.096   0.098
 2014 362    82    88    18      0     54    287     0     0   100    0.00   0.0   0.0   0.00   0.070   0.078   0.076   0.089   0.093   0.096
 2014 363    83    85    15      0     54    287     0     0   100    0.00   0.0   0.0   0.00   0.066   0.075   0.074   0.087   0.091   0.094
 2014 364    84    84    14      0     54    287     0     0   100    0.00   0.0   0.0   0.00   0.063   0.074   0.073   0.086   0.089   0.092
 2014 365    85    82    12      0     54    287     0     0   100    0.00   0.0   0.0   0.00   0.063   0.072   0.072   0.085   0.088   0.090
 2015 001    86    81    11      0     54    287     0     0   100    0.00   0.0   0.0   0.00   0.059   0.071   0.071   0.083   0.087   0.089
 2015 002    87    80    10      0     54    287     0     0   100    0.00   0.0   0.0   0.00   0.056   0.070   0.070   0.082   0.086   0.088
 2015 003    88    79     9      0     54    287     0     0   100    0.00   0.0   0.0   0.00   0.053   0.070   0.070   0.081   0.085   0.087
 2015 004    89    81    11      0     54    290     0     0   100    0.00   0.0   0.0   0.00   0.104   0.069   0.070   0.081   0.084   0.086
 2015 005    90    79     9      0     54    290     0     0   100    0.00   0.0   0.0   0.00   0.070   0.069   0.070   0.080   0.083   0.085
 2015 006    91    78     8      0     54    290     0     0   100    0.00   0.0   0.0   0.00   0.067   0.069   0.070   0.079   0.082   0.085
 2015 007    92    77     7      0     54    290     0     0   100    0.00   0.0   0.0   0.00   0.063   0.069   0.070   0.078   0.082   0.084
 2015 008    93    77     7      0     54    290     0     0   100    0.00   0.0   0.0   0.00   0.059   0.069   0.070   0.078   0.081   0.083
 2015 009    94    76     6      0     54    290     0     0   100    0.00   0.0   0.0   0.00   0.056   0.068   0.070   0.077   0.080   0.083
 2015 010    95    83    13      0     54    298     0     0   100    0.00   0.0   0.0   0.00   0.169   0.082   0.070   0.077   0.080   0.082
 2015 011    96    94    24      0     54    311     0     0   100    0.00   0.0   0.0   0.00   0.248   0.154   0.071   0.076   0.080   0.082
 2015 012    97    94    24      0     54    314     0     0   100    0.00   0.0   0.0   0.00   0.204   0.155   0.087   0.076   0.079   0.082
 2015 013    98    91    21      0     54    314     0     0   100    0.00   0.0   0.0   0.00   0.154   0.138   0.096   0.076   0.079   0.081
 2015 014    99    87    17      0     54    314     0     0   100    0.00   0.0   0.0   0.00   0.129   0.117   0.093   0.075   0.079   0.081
 2015 015   100    84    14      0     54    314     0     0   100    0.00   0.0   0.0   0.00   0.101   0.099   0.092   0.075   0.079   0.081
 2015 016   101    80    10      0     54    314     0     0   100    0.00   0.0   0.0   0.00   0.077   0.085   0.086   0.075   0.078   0.081
 2015 017   102    78     8      0     54    314     0     0   100    0.00   0.0   0.0   0.00   0.070   0.080   0.081   0.075   0.078   0.080
 2015 018   103    77     7      0     54    315     0     0   100    0.00   0.0   0.0   0.00   0.081   0.077   0.078   0.074   0.077   0.080
 2015 019   104    76     6      0     54    315     0     0   100    0.00   0.0   0.0   0.00   0.073   0.075   0.076   0.074   0.077   0.079
 2015 020   105   102    32      0     54    341     0     0   100    0.00   0.0   0.0   0.00   0.283   0.183   0.106   0.073   0.076   0.079
 2015 021   106   100    30      0     54    341     0     0   100    0.00   0.0   0.0   0.00   0.193   0.156   0.141   0.073   0.076   0.079
 2015 022   107   106    36      0     54    349     0     0   100    0.00   0.0   0.0   0.00   0.238   0.170   0.152   0.076   0.076   0.078
 2015 023   108   102    32      0     54    350     0     0   100    0.00   0.0   0.0   0.00   0.176   0.156   0.148   0.081   0.076   0.078
 2015 024   109   102    32      0     54    352     0     0   100    0.00   0.0   0.0   0.00   0.175   0.155   0.149   0.081   0.076   0.078
 2015 025   110   100    30      0     54    353     0     0   100    0.00   0.0   0.0   0.00   0.163   0.152   0.148   0.081   0.076   0.078
 2015 026   111    97    27      0     54    353     0     0   100    0.00   0.0   0.0   0.00   0.144   0.143   0.137   0.081   0.075   0.078
 2015 027   112    92    22      0     54    353     0     0   100    0.00   0.0   0.0   0.00   0.120   0.129   0.124   0.080   0.075   0.078
