*PLANT N OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.7.2.000 -release      OCT 15, 2021; 17:59:35
                                                                                
*RUN   1        :             CSM335_date_1 MZCER047 ITSA1301    1              
 MODEL          : MZCER047 - Maize                                              
 EXPERIMENT     : ITSA1301 SG CALIBRATION SETUP OF SORGHUM SOWING DATES         
 DATA PATH      :                                                               
 TREATMENT  1   :             CSM335_date_1 MZCER047                            
  
@YEAR DOY   DAS   DAP   CNAD   GNAD   VNAD   GN%D   VN%D   NUPC   LNAD   SNAD   LN%D   SN%D   RN%D   SNN0C   SNN1C
 2014 328    48    46   60.9    0.0   60.9   0.00   3.02   66.7   52.0    8.9    3.0   3.02   1.17    0.00    0.41
 2014 329    49    47   65.4    0.0   65.4   0.00   2.98   71.1   54.7   10.7    3.0   2.98   1.10    0.00    0.44
 2014 330    50    48   68.9    0.0   68.9   0.00   2.95   74.5   56.8   12.2    3.0   2.95   1.08    0.00    0.48
 2014 331    51    49   71.9    0.0   71.9   0.00   2.92   77.6   58.4   13.5    2.9   2.92   1.08    0.00    0.51
 2014 332    52    50   76.0    0.0   76.0   0.00   2.89   81.9   60.6   15.4    2.9   2.89   1.08    0.00    0.54
 2014 333    53    51   80.4    0.0   80.4   0.00   2.86   86.4   62.8   17.6    2.9   2.86   1.09    0.00    0.58
 2014 334    54    52   82.5    0.0   82.5   0.00   2.84   88.5   63.7   18.7    2.8   2.84   1.07    0.00    0.61
 2014 335    55    53   87.5    0.0   87.5   0.00   2.81   94.2   66.1   21.4    2.8   2.81   1.12    0.00    0.64
 2014 336    56    54   91.1    0.0   91.1   0.00   2.78   97.6   67.6   23.5    2.8   2.78   1.08    0.00    0.68
 2014 337    57    55   93.3    0.0   93.3   0.00   2.75   99.9   69.1   24.2    2.7   2.75   1.07    0.00    0.72
 2014 338    58    56   96.0    0.0   96.0   0.00   2.72  102.6   70.2   25.8    2.7   2.72   1.08    0.00    0.75
 2014 339    59    57  102.6    0.0  102.6   0.00   2.69  109.5   72.9   29.8    2.7   2.69   1.09    0.00    0.79
 2014 340    60    58  109.5    0.0  109.5   0.00   2.66  116.6   75.2   34.3    2.7   2.66   1.09    0.00    0.83
 2014 341    61    59  114.8    0.0  114.8   0.00   2.62  122.1   76.7   38.2    2.6   2.62   1.09    0.00    0.86
 2014 342    62    60  119.0    0.0  119.0   0.00   2.56  126.5   77.2   41.9    2.6   2.56   1.08    0.00    0.90
 2014 343    63    61  122.3    0.0  122.3   0.00   2.49  129.9   77.3   45.0    2.5   2.49   1.07    0.00    0.94
 2014 344    64    62  124.8    0.0  124.8   0.00   2.46  132.5   77.7   47.2    2.5   2.46   1.07    0.00    0.98
 2014 345    65    63  126.5    0.0  126.5   0.00   2.39  134.3   77.0   49.5    2.4   2.39   1.05    0.00    1.02
 2014 346    66    64  127.7    0.0  127.7   0.00   2.33  135.6   76.5   51.2    2.3   2.33   1.04    0.00    1.06
 2014 347    67    65  128.6    0.0  128.6   0.00   2.26  136.6   75.5   53.0    2.3   2.26   1.00    0.00    1.10
 2014 348    68    66  129.3    0.0  129.3   0.00   2.19  137.4   74.7   54.6    2.2   2.19   0.99    0.00    1.15
 2014 349    69    67  129.9    0.0  129.9   0.00   2.14  138.0   74.1   55.8    2.1   2.14   0.97    0.00    1.19
 2014 350    70    68  130.4    0.0  130.4   0.00   2.09  138.6   73.6   56.8    2.1   2.09   0.96    0.00    1.23
 2014 351    71    69  130.9    0.0  130.9   0.00   2.05  139.2   73.2   57.7    2.1   2.05   0.96    0.00    1.27
 2014 352    72    70  131.3    0.0  131.3   0.00   2.02  139.7   73.0   58.3    2.0   2.02   0.95    0.00    1.31
 2014 353    73    71  131.7    0.0  131.7   0.00   1.99  140.1   73.2   58.5    2.0   1.99   0.91    0.00    1.35
 2014 354    74    72  132.2    0.0  132.2   0.00   1.97  140.7   73.6   58.6    2.0   1.97   0.89    0.00    1.40
 2014 355    75    73  132.6    0.0  132.6   0.00   1.96  141.2   74.1   58.5    2.0   1.96   0.87    0.00    1.44
 2014 356    76    74  133.0    0.0  133.0   0.00   1.94  141.7   74.2   58.8    1.9   1.94   0.87    0.00    1.48
 2014 357    77    75  133.3    0.0  133.3   0.00   1.93  142.1   73.2   60.1    1.9   1.93   0.87    0.00    1.52
 2014 358    78    76  133.6    0.0  133.6   0.00   1.93  142.4   72.4   61.2    1.9   1.93   0.87    0.00    1.57
 2014 359    79    77  133.9    0.0  133.9   0.00   1.94  142.8   71.8   62.1    1.9   1.94   0.88    0.00    1.61
 2014 360    80    78  134.1    0.0  134.1   0.00   1.95  143.1   71.0   63.1    1.9   1.95   0.88    0.00    1.65
 2014 361    81    79  134.2    0.0  134.2   0.00   1.92  143.3   69.2   65.0    1.9   1.92   0.88    0.00    1.70
 2014 362    82    80  134.3    0.0  134.3   0.00   1.91  143.4   67.7   66.6    1.9   1.91   0.88    0.00    1.74
 2014 363    83    81  134.3    0.0  134.3   0.00   1.90  143.5   66.3   68.0    1.9   1.90   0.88    0.00    1.78
