*Soil Inorganic Nitrogen daily output file

*DSSAT Cropping System Model Ver. 4.7.2.000 -release      OCT 15, 2021; 17:59:33
                                                                                
*RUN   1        :             CSM335_date_1 MZCER047 ITSA1301    1              
 MODEL          : MZCER047 - Maize                                              
 EXPERIMENT     : ITSA1301 SG CALIBRATION SETUP OF SORGHUM SOWING DATES         
 DATA PATH      :                                                               
 TREATMENT  1   :             CSM335_date_1 MZCER047                            
  
!                                                    NO3 (ppm) by soil depth (cm):                   NH4 (ppm) by soil depth (cm):
!                                                     0-5    5-15   15-30   30-60   60-90  90-120     0-5    5-15   15-30   30-60   60-90  90-120
@YEAR DOY   DAS  NAPC  NI#M    NIAD   NITD   NHTD    NI1D    NI2D    NI3D    NI4D    NI5D    NI6D    NH1D    NH2D    NH3D    NH4D    NH5D    NH6D    NMNC    NITC    NDNC    NIMC    AMLC   NNMNC    NUCM    NLCC    TDFC
 2009 255    99    85     2   220.0  210.5    9.5    3.14    4.97    8.24   11.42   13.28   11.28    1.77    1.71    1.79    0.05    0.05    0.04  295.36  309.75    0.52   68.20    0.00  227.16   72.61   63.69    0.00
 2009 256   100    85     2   221.1  211.7    9.5    2.22    4.40    8.25   11.55   13.57   11.43    1.80    1.69    1.79    0.05    0.05    0.04  297.58  311.57    0.52   68.61    0.00  228.96   73.33   63.69    0.00
 2009 257   101    85     2   215.9  206.5    9.4    2.79    4.22    7.62   10.88   13.19   11.71    1.83    1.71    1.75    0.05    0.05    0.04  299.71  313.34    0.52   69.01    0.00  230.69   73.33   70.65    0.00
 2009 258   102    85     2   215.5  206.1    9.3    1.70    3.18    6.99   10.85   13.55   12.16    1.81    1.68    1.75    0.05    0.05    0.04  302.00  315.30    0.52   69.42    0.00  232.58   73.33   72.95    0.00
 2009 259   103    85     2   203.1  193.7    9.5    2.16    3.13    6.20    9.71   12.60   12.07    1.84    1.71    1.77    0.05    0.05    0.04  303.99  316.82    0.52   69.76    0.00  234.23   73.33   86.94    0.00
 2009 260   104    85     2   201.6  192.2    9.4    2.88    3.43    6.22    9.42   12.38   12.06    1.81    1.68    1.76    0.05    0.05    0.04  306.25  318.81    0.55   70.13    0.00  236.13   73.33   90.37    0.00
 2009 261   105    85     2   203.4  194.1    9.4    3.59    3.82    6.51    9.40   12.35   12.09    1.79    1.68    1.76    0.05    0.05    0.04  308.58  320.78    0.56   70.50    0.00  238.08   73.33   90.43    0.00
 2009 262   106    85     2   205.3  196.0    9.3    3.34    4.35    6.94    9.52   12.31   12.06    1.74    1.66    1.76    0.05    0.05    0.04  310.82  322.72    0.56   70.88    0.00  239.94   73.33   90.43    0.00
 2009 263   107    85     2   207.1  197.9    9.2    3.92    4.55    7.10    9.44   12.42   12.16    1.76    1.64    1.75    0.05    0.05    0.04  313.06  324.60    0.56   71.27    0.00  241.79   73.33   90.43    0.00
 2009 264   108    85     2   209.0  199.8    9.2    3.93    4.96    7.50    9.53   12.38   12.14    1.73    1.63    1.74    0.05    0.05    0.04  315.29  326.50    0.56   71.66    0.00  243.63   73.33   90.43    0.00
 2009 265   109    85     2   210.7  201.6    9.1    4.29    5.11    7.69    9.48   12.44   12.29    1.72    1.61    1.73    0.05    0.05    0.04  317.46  328.32    0.56   72.06    0.00  245.40   73.33   90.46    0.00
 2009 266   110    85     2   212.5  203.5    9.1    5.31    5.54    8.02    9.45   12.40   12.26    1.70    1.60    1.72    0.05    0.05    0.04  319.68  330.21    0.56   72.46    0.00  247.21   73.33   90.46    0.00
 2009 267   111    85     2   214.3  205.4    8.9    3.24    5.13    8.45    9.81   12.60   12.35    1.65    1.57    1.68    0.05    0.05    0.04  321.82  332.13    0.56   72.87    0.00  248.95   73.33   90.46    0.00
 2009 268   112    85     2   213.7  204.9    8.8    2.31    4.23    7.84    9.87   12.80   12.76    1.69    1.59    1.65    0.05    0.05    0.04  323.86  333.81    0.56   73.27    0.00  250.60   73.33   92.63    0.00
 2009 269   113    85     2   202.4  193.5    8.9    2.92    4.05    7.02    9.08   11.97   12.47    1.71    1.60    1.64    0.05    0.05    0.04  325.93  335.46    0.56   73.65    0.00  252.28   73.33  105.62    0.00
 2009 270   114    85     2   201.9  193.2    8.8    3.80    4.34    7.04    8.95   11.80   12.43    1.68    1.57    1.62    0.05    0.05    0.04  328.25  337.51    0.56   74.04    0.00  254.20   73.33  108.06    0.00
 2009 271   115    85     2   203.9  195.2    8.7    4.95    4.81    7.41    8.92   11.75   12.39    1.63    1.55    1.62    0.06    0.05    0.04  330.64  339.55    0.56   74.46    0.00  256.18   73.33  108.06    0.00
 2009 272   116    85     2   205.8  197.3    8.5    6.35    5.30    7.77    8.89   11.69   12.33    1.53    1.51    1.59    0.06    0.05    0.04  332.95  341.67    0.56   74.88    0.00  258.07   73.33  108.06    0.00
 2009 273   117    85     2   207.6  199.4    8.2    6.05    6.03    8.16    8.90   11.70   12.34    1.41    1.46    1.56    0.05    0.05    0.04  335.20  343.76    0.56   75.30    0.00  259.89   73.33  108.06    0.00
 2009 274   118    85     2   209.5  201.4    8.1    6.44    6.39    8.53    8.91   11.71   12.35    1.43    1.45    1.52    0.05    0.05    0.04  337.56  345.78    0.56   75.75    0.00  261.81   73.33  108.06    0.00
 2009 275   119    85     2   211.3  203.4    7.9    7.86    6.80    8.83    8.88   11.67   12.31    1.41    1.42    1.47    0.05    0.05    0.04  339.84  347.81    0.56   76.20    0.00  263.64   73.33  108.06    0.00
 2009 276   120    85     2   213.1  205.5    7.6    8.23    7.19    9.20    8.90   11.68   12.32    1.34    1.38    1.42    0.05    0.05    0.04  342.06  349.84    0.56   76.65    0.00  265.41   73.33  108.06    0.00
 2009 277   121    85     2   214.8  207.4    7.4    8.67    7.51    9.54    8.91   11.69   12.33    1.33    1.35    1.37    0.05    0.05    0.04  344.23  351.74    0.56   77.10    0.00  267.13   73.33  108.06    0.00
 2009 278   122    85     2   216.4  209.2    7.2    9.12    7.81    9.87    8.92   11.70   12.34    1.28    1.31    1.33    0.05    0.04    0.04  346.30  353.59    0.56   77.54    0.00  268.76   73.33  108.06    0.00
 2009 279   123    85     2   218.0  211.0    7.0    4.99    8.69   11.16    9.02   11.71   12.35    1.20    1.27    1.28    0.05    0.04    0.04  348.32  355.43    0.56   77.98    0.00  270.33   73.33  108.06    0.00
 2009 280   124    85     2   219.8  212.8    7.0    5.53    8.26   11.04    9.53   11.67   12.32    1.28    1.26    1.29    0.05    0.04    0.04  350.65  357.14    0.56   78.54    0.00  272.11   73.33  108.06    0.00
 2009 281   125    85     2   221.6  214.5    7.1    6.93    8.57   11.31    9.50   11.63   12.28    1.30    1.28    1.29    0.05    0.04    0.04  353.04  358.93    0.56   79.09    0.00  273.95   73.33  108.06    0.00
 2009 282   126    85     2   223.4  216.3    7.0    8.61    8.93   11.47    9.47   11.58   12.24    1.31    1.28    1.28    0.05    0.04    0.04  355.36  360.73    0.56   79.64    0.00  275.72   73.33  108.06    0.00
 2009 283   127    85     2   225.1  218.1    6.9    9.08    9.21   11.78    9.48   11.59   12.25    1.27    1.27    1.26    0.05    0.04    0.04  357.59  362.52    0.56   80.19    0.00  277.40   73.33  108.06    0.00
 2009 284   128    85     2   226.7  219.9    6.8    9.53    9.49   12.09    9.49   11.60   12.26    1.20    1.25    1.24    0.05    0.04    0.04  359.71  364.25    0.56   80.72    0.00  278.99   73.33  108.06    0.00
 2009 285   129    85     2   228.2  221.6    6.6    9.97    9.76   12.38    9.50   11.61   12.27    1.11    1.23    1.22    0.05    0.04    0.04  361.75  365.95    0.56   81.25    0.00  280.50   73.33  108.06    0.00
 2009 286   130    85     2   229.6  223.2    6.4   10.40   10.03   12.67    9.51   11.62   12.28    1.01    1.20    1.18    0.05    0.04    0.04  363.74  367.62    0.56   81.79    0.00  281.96   73.33  108.06    0.00
 2009 287   131    85     2   231.0  224.9    6.2   10.81   10.30   12.96    9.52   11.63   12.29    0.91    1.16    1.15    0.05    0.04    0.04  365.68  369.26    0.56   82.32    0.00  283.36   73.33  108.06    0.00
 2009 288   132    85     2   232.4  226.4    5.9   11.18   10.56   13.25    9.53   11.64   12.30    0.83    1.13    1.11    0.04    0.04    0.04  367.56  370.85    0.56   82.84    0.00  284.72   73.33  108.06    0.00
 2009 289   133    85     2   233.7  227.9    5.7   11.52   10.81   13.52    9.54   11.65   12.31    0.76    1.09    1.08    0.04    0.04    0.04  369.38  372.35    0.56   83.37    0.00  286.02   73.33  108.06    0.00
 2009 290   134    85     2   234.9  229.4    5.5   11.84   11.05   13.78    9.55   11.65   12.32    0.70    1.06    1.04    0.04    0.04    0.04  371.15  373.80    0.56   83.89    0.00  287.26   73.33  108.06    0.00
 2009 291   135    85     2   236.1  230.8    5.3   12.13   11.27   14.03    9.55   11.66   12.33    0.65    1.02    1.01    0.04    0.04    0.04  372.84  375.18    0.56   84.40    0.00  288.44   73.33  108.06    0.00
 2009 292   136    85     2   237.2  232.1    5.1   12.41   11.49   14.27    9.56   11.67   12.33    0.60    0.99    0.98    0.04    0.04    0.04  374.48  376.50    0.56   84.90    0.00  289.58   73.33  108.06    0.00
 2009 293   137    85     2   238.3  233.4    5.0   12.68   11.69   14.51    9.57   11.68   12.34    0.55    0.96    0.94    0.04    0.04    0.04  376.06  377.77    0.56   85.40    0.00  290.66   73.33  108.06    0.00
 2009 294   138    85     2   239.4  234.6    4.8    1.68    7.91   15.38   12.46   11.69   12.35    0.51    0.92    0.91    0.04    0.04    0.04  377.60  379.01    0.56   85.89    0.00  291.71   73.33  108.06    0.00
 2009 295   139    85     2   240.8  235.6    5.2    2.31    7.01   13.12   12.27   13.44   12.32    0.73    1.02    0.94    0.04    0.03    0.04  379.69  380.04    0.56   86.50    0.00  293.19   73.33  108.06    0.00
 2009 296   140    85     2   242.6  237.0    5.6    3.13    7.00   12.71   12.50   13.60   12.28    0.92    1.07    1.00    0.04    0.04    0.04  382.05  381.40    0.56   87.10    0.00  294.96   73.33  108.06    0.00
 2009 297   141    85     2   244.3  238.4    5.9    2.33    5.95   12.10   12.82   14.10   12.52    1.04    1.12    1.05    0.05    0.04    0.04  384.35  382.81    0.56   87.67    0.00  296.69   73.33  108.06    0.00
 2009 298   142    85     2   244.7  238.5    6.2    2.75    5.47   10.71   12.26   13.81   14.19    1.15    1.18    1.09    0.05    0.04    0.04  386.42  384.08    0.56   88.16    0.00  298.26   73.33  109.25    0.00
 2009 299   143    85     2   245.7  239.2    6.5    3.81    5.74   10.54   12.17   13.80   14.25    1.22    1.21    1.15    0.05    0.04    0.04  388.65  385.56    0.59   88.64    0.00  300.00   73.33  109.93    0.00
 2009 300   144    85     2   247.4  240.7    6.7    5.10    6.26   10.74   12.10   13.74   14.19    1.25    1.24    1.19    0.05    0.04    0.04  390.85  387.07    0.59   89.12    0.00  301.72   73.33  109.93    0.00
 2009 301   145    85     2   249.1  242.3    6.8    5.49    6.53   11.01   12.11   13.75   14.20    1.22    1.25    1.21    0.05    0.05    0.04  392.96  388.64    0.59   89.60    0.00  303.36   73.33  109.93    0.00
 2009 302   146    85     2   250.6  243.9    6.8    5.87    6.80   11.28   12.12   13.76   14.21    1.16    1.25    1.22    0.05    0.05    0.04  395.01  390.24    0.59   90.08    0.00  304.93   73.33  109.93    0.00
 2009 303   147    85     2   252.2  245.5    6.7    6.25    7.08   11.57   12.12   13.77   14.22    1.08    1.24    1.21    0.05    0.05    0.04  397.02  391.86    0.59   90.56    0.00  306.46   73.33  109.93    0.00
 2009 304   148    85     2   253.6  247.1    6.5    2.12    6.44   11.96   12.87   14.04   14.23    0.99    1.22    1.20    0.05    0.05    0.04  398.95  393.46    0.59   91.04    0.00  307.91   73.33  109.93    0.00
 2009 305   149    85     2   255.1  248.4    6.7    2.32    5.83   11.28   12.99   14.44   14.48    1.10    1.26    1.20    0.05    0.05    0.04  400.93  394.79    0.59   91.53    0.00  309.41   73.33  109.93    0.00
 2009 306   150    85     2   249.4  242.6    6.8    2.55    5.47   10.34   12.47   14.21   14.61    1.19    1.27    1.20    0.05    0.05    0.04  402.86  396.15    0.59   91.97    0.00  310.89   73.33  117.17    0.00
 2009 307   151    85     2   249.4  242.4    7.0    3.25    5.65   10.23   12.37   14.13   14.64    1.24    1.29    1.24    0.05    0.05    0.05  404.74  397.46    0.59   92.38    0.00  312.36   73.33  118.64    0.00
 2009 308   152    85     2   250.8  243.6    7.1    4.30    6.05   10.41   12.31   14.07   14.60    1.28    1.30    1.27    0.05    0.05    0.05  406.53  398.71    0.59   92.77    0.00  313.76   73.33  118.64    0.00
