*WEATHER MODULE DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.7.2.000 -release      OCT 15, 2021; 17:59:33
                                                                                
*RUN   1        :             CSM335_date_1 MZCER047 ITSA1301    1              
 MODEL          : MZCER047 - Maize                                              
 EXPERIMENT     : ITSA1301 SG CALIBRATION SETUP OF SORGHUM SOWING DATES         
 DATA PATH      :                                                               
 TREATMENT  1   :             CSM335_date_1 MZCER047                            
  
@YEAR DOY   DAS   PRED  DAYLD   TWLD   SRAD   PARD   CLDD   TMXD   TMND   TAVD   TDYD   TDWD   TGAD   TGRD   WDSD   CO2D   VPDF   VPD
 2009 194    38    0.0   12.7   13.6   22.4   44.8   0.25   31.2   19.0   25.0   27.1   10.3   25.0   27.1  164.2  387.3   0.00   0.00
 2009 195    39   23.0   12.7   13.6    9.4   18.9   0.69   32.0   20.5   26.1   28.1   10.0   26.1   28.1  129.6  387.3   0.00   0.00
 2009 196    40    0.0   12.7   13.6   17.0   34.0   0.43   28.8   22.0   25.3   26.5   11.7   25.3   26.5  216.0  387.5   0.00   0.00
 2009 197    41   13.0   12.7   13.6   21.5   43.0   0.28   31.2   22.2   26.6   28.2   13.6   26.6   28.2  172.8  387.5   0.00   0.00
 2009 198    42    2.3   12.7   13.6   21.8   43.6   0.27   31.2   17.8   24.3   26.7    8.9   24.3   26.7  224.6  387.5   0.00   0.00
 2009 199    43   22.0   12.7   13.6   11.7   23.3   0.61   30.5   22.6   26.5   27.8   16.4   26.5   27.8  285.1  387.5   0.00   0.00
 2009 200    44    0.0   12.7   13.5   14.0   28.1   0.53   30.0   20.5   25.1   26.8   12.2   25.1   26.8  216.0  387.5   0.00   0.00
 2009 201    45    0.0   12.6   13.5   22.0   43.9   0.27   31.8   22.5   27.0   28.6   15.1   27.0   28.6   77.8  387.5   0.00   0.00
 2009 202    46    0.0   12.6   13.5   21.2   42.4   0.29   32.5   21.8   27.0   28.8   11.2   27.0   28.8   95.0  387.5   0.00   0.00
 2009 203    47    0.0   12.6   13.5   19.6   39.2   0.35   32.8   21.5   27.0   28.9   11.2   27.0   28.9  198.7  387.5   0.00   0.00
 2009 204    48    0.0   12.6   13.5   21.4   42.7   0.29   33.2   23.8   28.4   30.0   13.6   28.4   30.0  207.4  387.5   0.00   0.00
 2009 205    49    0.0   12.6   13.5   21.4   42.7   0.29   34.0   24.0   28.9   30.6   16.0   28.9   30.6  164.2  387.5   0.00   0.00
 2009 206    50    0.0   12.6   13.5   11.1   22.1   0.63   32.8   23.2   27.9   29.5   16.5   27.9   29.5  190.1  387.5   0.00   0.00
 2009 207    51    0.0   12.6   13.5   20.9   41.7   0.31   34.8   24.8   29.6   31.3   15.1   29.6   31.3  138.2  387.5   0.00   0.00
 2009 208    52   11.0   12.6   13.5   20.8   41.5   0.31   33.5   22.2   27.7   29.7   14.9   27.7   29.7  155.5  387.5   0.00   0.00
 2009 209    53    0.0   12.6   13.5   16.0   32.0   0.47   32.8   20.8   26.6   28.6    8.7   26.6   28.6  112.3  387.5   0.00   0.00
 2009 210    54    4.3   12.6   13.5   10.1   20.2   0.66   30.0   23.0   26.4   27.6   17.0   26.4   27.6  155.5  387.5   0.00   0.00
 2009 211    55    0.0   12.6   13.5   24.0   47.9   0.20   30.5   21.0   25.6   27.2   12.7   25.6   27.2  190.1  387.5   0.00   0.00
 2009 212    56    0.0   12.6   13.4   10.8   21.5   0.64   31.2   23.5   27.3   28.6   16.5   27.3   28.6  155.5  387.5   0.00   0.00
 2009 213    57   23.0   12.6   13.4    8.8   17.6   0.71   29.2   20.5   24.8   26.2   12.5   24.8   26.2  164.2  387.5   0.00   0.00
 2009 214    58    0.0   12.5   13.4   21.4   42.7   0.29   30.2   22.5   26.3   27.6   15.4   26.3   27.6  121.0  387.5   0.00   0.00
 2009 215    59   37.0   12.5   13.4   15.4   30.8   0.49   31.7   22.0   26.7   28.4   15.4   26.7   28.4  146.9  387.5   0.00   0.00
 2009 216    60    2.0   12.5   13.4   15.8   31.7   0.47   31.2   21.2   26.1   27.8   15.1   26.1   27.8  155.5  387.5   0.00   0.00
 2009 217    61    0.0   12.5   13.4   20.6   41.3   0.31   31.0   21.2   26.0   27.6   13.9   26.0   27.6  103.7  387.5   0.00   0.00
 2009 218    62    0.0   12.5   13.4   12.9   25.7   0.57   30.5   22.5   26.4   27.7   16.1   26.4   27.7  121.0  387.5   0.00   0.00
 2009 219    63    0.0   12.5   13.4   11.7   23.3   0.61   29.0   22.5   25.7   26.8   17.2   25.7   26.8  103.7  387.5   0.00   0.00
 2009 220    64    0.0   12.5   13.4   21.5   42.9   0.28   30.2   22.0   26.0   27.4   15.6   26.0   27.4  164.2  387.5   0.00   0.00
 2009 221    65   16.0   12.5   13.3   14.1   28.1   0.53   30.8   21.2   25.9   27.5   15.8   25.9   27.5  112.3  387.5   0.00   0.00
 2009 222    66    0.0   12.5   13.3   21.8   43.5   0.27   30.0   20.5   25.1   26.7   11.4   25.1   26.7   77.8  387.5   0.00   0.00
 2009 223    67    0.0   12.5   13.3   18.7   37.4   0.37   35.0   20.8   27.7   30.1   13.7   27.7   30.1   77.8  387.5   0.00   0.00
 2009 224    68   17.0   12.5   13.3   18.7   37.5   0.37   33.8   22.5   28.0   29.9   14.4   28.0   29.9  181.4  387.5   0.00   0.00
 2009 225    69    0.0   12.4   13.3   14.4   28.8   0.52   31.0   20.0   25.3   27.2   12.3   25.3   27.2  216.0  387.5   0.00   0.00
 2009 226    70    7.0   12.4   13.3   12.2   24.5   0.59   29.2   21.2   25.1   26.5   13.1   25.1   26.5  112.3  387.5   0.00   0.00
 2009 227    71    0.0   12.4   13.3   11.2   22.4   0.63   30.2   21.0   25.5   27.0   14.2   25.5   27.0  138.2  387.7   0.00   0.00
 2009 228    72    5.0   12.4   13.3   17.3   34.6   0.42   31.5   21.0   26.1   27.9   14.6   26.1   27.9   95.0  387.7   0.00   0.00
 2009 229    73    0.0   12.4   13.3   12.7   25.4   0.57   30.5   20.5   25.3   27.0   11.6   25.3   27.0  103.7  387.7   0.00   0.00
 2009 230    74   15.0   12.4   13.2   17.1   34.2   0.43   30.2   20.8   25.3   26.9   13.2   25.3   26.9   95.0  387.7   0.00   0.00
 2009 231    75    0.0   12.4   13.2   21.6   43.2   0.28   31.0   20.2   25.5   27.3   13.9   25.5   27.3   60.5  387.7   0.00   0.00
 2009 232    76    0.0   12.4   13.2   19.2   38.4   0.35   30.8   21.6   26.0   27.6   14.3   26.0   27.6  155.5  387.7   0.00   0.00
 2009 233    77   14.0   12.4   13.2   11.0   22.0   0.63   31.0   21.8   26.2   27.8   14.9   26.2   27.8  146.9  387.7   0.00   0.00
 2009 234    78    0.0   12.3   13.2   18.7   37.4   0.37   30.8   21.5   26.0   27.5   15.6   26.0   27.5  112.3  387.7   0.00   0.00
 2009 235    79   28.0   12.3   13.2   21.0   41.9   0.29   30.8   19.5   24.9   26.8   14.1   24.9   26.8   95.0  387.7   0.00   0.00
 2009 236    80    0.0   12.3   13.2   19.8   39.6   0.33   31.0   19.0   24.8   26.8   12.0   24.8   26.8  138.2  387.7   0.00   0.00
 2009 237    81    0.0   12.3   13.2   21.1   42.3   0.29   31.0   22.0   26.3   27.8   15.6   26.3   27.8  172.8  387.7   0.00   0.00
 2009 238    82    0.0   12.3   13.2   12.7   25.4   0.57   30.0   22.0   25.9   27.2   15.6   25.9   27.2    8.6  387.7   0.00   0.00
 2009 239    83    0.0   12.3   13.1   20.4   40.8   0.31   30.5   21.8   26.0   27.4   15.4   26.0   27.4   77.8  387.7   0.00   0.00
 2009 240    84    9.0   12.3   13.1   21.7   43.4   0.26   34.2   22.5   28.2   30.1   15.8   28.2   30.1  146.9  387.7   0.00   0.00
 2009 241    85    9.0   12.3   13.1   10.1   20.2   0.66   31.2   20.0   25.4   27.3   14.4   25.4   27.3  155.5  387.7   0.00   0.00
 2009 242    86    7.0   12.3   13.1   22.3   44.5   0.24   28.5   21.0   24.6   25.9   14.9   24.6   25.9  112.3  387.7   0.00   0.00
 2009 243    87    0.0   12.2   13.1   20.7   41.4   0.30   29.3   20.2   24.6   26.1   13.7   24.6   26.1  146.9  387.7   0.00   0.00
 2009 244    88   39.0   12.2   13.1   11.7   23.4   0.60   29.8   20.8   25.1   26.6   15.5   25.1   26.6  112.3  387.7   0.00   0.00
 2009 245    89    0.0   12.2   13.1   12.8   25.5   0.56   29.5   21.5   25.4   26.7   17.1   25.4   26.7   77.8  387.7   0.00   0.00
 2009 246    90    2.0   12.2   13.1   20.2   40.4   0.31   29.8   21.8   25.6   26.9   15.8   25.6   26.9  224.6  387.7   0.00   0.00
 2009 247    91    3.0   12.2   13.0    7.6   15.2   0.74   28.8   20.0   24.2   25.7   17.0   24.2   25.7   77.8  387.7   0.00   0.00
 2009 248    92    0.0   12.2   13.0   18.6   37.2   0.36   29.0   20.5   24.6   26.0   14.9   24.6   26.0  103.7  387.7   0.00   0.00
 2009 249    93   15.0   12.2   13.0   10.1   20.3   0.65   28.0   20.8   24.3   25.5   15.9   24.3   25.5   77.8  387.7   0.00   0.00
 2009 250    94   28.0   12.2   13.0   11.4   22.8   0.61   26.0   21.3   23.6   24.3   16.7   23.6   24.3  121.0  387.7   0.00   0.00
 2009 251    95    0.0   12.2   13.0   13.5   27.0   0.53   28.8   19.8   24.1   25.6   13.0   24.1   25.6  146.9  387.7   0.00   0.00
 2009 252    96    0.0   12.1   13.0   21.4   42.9   0.26   32.2   21.0   26.4   28.3   14.4   26.4   28.3   95.0  387.7   0.00   0.00
 2009 253    97    0.0   12.1   13.0   18.5   37.1   0.36   32.2   20.8   26.3   28.2   15.5   26.3   28.2   25.9  387.7   0.00   0.00
 2009 254    98    0.0   12.1   13.0   10.0   19.9   0.65   30.2   21.0   25.4   27.0   16.2   25.4   27.0   77.8  387.7   0.00   0.00
 2009 255    99   12.0   12.1   12.9   13.8   27.6   0.52   29.5   21.2   25.2   26.6   16.0   25.2   26.6   77.8  387.7   0.00   0.00
 2009 256   100   19.0   12.1   12.9   19.5   39.0   0.32   31.8   19.5   25.4   27.4   15.0   25.4   27.4  121.0  387.7   0.00   0.00
 2009 257   101    0.0   12.1   12.9   14.1   28.2   0.51   32.0   20.5   26.0   27.9   12.5   26.0   27.9   86.4  387.7   0.00   0.00
 2009 258   102   34.0   12.1   12.9   18.4   36.7   0.36   31.0   22.5   26.6   28.0   16.5   26.6   28.0  155.5  387.9   0.00   0.00
 2009 259   103    0.0   12.1   12.9   16.9   33.9   0.41   31.5   19.5   25.2   27.2   12.3   25.2   27.2  138.2  387.9   0.00   0.00
 2009 260   104    0.0   12.0   12.9   11.4   22.8   0.60   29.8   21.5   25.5   26.8   15.8   25.5   26.8  129.6  387.9   0.00   0.00
 2009 261   105    0.0   12.0   12.9   16.8   33.6   0.41   30.7   20.5   25.4   27.0   13.2   25.4   27.0   69.1  387.9   0.00   0.00
 2009 262   106   11.0   12.0   12.9   20.7   41.3   0.27   32.5   23.5   27.8   29.3   18.2   27.8   29.3  155.5  387.9   0.00   0.00
 2009 263   107    0.0   12.0   12.8   13.4   26.8   0.53   29.2   19.5   24.2   25.8   15.4   24.2   25.8   69.1  387.9   0.00   0.00
 2009 264   108    6.0   12.0   12.8   10.8   21.5   0.62   31.2   22.2   26.6   28.4   15.8   26.6   28.4  103.7  387.9   0.00   0.00
 2009 265   109    0.0   12.0   12.8   16.7   33.5   0.41   31.0   21.0   25.8   27.8   14.4   25.8   27.8  129.6  387.9   0.00   0.00
 2009 266   110    0.0   12.0   12.8   21.2   42.5   0.24   32.5   21.2   26.6   28.9   14.8   26.6   28.9   77.8  387.9   0.00   0.00
 2009 267   111   27.0   12.0   12.8   15.6   31.1   0.44   33.8   22.0   27.6   30.0   16.5   27.6   30.0  112.3  387.9   0.00   0.00
 2009 268   112   19.0   11.9   12.8   21.0   41.9   0.25   33.8   19.0   26.0   29.0   13.4   26.0   29.0  164.2  387.9   0.00   0.00
 2009 269   113    0.0   11.9   12.8   17.9   35.9   0.36   31.5   19.5   25.2   27.6   13.9   25.2   27.6   95.0  387.9   0.00   0.00
 2009 270   114    0.0   11.9   12.8   20.9   41.7   0.25   31.8   21.0   26.1   28.3   13.7   26.1   28.3  138.2  387.9   0.00   0.00
 2009 271   115    0.0   11.9   12.7   21.2   42.3   0.24   36.8   22.0   29.0   32.0   13.9   29.0   32.0   86.4  387.9   0.00   0.00
 2009 272   116    0.0   11.9   12.7   18.0   36.0   0.35   34.0   21.0   27.2   29.8   14.2   27.2   29.8  129.6  387.9   0.00   0.00
 2009 273   117    5.0   11.9   12.7   14.8   29.7   0.46   33.8   21.2   27.2   29.7   14.2   27.2   29.7  103.7  387.9   0.00   0.00
 2009 274   118    0.0   11.9   12.7   19.1   38.2   0.31   33.2   21.0   26.8   29.3   10.8   26.8   29.3   51.8  387.9   0.00   0.00
 2009 275   119    0.0   11.9   12.7   18.0   36.1   0.34   33.8   22.5   27.9   30.1   15.8   27.9   30.1  103.7  387.9   0.00   0.00
 2009 276   120    2.0   11.9   12.7   17.5   35.0   0.36   34.0   20.0   26.7   29.5   12.7   26.7   29.5   77.8  387.9   0.00   0.00
 2009 277   121    0.0   11.8   12.7   20.4   40.9   0.25   34.2   20.5   27.0   29.8   12.7   27.0   29.8   25.9  387.9   0.00   0.00
 2009 278   122    0.0   11.8   12.7   21.0   42.0   0.23   35.0   20.5   27.4   30.3   14.2   27.4   30.3  129.6  387.9   0.00   0.00
 2009 279   123   17.0   11.8   12.7   14.1   28.2   0.48   34.5   21.0   27.4   30.1   10.5   27.4   30.1  155.5  387.9   0.00   0.00
 2009 280   124    0.0   11.8   12.6   18.1   36.3   0.33   34.0   18.0   25.6   28.8    8.3   25.6   28.8   86.4  387.9   0.00   0.00
 2009 281   125    0.0   11.8   12.6   18.1   36.3   0.33   33.5   21.5   27.2   29.6   12.6   27.2   29.6  164.2  387.9   0.00   0.00
 2009 282   126    0.0   11.8   12.6   19.5   38.9   0.27   34.0   19.5   26.4   29.3    9.1   26.4   29.3  172.8  387.9   0.00   0.00
 2009 283   127    0.0   11.8   12.6   19.9   39.7   0.26   34.0   19.5   26.4   29.3   11.5   26.4   29.3  172.8  387.9   0.00   0.00
 2009 284   128    0.0   11.8   12.6   19.6   39.2   0.26   34.0   19.5   26.4   29.3   12.3   26.4   29.3  190.1  387.9   0.00   0.00
 2009 285   129    0.0   11.7   12.6   20.0   40.1   0.25   35.0   20.2   27.3   30.2   11.7   27.3   30.2  146.9  387.9   0.00   0.00
 2009 286   130    0.0   11.7   12.6   19.5   39.0   0.26   34.5   21.5   27.7   30.3   13.7   27.7   30.3  129.6  387.9   0.00   0.00
 2009 287   131    0.0   11.7   12.6   20.2   40.4   0.23   34.5   20.5   27.1   29.9   12.5   27.1   29.9  121.0  387.9   0.00   0.00
 2009 288   132    0.0   11.7   12.6   15.4   30.9   0.41   34.0   21.5   27.4   29.9   13.9   27.4   29.9  112.3  388.1   0.00   0.00
 2009 289   133    0.0   11.7   12.5   17.7   35.3   0.33   34.0   21.5   27.4   29.9   10.3   27.4   29.9  190.1  388.1   0.00   0.00
 2009 290   134    0.0   11.7   12.5   17.4   34.8   0.33   34.5   21.0   27.4   30.1   12.9   27.4   30.1   95.0  388.1   0.00   0.00
 2009 291   135    0.0   11.7   12.5   20.2   40.4   0.22   34.8   20.0   27.0   29.9   10.1   27.0   29.9  207.4  388.1   0.00   0.00
 2009 292   136    0.0   11.7   12.5   20.0   40.0   0.23   34.2   20.5   27.0   29.7   11.2   27.0   29.7  198.7  388.1   0.00   0.00
 2009 293   137    0.0   11.7   12.5   20.6   41.3   0.20   35.5   19.8   27.2   30.3   11.8   27.2   30.3  190.1  388.1   0.00   0.00
 2009 294   138   50.0   11.6   12.5   14.1   28.1   0.45   35.0   21.5   27.9   30.6   15.1   27.9   30.6  207.4  388.1   0.00   0.00
 2009 295   139    0.0   11.6   12.5   19.7   39.5   0.23   34.0   16.0   24.5   28.1    9.2   24.5   28.1   51.8  388.1   0.00   0.00
 2009 296   140    5.0   11.6   12.5   11.6   23.1   0.55   33.0   21.5   26.9   29.2   14.9   26.9   29.2  146.9  388.1   0.00   0.00
 2009 297   141   19.0   11.6   12.5   13.4   26.8   0.47   31.5   21.0   26.0   28.0   14.2   26.0   28.0   69.1  388.1   0.00   0.00
 2009 298   142    0.0   11.6   12.5   20.2   40.3   0.20   33.0   19.0   25.6   28.4   10.3   25.6   28.4   95.0  388.1   0.00   0.00
 2009 299   143    0.0   11.6   12.4   20.7   41.4   0.18   33.0   21.0   26.7   29.0    6.5   26.7   29.0   86.4  388.1   0.00   0.00
 2009 300   144    0.0   11.6   12.4   20.7   41.5   0.18   34.0   19.5   26.4   29.2    3.2   26.4   29.2   69.1  388.1   0.00   0.00
 2009 301   145    0.0   11.6   12.4   20.6   41.3   0.18   33.0   18.0   25.1   28.0    6.8   25.1   28.0  172.8  388.1   0.00   0.00
 2009 302   146    0.0   11.6   12.4   20.8   41.5   0.17   33.0   17.5   24.8   27.9    0.6   24.8   27.9   95.0  388.1   0.00   0.00
 2009 303   147    0.0   11.6   12.4   20.6   41.3   0.17   32.5   17.0   24.4   27.4    8.7   24.4   27.4  138.2  388.1   0.00   0.00
 2009 304   148   30.0   11.5   12.4   11.5   23.1   0.53   31.0   20.2   25.3   27.4   14.6   25.3   27.4  172.8  388.1   0.00   0.00
 2009 305   149    4.0   11.5   12.4    7.4   14.9   0.70   30.0   19.0   24.2   26.3    8.6   24.2   26.3  224.6  388.1   0.00   0.00
 2009 306   150    0.0   11.5   12.4   14.1   28.1   0.43   22.0   19.5   20.7   21.2    8.8   20.7   21.2  241.9  388.1   0.00   0.00
 2009 307   151    0.0   11.5   12.4   18.1   36.1   0.26   29.0   17.5   22.9   25.2    1.5   22.9   25.2  250.6  388.1   0.00   0.00
 2009 308   152    0.0   11.5   12.4   20.7   41.4   0.15   30.0   16.0   22.6   25.3    1.3   22.6   25.3  164.2  388.1   0.00   0.00
