*SOIL WATER DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.7.2.000 -release      OCT 15, 2021; 17:59:33
                                                                                
*RUN   1        :             CSM335_date_1 MZCER047 ITSA1301    1              
 MODEL          : MZCER047 - Maize                                              
 EXPERIMENT     : ITSA1301 SG CALIBRATION SETUP OF SORGHUM SOWING DATES         
 DATA PATH      :                                                               
 TREATMENT  1   :             CSM335_date_1 MZCER047                            
  
!                                                                                                 Soil water content (mm3/mm3) by soil depth (cm):
!                                                                                                 0-5    5-15   15-30   30-60   60-90  90-120
@YEAR DOY   DAS  SWTD  SWXD   ROFC   DRNC   PREC  IR#C  IRRC  DTWT    MWTD  TDFD  TDFC   ROFD    SW1D    SW2D    SW3D    SW4D    SW5D    SW6D    
 2009 156     0   228    89      0      0      0     0     0     0    0.00   0.0   0.0   0.00   0.190   0.190   0.190   0.190   0.190   0.190
 2009 157     1   236    97      0      0      9     0     0    60    0.00   0.0   0.0   0.00   0.285   0.222   0.190   0.190   0.190   0.190
 2009 158     2   231    92      0      0      9     0     0   120    0.00   0.0   0.0   0.00   0.232   0.223   0.185   0.187   0.188   0.188
 2009 159     3   230    91      0      0      9     0     0   120    0.00   0.0   0.0   0.00   0.214   0.222   0.185   0.187   0.188   0.188
 2009 160     4   229    90      0      0      9     0     0   120    0.00   0.0   0.0   0.00   0.198   0.221   0.185   0.187   0.188   0.188
 2009 161     5   228    89      0      0      9     0     0   120    0.00   0.0   0.0   0.00   0.183   0.219   0.185   0.187   0.188   0.188
 2009 162     6   254   115      0      0     37     0     0   120    0.00   0.0   0.0   0.00   0.328   0.314   0.249   0.187   0.187   0.188
 2009 163     7   258   119      0      0     46     0     0   120    0.00   0.0   0.0   0.00   0.309   0.298   0.268   0.203   0.186   0.187
 2009 164     8   253   114      0      0     46     0     0   120    0.00   0.0   0.0   0.00   0.245   0.258   0.251   0.222   0.184   0.185
 2009 165     9   260   120      0      0     58     0     0   120    0.00   0.0   0.0   0.00   0.306   0.270   0.257   0.229   0.182   0.184
 2009 166    10   255   115      0      0     58     0     0   120    0.00   0.0   0.0   0.00   0.244   0.248   0.247   0.239   0.181   0.183
 2009 167    11   254   114      0      0     58     0     0   120    0.00   0.0   0.0   0.00   0.226   0.247   0.246   0.238   0.181   0.183
 2009 168    12   253   114      0      0     59     0     0   120    0.00   0.0   0.0   0.00   0.227   0.245   0.246   0.238   0.181   0.183
 2009 169    13   252   113      0      0     59     0     0   120    0.00   0.0   0.0   0.00   0.210   0.244   0.246   0.238   0.181   0.183
 2009 170    14   251   112      0      0     59     0     0   120    0.00   0.0   0.0   0.00   0.194   0.243   0.246   0.238   0.181   0.183
 2009 171    15   250   111      0      0     59     0     0   120    0.00   0.0   0.0   0.00   0.179   0.242   0.246   0.238   0.181   0.183
 2009 172    16   276   137      0      0     90     0     0   120    0.00   0.0   0.0   0.00   0.313   0.316   0.280   0.253   0.189   0.182
 2009 173    17   271   132      0      0     90     0     0   120    0.00   0.0   0.0   0.00   0.246   0.265   0.256   0.247   0.219   0.180
 2009 174    18   265   126      0      0     90     0     0   120    0.00   0.0   0.0   0.00   0.217   0.244   0.245   0.245   0.220   0.179
 2009 175    19   264   125      0      0     90     0     0   120    0.00   0.0   0.0   0.00   0.200   0.242   0.245   0.245   0.220   0.179
 2009 176    20   263   124      0      0     90     0     0   120    0.00   0.0   0.0   0.00   0.184   0.240   0.245   0.245   0.220   0.179
 2009 177    21   262   123      0      0     90     0     0   120    0.00   0.0   0.0   0.00   0.169   0.238   0.244   0.245   0.220   0.179
