*SOIL-PLANT-ATMOSPHERE MODULE OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.7.2.000 -release      OCT 15, 2021; 17:59:33
                                                                                
*RUN   1        :             CSM335_date_1 MZCER047 ITSA1301    1              
 MODEL          : MZCER047 - Maize                                              
 EXPERIMENT     : ITSA1301 SG CALIBRATION SETUP OF SORGHUM SOWING DATES         
 DATA PATH      :                                                               
 TREATMENT  1   :             CSM335_date_1 MZCER047                            
  
!                                                                                                                                                Soil evaporation (mm/d) by soil depth (cm):
!                                                                                                                                                0-5    5-15   15-30   30-60   60-90  90-120
@YEAR DOY   DAS   SRAA  TMAXA  TMINA   EOAA   EOPA   EOSA   ETAA   EPAA   ESAA   EFAA   EMAA    EOAC    ETAC    EPAC    ESAC    EFAC    EMAC    ES1D    ES2D    ES3D    ES4D    ES5D    ES6D   TRWUD
 2009 157     1  11.41  35.25  18.50  2.921  0.000  2.921  1.106  0.000  1.106  0.000  0.000    2.92    1.11    0.00    1.11    0.00    0.00   0.960   0.098   0.027   0.013   0.005   0.002   0.000
 2009 158     2  22.92  34.25  21.50  6.240  0.000  6.240  5.145  0.000  5.145  0.000  0.000    9.16    6.25    0.00    6.25    0.00    0.00   1.566   0.998   0.684   0.843   0.589   0.466   0.000
 2009 159     3  10.11  35.00  23.50  2.717  0.000  2.717  1.046  0.000  1.046  0.000  0.000   11.88    7.30    0.00    7.30    0.00    0.00   0.892   0.108   0.026   0.013   0.005   0.002   0.000
 2009 160     4  11.70  35.75  23.50  3.238  0.000  3.238  0.965  0.000  0.965  0.000  0.000   15.12    8.26    0.00    8.26    0.00    0.00   0.812   0.107   0.026   0.013   0.005   0.002   0.000
 2009 161     5  15.82  38.25  26.25  5.015  0.000  5.015  0.891  0.000  0.891  0.000  0.000   20.13    9.15    0.00    9.15    0.00    0.00   0.738   0.106   0.026   0.013   0.005   0.002   0.000
 2009 162     6   7.61  33.50  23.75  1.953  0.000  1.953  1.953  0.000  1.953  0.000  0.000   22.08   11.10    0.00   11.10    0.00    0.00   0.556   0.435   0.290   0.298   0.209   0.165   0.000
 2009 163     7  17.34  30.25  21.00  4.632  0.000  4.632  4.632  0.000  4.632  0.000  0.000   26.72   15.74    0.00   15.74    0.00    0.00   1.485   1.031   0.724   0.637   0.420   0.333   0.000
 2009 164     8  18.53  33.00  21.50  5.056  0.000  5.056  5.056  0.000  5.056  0.000  0.000   31.77   20.79    0.00   20.79    0.00    0.00   1.416   1.053   0.849   0.844   0.498   0.396   0.000
 2009 165     9  22.24  29.00  22.00  5.600  0.000  5.600  5.600  0.000  5.600  0.000  0.000   37.37   26.39    0.00   26.39    0.00    0.00   1.636   1.134   0.911   0.971   0.527   0.420   0.000
 2009 166    10  18.55  31.50  20.75  4.946  0.000  4.946  4.946  0.000  4.946  0.000  0.000   42.32   31.34    0.00   31.34    0.00    0.00   1.376   0.979   0.812   0.923   0.475   0.380   0.000
 2009 167    11  21.07  33.00  24.50  5.631  0.000  5.631  1.130  0.000  1.130  0.000  0.000   47.95   32.47    0.00   32.47    0.00    0.00   0.947   0.122   0.036   0.018   0.005   0.002   0.000
 2009 168    12  20.82  34.25  22.50  5.490  0.000  5.490  1.089  0.000  1.089  0.000  0.000   53.44   33.56    0.00   33.56    0.00    0.00   0.907   0.121   0.036   0.018   0.005   0.002   0.000
 2009 169    13  20.17  35.00  22.45  5.364  0.009  5.355  1.061  0.009  1.051  0.000  0.000   58.80   34.62    0.01   34.61    0.00    0.00   0.870   0.121   0.036   0.018   0.005   0.002   0.001
 2009 170    14  20.99  36.00  25.20  5.935  0.020  5.915  0.991  0.020  0.971  0.000  0.000   64.74   35.61    0.03   35.58    0.00    0.00   0.791   0.120   0.036   0.018   0.005   0.002   0.002
 2009 171    15  10.13  34.50  24.50  2.658  0.014  2.643  0.912  0.014  0.898  0.000  0.000   67.39   36.52    0.04   36.48    0.00    0.00   0.719   0.119   0.036   0.018   0.005   0.002   0.001
 2009 172    16  19.71  33.00  24.00  5.026  0.036  4.989  5.025  0.036  4.989  0.000  0.000   72.42   41.55    0.08   41.47    0.00    0.00   1.273   1.073   0.844   0.955   0.476   0.368   0.004
 2009 173    17  19.45  33.25  19.50  5.254  0.049  5.205  5.253  0.049  5.205  0.000  0.000   77.67   46.80    0.13   46.67    0.00    0.00   1.389   1.058   0.846   0.991   0.547   0.372   0.005
