*SOIL TEMPERATURE OUTPUT FILE (DAILY)

*DSSAT Cropping System Model Ver. 4.7.2.000 -release      OCT 15, 2021; 17:59:33
                                                                                
*RUN   1        :             CSM335_date_1 MZCER047 ITSA1301    1              
 MODEL          : MZCER047 - Maize                                              
 EXPERIMENT     : ITSA1301 SG CALIBRATION SETUP OF SORGHUM SOWING DATES         
 DATA PATH      :                                                               
 TREATMENT  1   :             CSM335_date_1 MZCER047                            
  
! TAV  =    27.7
! TAMP =     5.2
!               Temperature (oC) by soil depth (cm):
!               Surface     0-5    5-15   15-30   30-45   45-60
@YEAR DOY   DAS    TS0D    TS1D    TS2D    TS3D    TS4D    TS5D    
 2015 264    90    30.4    30.4    30.4    30.4    30.4    30.3
 2015 265    91    30.7    30.7    30.7    30.7    30.6    30.6
 2015 266    92    31.0    31.0    31.0    30.9    30.9    30.8
 2015 267    93    31.5    31.5    31.4    31.4    31.3    31.2
 2015 268    94    31.4    31.4    31.4    31.3    31.2    31.2
 2015 269    95    31.9    31.9    31.9    31.8    31.7    31.6
 2015 270    96    32.5    32.5    32.4    32.3    32.2    32.1
 2015 271    97    32.2    32.2    32.1    32.0    31.9    31.8
 2015 272    98    31.6    31.6    31.6    31.5    31.4    31.3
 2015 273    99    31.1    31.1    31.1    31.0    31.0    30.9
 2015 274   100    31.1    31.1    31.0    31.0    30.9    30.9
 2015 275   101    31.1    31.1    31.1    31.1    31.0    30.9
 2015 276   102    31.3    31.3    31.3    31.3    31.2    31.1
 2015 277   103    31.3    31.2    31.2    31.2    31.1    31.1
 2015 278   104    31.7    31.7    31.6    31.6    31.5    31.4
 2015 279   105    31.6    31.6    31.6    31.5    31.4    31.3
 2015 280   106    31.1    31.1    31.1    31.1    31.0    31.0
 2015 281   107    31.2    31.2    31.2    31.1    31.1    31.0
 2015 282   108    31.9    31.8    31.8    31.7    31.7    31.6
 2015 283   109    32.0    32.0    31.9    31.9    31.8    31.7
 2015 284   110    32.2    32.2    32.1    32.0    31.9    31.8
 2015 285   111    32.5    32.5    32.4    32.3    32.2    32.1
 2015 286   112    32.6    32.6    32.5    32.4    32.3    32.2
 2015 287   113    32.5    32.5    32.5    32.4    32.3    32.2
 2015 288   114    32.8    32.8    32.7    32.6    32.5    32.4
 2015 289   115    33.0    33.0    32.9    32.8    32.6    32.5
 2015 290   116    33.3    33.3    33.2    33.1    32.9    32.8
 2015 291   117    33.4    33.4    33.3    33.2    33.0    32.9
 2015 292   118    33.6    33.6    33.5    33.4    33.2    33.1
 2015 293   119    33.4    33.3    33.3    33.1    33.0    32.8
 2015 294   120    33.4    33.3    33.3    33.1    33.0    32.9
 2015 295   121    33.0    33.0    33.0    32.8    32.7    32.6
 2015 296   122    33.1    33.1    33.0    32.9    32.8    32.6
 2015 297   123    33.0    33.0    33.0    32.8    32.7    32.6
 2015 298   124    33.3    33.3    33.2    33.1    32.9    32.8
 2015 299   125    33.1    33.0    33.0    32.9    32.7    32.6
 2015 300   126    33.4    33.3    33.3    33.1    33.0    32.8
 2015 301   127    33.5    33.5    33.4    33.3    33.1    33.0
 2015 302   128    33.5    33.5    33.4    33.3    33.1    32.9
 2015 303   129    33.6    33.6    33.5    33.4    33.2    33.1
 2015 304   130    33.8    33.7    33.7    33.5    33.3    33.2
 2015 305   131    33.2    33.2    33.1    33.0    32.8    32.7
 2015 306   132    33.1    33.1    33.0    32.9    32.8    32.6
 2015 307   133    33.1    33.1    33.0    32.9    32.8    32.6
 2015 308   134    33.2    33.1    33.0    32.9    32.8    32.6
 2015 309   135    33.2    33.2    33.1    33.0    32.8    32.6
 2015 310   136    33.6    33.6    33.5    33.3    33.1    32.9
 2015 311   137    33.6    33.5    33.4    33.3    33.1    32.9
 2015 312   138    33.5    33.5    33.4    33.2    33.0    32.8
 2015 313   139    33.6    33.6    33.5    33.3    33.0    32.8
 2015 314   140    33.9    33.9    33.7    33.5    33.2    33.0
 2015 315   141    34.1    34.1    33.9    33.7    33.4    33.1
 2015 316   142    34.3    34.2    34.1    33.8    33.5    33.2
 2015 317   143    34.5    34.5    34.3    33.9    33.6    33.2
 2015 318   144    34.5    34.4    34.2    33.9    33.5    33.1
 2015 319   145    34.5    34.4    34.1    33.7    33.3    32.9
 2015 320   146    34.6    34.5    34.2    33.7    33.2    32.7
 2015 321   147    34.6    34.5    34.1    33.6    33.0    32.5
