*WEATHER MODULE DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.7.2.000 -release      OCT 15, 2021; 17:59:33
                                                                                
*RUN   1        :             CSM335_date_1 MZCER047 ITSA1301    1              
 MODEL          : MZCER047 - Maize                                              
 EXPERIMENT     : ITSA1301 SG CALIBRATION SETUP OF SORGHUM SOWING DATES         
 DATA PATH      :                                                               
 TREATMENT  1   :             CSM335_date_1 MZCER047                            
  
@YEAR DOY   DAS   PRED  DAYLD   TWLD   SRAD   PARD   CLDD   TMXD   TMND   TAVD   TDYD   TDWD   TGAD   TGRD   WDSD   CO2D   VPDF   VPD
 2015 175     1   22.6   12.6   13.5   22.3   44.6   0.25   31.4   21.7   26.4   28.1   13.1   26.4   28.1  190.9  400.7   0.00   0.00
 2015 176     2    0.0   12.6   13.5   24.6   49.2   0.17   34.2   25.5   29.7   31.2   16.7   29.7   31.2  190.3  400.7   0.00   0.00
 2015 177     3    0.0   12.6   13.5   19.6   39.2   0.34   33.8   25.5   29.5   31.0   16.8   29.5   31.0  190.6  400.7   0.00   0.00
 2015 178     4    7.5   12.6   13.5   25.4   50.8   0.14   34.5   24.7   29.5   31.2   16.1   29.5   31.2  190.5  400.7   0.00   0.00
 2015 179     5    0.0   12.6   13.5   23.6   47.2   0.20   32.9   24.7   28.7   30.1   16.2   28.7   30.1  190.0  400.7   0.00   0.00
 2015 180     6    0.0   12.6   13.5   21.5   43.0   0.27   33.0   25.5   29.2   30.4   16.9   29.2   30.4  187.9  400.7   0.00   0.00
 2015 181     7    0.0   12.6   13.5   25.0   50.0   0.16   34.0   25.7   29.7   31.2   17.1   29.7   31.2  188.1  400.7   0.00   0.00
 2015 182     8    1.9   12.6   13.5   23.7   47.4   0.20   34.5   25.6   29.9   31.5   17.0   29.9   31.5  189.2  400.7   0.00   0.00
 2015 183     9   25.7   12.6   13.5    8.0   16.0   0.73   28.9   20.9   24.8   26.2   12.6   24.8   26.2  189.6  400.7   0.00   0.00
 2015 184    10    0.0   12.6   13.5   14.9   29.8   0.50   31.0   24.1   27.5   28.6   15.7   27.5   28.6  188.5  400.7   0.00   0.00
 2015 185    11    0.0   12.6   13.5   22.9   45.8   0.23   32.8   24.4   28.5   29.9   16.0   28.5   29.9  186.1  400.7   0.00   0.00
 2015 186    12   21.0   12.6   13.5   21.6   43.2   0.27   34.9   22.6   28.6   30.7   14.5   28.6   30.7  184.2  400.7   0.00   0.00
