*SOIL-PLANT-ATMOSPHERE MODULE OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.7.2.000 -release      OCT 15, 2021; 17:59:33
                                                                                
*RUN   1        :             CSM335_date_1 MZCER047 ITSA1301    1              
 MODEL          : MZCER047 - Maize                                              
 EXPERIMENT     : ITSA1301 SG CALIBRATION SETUP OF SORGHUM SOWING DATES         
 DATA PATH      :                                                               
 TREATMENT  1   :             CSM335_date_1 MZCER047                            
  
!                                                                                                                                                Soil evaporation (mm/d) by soil depth (cm):
!                                                                                                                                                0-5    5-15   15-30   30-45   45-60
@YEAR DOY   DAS   SRAA  TMAXA  TMINA   EOAA   EOPA   EOSA   ETAA   EPAA   ESAA   EFAA   EMAA    EOAC    ETAC    EPAC    ESAC    EFAC    EMAC    ES1D    ES2D    ES3D    ES4D    ES5D   TRWUD
 2015 193    19   7.60  29.40  22.10  1.858  0.357  1.496  1.853  0.357  1.496  0.000  0.000  104.37   68.46    5.04   63.42    0.00    0.00   0.513   0.406   0.341   0.176   0.060   0.036
 2015 194    20  21.60  29.70  22.20  5.576  1.116  4.445  5.561  1.116  4.445  0.000  0.000  109.94   74.02    6.16   67.86    0.00    0.00   1.518   1.145   0.957   0.606   0.218   0.112
 2015 195    21  23.00  32.30  23.60  5.951  1.349  4.585  5.934  1.349  4.585  0.000  0.000  115.89   79.95    7.51   72.45    0.00    0.00   1.452   1.165   0.994   0.677   0.298   0.135
 2015 196    22  19.90  32.00  23.20  5.032  1.288  3.728  2.469  1.288  1.181  0.000  0.000  120.93   82.42    8.79   73.63    0.00    0.00   0.971   0.144   0.045   0.016   0.005   0.129
 2015 197    23  24.10  32.00  23.60  6.041  1.705  4.314  2.767  1.705  1.062  0.000  0.000  126.97   85.19   10.50   74.69    0.00    0.00   0.856   0.141   0.044   0.016   0.005   0.171
 2015 198    24  18.70  29.60  24.50  4.551  1.473  3.059  2.420  1.473  0.947  0.000  0.000  131.52   87.61   11.97   75.64    0.00    0.00   0.746   0.137   0.043   0.016   0.005   0.147
 2015 199    25  25.00  34.00  23.80  6.286  2.256  4.004  3.104  2.256  0.848  0.000  0.000  137.81   90.71   14.23   76.49    0.00    0.00   0.651   0.134   0.043   0.016   0.005   0.226
 2015 200    26  20.90  33.10  26.40  5.260  2.131  3.105  2.875  2.131  0.744  0.000  0.000  143.07   93.59   16.36   77.23    0.00    0.00   0.552   0.130   0.042   0.016   0.005   0.213
 2015 201    27   9.50  27.60  22.00  2.175  0.962  1.200  2.162  0.962  1.200  0.000  0.000  145.24   95.75   17.32   78.43    0.00    0.00   0.322   0.302   0.266   0.188   0.122   0.096
 2015 202    28  15.20  29.00  23.90  3.833  1.763  2.048  3.810  1.763  2.048  0.000  0.000  149.07   99.56   19.08   80.48    0.00    0.00   0.628   0.473   0.410   0.297   0.240   0.176
 2015 203    29  20.20  29.90  23.50  5.040  2.451  2.559  5.009  2.451  2.559  0.000  0.000  154.11  104.57   21.53   83.04    0.00    0.00   0.781   0.599   0.516   0.368   0.294   0.245
 2015 204    30  23.10  31.30  22.00  5.723  2.971  2.715  5.687  2.971  2.715  0.000  0.000  159.84  110.26   24.50   85.75    0.00    0.00   0.802   0.645   0.559   0.395   0.315   0.297
 2015 205    31  19.70  30.80  23.70  4.873  2.701  2.140  4.840  2.701  2.140  0.000  0.000  164.71  115.10   27.21   87.89    0.00    0.00   0.599   0.511   0.450   0.322   0.258   0.270
 2015 206    32  19.60  32.10  23.60  4.883  2.843  2.007  3.973  2.843  1.130  0.000  0.000  169.59  119.07   30.05   89.02    0.00    0.00   0.928   0.135   0.043   0.016   0.008   0.284
 2015 207    33  11.20  29.60  24.00  2.716  1.649  1.046  2.696  1.649  1.046  0.000  0.000  172.31  121.76   31.70   90.07    0.00    0.00   0.854   0.128   0.041   0.015   0.008   0.165
 2015 208    34   8.30  27.50  22.90  1.949  1.209  0.724  1.933  1.209  0.724  0.000  0.000  174.26  123.70   32.91   90.79    0.00    0.00   0.608   0.077   0.025   0.009   0.005   0.121
 2015 209    35  17.90  29.00  22.20  4.308  2.714  1.560  4.070  2.714  1.355  0.000  0.000  178.57  127.77   35.62   92.15    0.00    0.00   1.164   0.128   0.041   0.015   0.008   0.271
 2015 210    36  20.10  30.40  23.40  4.932  3.201  1.693  4.442  3.201  1.241  0.000  0.000  183.50  132.21   38.82   93.39    0.00    0.00   1.054   0.124   0.040   0.015   0.008   0.320
 2015 211    37  20.10  31.90  23.50  4.983  3.330  1.614  4.430  3.330  1.100  0.000  0.000  188.48  136.64   42.15   94.49    0.00    0.00   0.919   0.119   0.039   0.015   0.008   0.333
 2015 212    38  23.00  31.90  23.50  5.673  3.890  1.738  4.860  3.890  0.970  0.000  0.000  194.15  141.50   46.04   95.46    0.00    0.00   0.796   0.114   0.038   0.015   0.008   0.389
 2015 213    39  23.00  33.10  24.90  5.774  4.065  1.664  4.910  4.065  0.845  0.000  0.000  199.93  146.41   50.11   96.30    0.00    0.00   0.678   0.109   0.036   0.014   0.008   0.407
 2015 214    40  16.30  29.80  22.60  3.876  2.789  1.054  3.843  2.789  1.054  0.000  0.000  203.80  150.25   52.90   97.36    0.00    0.00   0.899   0.108   0.030   0.012   0.006   0.279
 2015 215    41  20.00  30.90  24.40  4.998  3.676  1.281  4.956  3.676  1.281  0.000  0.000  208.80  155.21   56.57   98.64    0.00    0.00   0.468   0.316   0.205   0.158   0.133   0.368
 2015 216    42  15.40  30.40  22.10  3.741  2.792  0.916  3.708  2.792  0.916  0.000  0.000  212.54  158.92   59.36   99.55    0.00    0.00   0.306   0.222   0.168   0.122   0.099   0.279
 2015 217    43  15.80  28.90  22.50  3.812  2.872  0.906  3.778  2.872  0.906  0.000  0.000  216.35  162.70   62.24  100.46    0.00    0.00   0.295   0.210   0.175   0.125   0.100   0.287
 2015 218    44  20.80  31.30  22.60  5.150  3.914  1.191  5.105  3.914  1.191  0.000  0.000  221.50  167.80   66.15  101.65    0.00    0.00   0.379   0.278   0.235   0.166   0.133   0.391
 2015 219    45   5.60  25.70  22.00  1.289  0.988  0.289  1.277  0.988  0.289  0.000  0.000  222.79  169.08   67.14  101.94    0.00    0.00   0.093   0.069   0.057   0.039   0.031   0.099
 2015 220    46  19.00  30.30  22.40  4.648  3.575  1.032  4.607  3.575  1.032  0.000  0.000  227.44  173.69   70.71  102.97    0.00    0.00   0.329   0.247   0.206   0.141   0.110   0.358
 2015 221    47  17.20  32.00  22.20  4.248  3.293  0.919  4.212  3.293  0.919  0.000  0.000  231.69  177.90   74.01  103.89    0.00    0.00   0.306   0.217   0.178   0.122   0.095   0.329
 2015 222    48  15.90  30.20  21.80  3.860  3.010  0.816  3.827  3.010  0.816  0.000  0.000  235.55  181.72   77.02  104.71    0.00    0.00   0.273   0.193   0.160   0.108   0.082   0.301
 2015 223    49  23.70  30.80  23.90  5.876  4.610  1.218  5.828  4.610  1.218  0.000  0.000  241.42  187.55   81.63  105.92    0.00    0.00   0.385   0.289   0.246   0.168   0.130   0.461
 2015 224    50  15.10  30.60  22.70  3.681  2.909  0.741  3.650  2.909  0.741  0.000  0.000  245.11  191.20   84.54  106.66    0.00    0.00   0.239   0.179   0.148   0.100   0.076   0.291
 2015 225    51  23.50  32.20  23.10  5.874  4.664  1.162  5.827  4.664  1.162  0.000  0.000  250.98  197.03   89.20  107.83    0.00    0.00   0.371   0.279   0.231   0.158   0.123   0.466
 2015 226    52   5.00  26.60  21.50  1.156  0.923  0.222  1.145  0.923  0.222  0.000  0.000  252.14  198.17   90.12  108.05    0.00    0.00   0.074   0.053   0.043   0.029   0.023   0.092
 2015 227    53  17.80  30.30  22.10  4.331  3.465  0.829  4.294  3.465  0.829  0.000  0.000  256.47  202.47   93.59  108.88    0.00    0.00   0.273   0.196   0.161   0.111   0.086   0.347
 2015 228    54  21.00  30.60  24.00  5.172  4.161  0.969  5.129  4.161  0.969  0.000  0.000  261.64  207.60   97.75  109.85    0.00    0.00   0.308   0.229   0.192   0.134   0.106   0.416
 2015 229    55  11.30  30.40  22.90  2.746  2.221  0.502  2.723  2.221  0.502  0.000  0.000  264.38  210.32   99.97  110.35    0.00    0.00   0.169   0.118   0.096   0.067   0.052   0.222
 2015 230    56  15.90  29.70  23.30  3.870  3.140  0.698  3.838  3.140  0.698  0.000  0.000  268.25  214.16  103.11  111.05    0.00    0.00   0.248   0.162   0.129   0.089   0.069   0.314
 2015 231    57  13.40  30.00  22.00  3.246  2.584  0.635  3.219  2.584  0.635  0.000  0.000  271.50  217.38  105.70  111.68    0.00    0.00   0.222   0.148   0.119   0.083   0.064   0.258
 2015 232    58  16.30  29.90  22.20  3.946  3.135  0.778  3.914  3.135  0.778  0.000  0.000  275.45  221.29  108.83  112.46    0.00    0.00   0.253   0.182   0.152   0.106   0.084   0.314
 2015 233    59  13.00  29.10  20.70  3.073  2.436  0.611  3.047  2.436  0.611  0.000  0.000  278.52  224.34  111.27  113.07    0.00    0.00   0.201   0.147   0.120   0.081   0.063   0.244
 2015 234    60  21.30  31.40  22.50  5.260  4.166  1.053  5.219  4.166  1.053  0.000  0.000  283.78  229.56  115.43  114.12    0.00    0.00   0.337   0.253   0.209   0.143   0.111   0.417
 2015 235    61  20.90  32.60  24.50  5.270  4.167  1.064  5.231  4.167  1.064  0.000  0.000  289.05  234.79  119.60  115.19    0.00    0.00   0.333   0.253   0.213   0.148   0.116   0.417
 2015 236    62  13.10  29.60  24.00  3.183  2.510  0.648  3.158  2.510  0.648  0.000  0.000  292.23  237.95  122.11  115.84    0.00    0.00   0.546   0.070   0.021   0.008   0.004   0.251
 2015 237    63  17.80  30.60  24.00  4.368  3.438  0.897  4.335  3.438  0.897  0.000  0.000  296.60  242.28  125.55  116.73    0.00    0.00   0.752   0.099   0.029   0.011   0.006   0.344
 2015 238    64   2.00  25.40  20.90  0.452  0.355  0.094  0.448  0.355  0.094  0.000  0.000  297.05  242.73  125.90  116.83    0.00    0.00   0.029   0.022   0.019   0.013   0.011   0.035
 2015 239    65  22.50  29.90  20.80  5.411  4.240  1.128  5.368  4.240  1.128  0.000  0.000  302.46  248.10  130.14  117.95    0.00    0.00   0.355   0.265   0.225   0.158   0.125   0.424
 2015 240    66  16.50  29.70  24.00  4.029  3.109  0.891  3.999  3.109  0.891  0.000  0.000  306.49  252.10  133.25  118.85    0.00    0.00   0.286   0.208   0.175   0.124   0.099   0.311
 2015 241    67  14.40  27.10  22.90  3.397  2.608  0.763  3.371  2.608  0.763  0.000  0.000  309.89  255.47  135.86  119.61    0.00    0.00   0.245   0.177   0.150   0.106   0.084   0.261
 2015 242    68  18.00  30.70  23.20  4.447  3.400  1.015  4.415  3.400  1.015  0.000  0.000  314.34  259.88  139.26  120.62    0.00    0.00   0.310   0.235   0.203   0.147   0.119   0.340
 2015 243    69  18.90  31.20  21.60  4.617  3.507  1.076  4.583  3.507  1.076  0.000  0.000  318.95  264.47  142.77  121.70    0.00    0.00   0.338   0.248   0.212   0.153   0.125   0.351
 2015 244    70   9.80  27.30  21.40  2.292  1.727  0.547  2.274  1.727  0.547  0.000  0.000  321.24  266.74  144.49  122.25    0.00    0.00   0.178   0.130   0.105   0.074   0.060   0.173
 2015 245    71  22.50  30.50  22.80  5.543  4.147  1.357  5.504  4.147  1.357  0.000  0.000  326.79  272.24  148.64  123.60    0.00    0.00   0.436   0.326   0.265   0.184   0.146   0.415
 2015 246    72  12.60  29.60  22.10  3.038  2.248  0.768  3.017  2.248  0.768  0.000  0.000  329.83  275.26  150.89  124.37    0.00    0.00   0.250   0.187   0.149   0.102   0.080   0.225
 2015 247    73  19.60  31.00  22.00  4.834  3.536  1.266  4.801  3.536  1.266  0.000  0.000  334.66  280.06  154.43  125.64    0.00    0.00   0.425   0.296   0.245   0.169   0.130   0.354
 2015 248    74  16.20  31.70  21.80  4.015  2.893  1.095  3.988  2.893  1.095  0.000  0.000  338.67  284.05  157.32  126.73    0.00    0.00   0.361   0.260   0.214   0.147   0.113   0.289
 2015 249    75  15.70  31.10  23.70  3.931  2.783  1.123  3.906  2.783  1.123  0.000  0.000  342.61  287.96  160.10  127.85    0.00    0.00   0.350   0.265   0.225   0.159   0.124   0.278
 2015 250    76  24.70  31.30  24.50  6.198  4.293  1.868  6.161  4.293  1.868  0.000  0.000  348.80  294.12  164.39  129.72    0.00    0.00   0.595   0.446   0.369   0.257   0.201   0.429
 2015 251    77  21.20  31.00  21.90  5.249  3.534  1.682  5.216  3.534  1.682  0.000  0.000  354.05  299.33  167.93  131.40    0.00    0.00   0.556   0.391   0.325   0.229   0.180   0.353
 2015 252    78  15.30  29.90  24.40  3.808  2.487  1.299  3.786  2.487  1.299  0.000  0.000  357.86  303.12  170.41  132.70    0.00    0.00   0.411   0.304   0.257   0.183   0.146   0.249
 2015 253    79  24.70  33.40  23.30  6.303  3.959  2.310  6.269  3.959  2.310  0.000  0.000  364.16  309.39  174.37  135.01    0.00    0.00   0.719   0.544   0.461   0.326   0.259   0.396
 2015 254    80  19.20  33.50  21.30  4.821  2.875  1.921  4.796  2.875  1.921  0.000  0.000  368.99  314.18  177.25  136.93    0.00    0.00   0.616   0.465   0.377   0.260   0.203   0.288
 2015 255    81  24.10  32.80  22.00  6.161  3.453  2.678  6.130  3.453  2.678  0.000  0.000  375.15  320.31  180.70  139.61    0.00    0.00   0.844   0.642   0.536   0.370   0.285   0.345
 2015 256    82  21.40  32.20  24.30  5.472  2.833  2.615  5.448  2.833  2.615  0.000  0.000  380.62  325.76  183.53  142.23    0.00    0.00   0.807   0.622   0.526   0.369   0.290   0.283
 2015 257    83  17.80  31.10  23.70  4.453  2.304  2.128  3.618  2.304  1.314  0.000  0.000  385.07  329.38  185.84  143.54    0.00    0.00   1.096   0.148   0.044   0.016   0.008   0.230
 2015 258    84  17.90  31.10  23.90  4.453  2.305  2.128  3.662  2.305  1.358  0.000  0.000  389.53  333.04  188.14  144.90    0.00    0.00   1.141   0.149   0.044   0.016   0.008   0.230
 2015 259    85  24.50  31.60  22.30  6.131  3.172  2.929  4.570  3.172  1.397  0.000  0.000  395.66  337.61  191.32  146.29    0.00    0.00   1.181   0.149   0.043   0.016   0.008   0.317
 2015 260    86  14.30  29.80  23.00  3.501  1.811  1.673  3.484  1.811  1.673  0.000  0.000  399.16  341.09  193.13  147.97    0.00    0.00   0.562   0.395   0.312   0.225   0.179   0.181
 2015 261    87  21.20  31.60  22.70  5.399  2.793  2.579  5.373  2.793  2.579  0.000  0.000  404.56  346.47  195.92  150.55    0.00    0.00   0.868   0.610   0.491   0.340   0.270   0.279
 2015 262    88  19.80  32.10  23.80  5.034  2.605  2.405  4.001  2.605  1.396  0.000  0.000  409.59  350.47  198.53  151.94    0.00    0.00   1.184   0.146   0.043   0.015   0.008   0.260
 2015 263    89  18.10  34.20  23.00  4.642  2.402  2.218  4.620  2.402  2.218  0.000  0.000  414.23  355.09  200.93  154.16    0.00    0.00   0.744   0.540   0.426   0.285   0.223   0.240
 2015 264    90  15.00  30.30  22.90  3.774  1.952  1.803  3.755  1.952  1.803  0.000  0.000  418.01  358.84  202.88  155.96    0.00    0.00   0.633   0.445   0.337   0.222   0.165   0.195
 2015 265    91  20.00  31.70  21.80  5.072  2.623  2.423  5.046  2.623  2.423  0.000  0.000  423.08  363.89  205.50  158.39    0.00    0.00   0.795   0.587   0.479   0.324   0.239   0.262
 2015 266    92  22.80  33.00  23.30  5.853  3.028  2.796  5.824  3.028  2.796  0.000  0.000  428.93  369.71  208.53  161.18    0.00    0.00   0.878   0.667   0.560   0.390   0.302   0.303
 2015 267    93  24.50  34.40  22.60  6.298  3.258  3.009  4.580  3.258  1.322  0.000  0.000  435.23  374.29  211.79  162.51    0.00    0.00   1.106   0.148   0.044   0.016   0.008   0.326
 2015 268    94  23.70  32.70  22.80  5.950  3.078  2.843  4.289  3.078  1.211  0.000  0.000  441.18  378.58  214.87  163.72    0.00    0.00   1.001   0.143   0.043   0.016   0.008   0.308
 2015 269    95  23.70  32.90  23.10  5.951  3.077  2.843  4.286  3.077  1.208  0.000  0.000  447.13  382.87  217.94  164.92    0.00    0.00   1.005   0.139   0.041   0.016   0.008   0.308
 2015 270    96  23.70  34.40  23.00  6.066  3.137  2.898  4.319  3.137  1.182  0.000  0.000  453.20  387.19  221.08  166.11    0.00    0.00   0.984   0.134   0.040   0.015   0.008   0.314
 2015 271    97  13.10  31.30  22.00  3.203  1.655  1.530  3.186  1.655  1.530  0.000  0.000  456.40  390.37  222.74  167.64    0.00    0.00   0.514   0.360   0.279   0.210   0.167   0.166
 2015 272    98  20.80  31.50  21.60  5.260  2.719  2.513  5.232  2.719  2.513  0.000  0.000  461.66  395.61  225.46  170.15    0.00    0.00   0.895   0.604   0.435   0.323   0.257   0.272
 2015 273    99  13.40  31.10  21.70  3.332  1.722  1.592  3.314  1.722  1.592  0.000  0.000  464.99  398.92  227.18  171.74    0.00    0.00   0.574   0.385   0.276   0.199   0.159   0.172
 2015 274   100  23.70  33.30  22.40  6.125  3.168  2.926  6.094  3.168  2.926  0.000  0.000  471.12  405.01  230.35  174.67    0.00    0.00   1.012   0.717   0.535   0.368   0.294   0.317
 2015 275   101  23.00  34.90  22.80  5.969  3.089  2.852  5.941  3.089  2.852  0.000  0.000  477.09  410.95  233.43  177.52    0.00    0.00   0.968   0.701   0.531   0.361   0.291   0.309
 2015 276   102  21.90  31.80  22.10  5.473  2.830  2.615  4.176  2.830  1.346  0.000  0.000  482.56  415.13  236.26  178.87    0.00    0.00   1.145   0.143   0.038   0.014   0.007   0.283
 2015 277   103  10.90  32.00  21.60  2.700  1.396  1.290  2.686  1.396  1.290  0.000  0.000  485.26  417.82  237.66  180.16    0.00    0.00   0.439   0.336   0.241   0.154   0.120   0.140
 2015 278   104  21.30  33.00  21.80  5.483  2.836  2.620  5.456  2.836  2.620  0.000  0.000  490.74  423.27  240.50  182.78    0.00    0.00   0.876   0.660   0.517   0.333   0.234   0.284
 2015 279   105  17.40  33.40  21.50  4.417  2.285  2.110  4.395  2.285  2.110  0.000  0.000  495.16  427.67  242.78  184.89    0.00    0.00   0.718   0.523   0.405   0.280   0.184   0.228
 2015 280   106  18.40  32.40  23.00  4.738  2.451  2.264  4.715  2.451  2.264  0.000  0.000  499.90  432.38  245.23  187.15    0.00    0.00   0.745   0.546   0.445   0.310   0.217   0.245
 2015 281   107  21.20  32.70  22.80  5.392  2.789  2.576  5.365  2.789  2.576  0.000  0.000  505.29  437.75  248.02  189.73    0.00    0.00   0.816   0.618   0.512   0.360   0.270   0.279
 2015 282   108  23.70  34.50  23.80  6.144  3.180  2.936  4.491  3.180  1.311  0.000  0.000  511.43  442.24  251.20  191.04    0.00    0.00   1.100   0.145   0.043   0.016   0.008   0.318
 2015 283   109  17.70  33.50  22.60  4.475  2.315  2.138  4.453  2.315  2.138  0.000  0.000  515.91  446.69  253.52  193.18    0.00    0.00   0.692   0.533   0.414   0.288   0.211   0.232
 2015 284   110  23.00  33.80  22.60  5.993  3.100  2.863  5.964  3.100  2.863  0.000  0.000  521.90  452.66  256.62  196.04    0.00    0.00   0.986   0.716   0.535   0.361   0.264   0.310
 2015 285   111  20.50  33.80  23.00  5.346  2.766  2.554  5.320  2.766  2.554  0.000  0.000  527.25  457.98  259.38  198.59    0.00    0.00   0.821   0.617   0.502   0.347   0.267   0.277
 2015 286   112  24.20  33.00  22.60  6.158  3.185  2.942  6.128  3.185  2.942  0.000  0.000  533.40  464.10  262.57  201.54    0.00    0.00   0.918   0.705   0.587   0.411   0.322   0.319
 2015 287   113  24.20  33.80  24.80  6.264  3.242  2.993  4.527  3.242  1.285  0.000  0.000  539.67  468.63  265.81  202.82    0.00    0.00   1.073   0.145   0.043   0.016   0.008   0.324
 2015 288   114  24.30  34.40  22.90  6.203  3.209  2.964  4.374  3.209  1.165  0.000  0.000  545.87  473.00  269.02  203.99    0.00    0.00   0.959   0.141   0.042   0.016   0.008   0.321
 2015 289   115  24.60  34.60  22.70  6.250  3.233  2.986  4.289  3.233  1.056  0.000  0.000  552.12  477.29  272.25  205.04    0.00    0.00   0.856   0.136   0.040   0.015   0.008   0.323
 2015 290   116  24.70  35.20  22.30  6.315  3.267  3.017  4.435  3.267  1.168  0.000  0.000  558.44  481.73  275.52  206.21    0.00    0.00   0.974   0.132   0.039   0.015   0.008   0.327
 2015 291   117  19.80  33.80  22.80  5.058  2.616  2.417  3.885  2.616  1.268  0.000  0.000  563.49  485.61  278.14  207.48    0.00    0.00   1.081   0.127   0.037   0.015   0.008   0.262
 2015 292   118  23.90  35.50  22.90  6.314  3.267  3.017  4.411  3.267  1.144  0.000  0.000  569.81  490.02  281.40  208.62    0.00    0.00   0.962   0.124   0.036   0.014   0.008   0.327
 2015 293   119  19.90  32.70  22.70  4.956  2.563  2.368  3.588  2.563  1.025  0.000  0.000  574.76  493.61  283.97  209.65    0.00    0.00   0.849   0.119   0.035   0.014   0.007   0.256
 2015 294   120  21.60  35.70  20.90  5.622  2.908  2.686  3.928  2.908  1.019  0.000  0.000  580.39  497.54  286.87  210.67    0.00    0.00   0.848   0.116   0.034   0.014   0.007   0.291
 2015 295   121  20.80  33.40  22.80  5.220  2.700  2.494  3.711  2.700  1.011  0.000  0.000  585.61  501.25  289.57  211.68    0.00    0.00   0.845   0.112   0.033   0.014   0.007   0.270
 2015 296   122  24.20  34.00  22.90  6.080  3.146  2.905  4.054  3.146  0.907  0.000  0.000  591.69  505.30  292.72  212.58    0.00    0.00   0.747   0.108   0.031   0.013   0.007   0.315
 2015 297   123  24.40  35.00  24.50  6.226  3.224  2.975  4.033  3.224  0.809  0.000  0.000  597.91  509.34  295.94  213.39    0.00    0.00   0.655   0.104   0.030   0.013   0.007   0.322
 2015 298   124  24.00  33.90  24.60  6.030  3.122  2.881  3.841  3.122  0.719  0.000  0.000  603.94  513.18  299.07  214.11    0.00    0.00   0.571   0.100   0.029   0.013   0.007   0.312
 2015 299   125  23.20  33.20  22.00  5.660  2.929  2.704  3.566  2.929  0.637  0.000  0.000  609.60  516.74  301.99  214.75    0.00    0.00   0.495   0.096   0.027   0.013   0.007   0.293
 2015 300   126  20.60  35.90  23.60  5.414  2.804  2.587  3.368  2.804  0.564  0.000  0.000  615.02  520.11  304.80  215.31    0.00    0.00   0.427   0.092   0.026   0.012   0.007   0.280
 2015 301   127  22.00  35.00  22.30  5.441  2.817  2.600  3.328  2.817  0.511  0.000  0.000  620.46  523.44  307.62  215.82    0.00    0.00   0.379   0.088   0.025   0.012   0.007   0.282
 2015 302   128  20.80  35.50  21.90  5.262  2.724  2.514  3.707  2.724  0.983  0.000  0.000  625.72  527.15  310.34  216.81    0.00    0.00   0.851   0.091   0.024   0.012   0.006   0.272
 2015 303   129  23.20  35.10  21.90  6.065  3.140  2.898  6.038  3.140  2.898  0.000  0.000  631.78  533.18  313.48  219.71    0.00    0.00   1.243   0.576   0.381   0.378   0.320   0.314
 2015 304   130  18.40  34.50  23.20  4.748  2.458  2.269  3.676  2.458  1.218  0.000  0.000  636.53  536.86  315.94  220.92    0.00    0.00   1.090   0.091   0.021   0.011   0.006   0.246
 2015 305   131  14.00  32.30  24.30  3.536  1.831  1.690  2.930  1.831  1.099  0.000  0.000  640.07  539.79  317.77  222.02    0.00    0.00   0.976   0.087   0.020   0.011   0.006   0.183
