*SOIL-PLANT-ATMOSPHERE MODULE OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.7.2.000 -release      OCT 15, 2021; 17:59:33
                                                                                
*RUN   1        :             CSM335_date_1 MZCER047 ITSA1301    1              
 MODEL          : MZCER047 - Maize                                              
 EXPERIMENT     : ITSA1301 SG CALIBRATION SETUP OF SORGHUM SOWING DATES         
 DATA PATH      :                                                               
 TREATMENT  1   :             CSM335_date_1 MZCER047                            
  
!                                                                                                                                                Soil evaporation (mm/d) by soil depth (cm):
!                                                                                                                                                0-5    5-15   15-30   30-45   45-60
@YEAR DOY   DAS   SRAA  TMAXA  TMINA   EOAA   EOPA   EOSA   ETAA   EPAA   ESAA   EFAA   EMAA    EOAC    ETAC    EPAC    ESAC    EFAC    EMAC    ES1D    ES2D    ES3D    ES4D    ES5D   TRWUD
 2015 175     1  22.30  31.40  21.70  5.273  0.000  5.273  1.139  0.000  1.139  0.000  0.000    5.27    1.14    0.00    1.14    0.00    0.00   1.014   0.096   0.019   0.007   0.004   0.000
 2015 176     2  24.60  34.20  25.50  6.932  0.000  6.932  4.158  0.000  4.158  0.000  0.000   12.20    5.30    0.00    5.30    0.00    0.00   1.913   1.181   0.472   0.331   0.261   0.000
 2015 177     3  19.60  33.80  25.50  5.284  0.000  5.284  1.271  0.000  1.271  0.000  0.000   17.49    6.57    0.00    6.57    0.00    0.00   1.111   0.132   0.018   0.007   0.003   0.000
 2015 178     4  25.40  34.50  24.70  6.771  0.000  6.771  4.079  0.000  4.079  0.000  0.000   24.26   10.65    0.00   10.65    0.00    0.00   1.806   1.234   0.458   0.324   0.257   0.000
 2015 179     5  23.60  32.90  24.70  6.383  0.000  6.383  4.077  0.000  4.077  0.000  0.000   30.64   14.72    0.00   14.72    0.00    0.00   1.802   1.260   0.444   0.317   0.253   0.000
 2015 180     6  21.50  33.00  25.50  5.703  0.000  5.703  1.211  0.000  1.211  0.000  0.000   36.35   15.93    0.00   15.93    0.00    0.00   1.046   0.137   0.017   0.006   0.003   0.000
 2015 181     7  25.00  34.00  25.70  6.626  0.020  6.605  1.134  0.020  1.113  0.000  0.000   42.97   17.07    0.02   17.05    0.00    0.00   0.950   0.136   0.017   0.006   0.003   0.002
 2015 182     8  23.70  34.50  25.60  6.237  0.040  6.197  1.151  0.040  1.111  0.000  0.000   49.21   18.22    0.06   18.16    0.00    0.00   0.949   0.135   0.017   0.006   0.003   0.004
 2015 183     9   8.00  28.90  20.90  1.942  0.020  1.922  1.942  0.020  1.922  0.000  0.000   51.15   20.16    0.08   20.08    0.00    0.00   0.804   0.624   0.251   0.135   0.108   0.002
 2015 184    10  14.90  31.00  24.10  4.025  0.077  3.946  4.024  0.077  3.946  0.000  0.000   55.17   24.18    0.16   24.03    0.00    0.00   1.606   1.217   0.661   0.257   0.206   0.008
 2015 185    11  22.90  32.80  24.40  6.076  0.193  5.880  4.655  0.193  4.462  0.000  0.000   61.25   28.84    0.35   28.49    0.00    0.00   1.698   1.358   0.860   0.302   0.243   0.019
 2015 186    12  21.60  34.90  22.60  5.664  0.271  5.389  5.094  0.271  4.823  0.000  0.000   66.91   33.93    0.62   33.31    0.00    0.00   1.866   1.453   0.968   0.296   0.239   0.027
 2015 187    13  25.40  33.60  23.80  6.911  0.461  6.445  5.372  0.461  4.910  0.000  0.000   73.83   39.31    1.08   38.22    0.00    0.00   1.859   1.417   1.098   0.300   0.236   0.046
 2015 188    14  24.20  33.60  23.80  6.361  0.558  5.797  5.585  0.558  5.027  0.000  0.000   80.19   44.89    1.64   43.25    0.00    0.00   1.927   1.407   1.136   0.324   0.232   0.056
 2015 189    15  19.30  33.10  23.90  5.200  0.555  4.637  5.193  0.555  4.637  0.000  0.000   85.39   50.08    2.20   47.89    0.00    0.00   1.832   1.259   1.027   0.315   0.204   0.056
 2015 190    16  18.40  32.50  22.40  4.818  0.597  4.213  4.811  0.597  4.213  0.000  0.000   90.20   54.89    2.79   52.10    0.00    0.00   1.622   1.162   0.928   0.323   0.177   0.060
 2015 191    17  21.50  32.70  22.50  5.712  0.809  4.892  5.702  0.809  4.892  0.000  0.000   95.92   60.59    3.60   56.99    0.00    0.00   1.817   1.331   1.096   0.445   0.203   0.081
 2015 192    18  25.10  33.20  23.70  6.593  1.082  5.498  6.012  1.082  4.930  0.000  0.000  102.51   66.61    4.68   61.92    0.00    0.00   1.699   1.348   1.145   0.520   0.218   0.108
