*PLANT N OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.7.2.000 -release      OCT 15, 2021; 17:59:33
                                                                                
*RUN   1        :             CSM335_date_1 MZCER047 ITSA1301    1              
 MODEL          : MZCER047 - Maize                                              
 EXPERIMENT     : ITSA1301 SG CALIBRATION SETUP OF SORGHUM SOWING DATES         
 DATA PATH      :                                                               
 TREATMENT  1   :             CSM335_date_1 MZCER047                            
  
@YEAR DOY   DAS   DAP   CNAD   GNAD   VNAD   GN%D   VN%D   NUPC   LNAD   SNAD   LN%D   SN%D   RN%D   SNN0C   SNN1C
 2015 176     2     0    0.0    0.0    0.0   0.00   0.00    0.0    0.0    0.0    0.0   0.00   0.00    0.00    0.00
 2015 177     3     1    0.0    0.0    0.0   0.00   0.00    0.0    0.0    0.0    0.0   0.00   0.00    0.00    0.00
 2015 178     4     2    0.0    0.0    0.0   0.00   0.00    0.0    0.0    0.0    0.0   0.00   0.00    0.00    0.00
 2015 179     5     3    0.0    0.0    0.0   0.00   0.00    0.0    0.0    0.0    0.0   0.00   0.00    0.00    0.00
 2015 180     6     4    1.1    0.0    1.1   0.00   4.40    0.0    0.5    0.5    4.4   4.40   2.20    0.00    0.00
 2015 181     7     5    1.1    0.0    1.1   0.00   4.40    0.0    0.5    0.5    4.4   4.40   2.15    0.00    0.00
 2015 182     8     6    1.1    0.0    1.1   0.00   4.40    0.0    0.5    0.5    4.4   4.40   2.05    0.00    0.00
 2015 183     9     7    1.1    0.0    1.1   0.00   4.40    0.0    0.5    0.5    4.4   4.40   2.00    0.00    0.00
 2015 184    10     8    1.1    0.0    1.1   0.00   4.08    0.0    0.6    0.5    4.1   4.08   1.96    0.00    0.00
 2015 185    11     9    1.1    0.0    1.1   0.00   2.98    0.0    0.7    0.4    3.0   2.98   1.85    0.00    0.00
 2015 186    12    10    1.5    0.0    1.5   0.00   3.10    0.4    1.2    0.4    3.1   3.10   1.15    0.00    0.00
 2015 187    13    11    2.0    0.0    2.0   0.00   3.34    0.9    1.6    0.4    3.3   3.34   1.18    0.00    0.00
 2015 188    14    12    2.5    0.0    2.5   0.00   3.29    1.4    2.1    0.4    3.3   3.29   1.20    0.00    0.00
 2015 189    15    13    3.1    0.0    3.1   0.00   3.39    2.0    2.6    0.4    3.4   3.39   1.18    0.00    0.00
 2015 190    16    14    3.6    0.0    3.6   0.00   3.38    2.5    3.1    0.4    3.4   3.38   1.18    0.00    0.01
 2015 191    17    15    4.1    0.0    4.1   0.00   3.27    3.1    3.7    0.4    3.3   3.27   1.20    0.00    0.01
 2015 192    18    16    4.9    0.0    4.9   0.00   3.15    3.9    4.5    0.4    3.2   3.15   1.22    0.00    0.01
 2015 193    19    17    6.0    0.0    6.0   0.00   3.68    5.1    5.6    0.5    3.7   3.68   1.12    0.00    0.01
 2015 194    20    18    6.2    0.0    6.2   0.00   3.24    5.4    5.8    0.4    3.2   3.24   1.20    0.00    0.01
 2015 195    21    19    8.6    0.0    8.6   0.00   3.79    7.8    8.2    0.5    3.8   3.79   1.21    0.00    0.02
 2015 196    22    20    9.7    0.0    9.7   0.00   3.72    9.0    9.3    0.5    3.7   3.72   1.19    0.00    0.02
 2015 197    23    21   11.6    0.0   11.6   0.00   3.62   10.9   11.1    0.5    3.6   3.62   1.13    0.00    0.02
 2015 198    24    22   13.2    0.0   13.2   0.00   3.54   12.5   12.7    0.5    3.5   3.54   1.12    0.00    0.02
 2015 199    25    23   15.7    0.0   15.7   0.00   3.48   15.1   15.1    0.6    3.5   3.48   1.14    0.00    0.03
 2015 200    26    24   17.9    0.0   17.9   0.00   3.42   17.3   17.2    0.7    3.4   3.42   1.13    0.00    0.03
 2015 201    27    25   18.9    0.0   18.9   0.00   3.38   18.3   18.1    0.8    3.4   3.38   1.10    0.00    0.03
 2015 202    28    26   20.7    0.0   20.7   0.00   3.33   20.1   19.7    1.0    3.3   3.33   1.12    0.00    0.04
 2015 203    29    27   23.2    0.0   23.2   0.00   3.28   22.7   21.8    1.4    3.3   3.28   1.13    0.00    0.04
 2015 204    30    28   26.2    0.0   26.2   0.00   3.23   25.8   24.3    2.0    3.2   3.23   1.14    0.00    0.05
 2015 205    31    29   28.9    0.0   28.9   0.00   3.18   28.5   26.3    2.6    3.2   3.18   1.13    0.00    0.05
 2015 206    32    30   31.6    0.0   31.6   0.00   3.13   31.3   28.2    3.4    3.1   3.13   1.13    0.00    0.06
 2015 207    33    31   32.9    0.0   32.9   0.00   3.08   32.7   29.1    3.9    3.1   3.08   1.10    0.00    0.06
 2015 208    34    32   33.9    0.0   33.9   0.00   3.04   33.6   29.6    4.3    3.0   3.04   1.09    0.00    0.07
 2015 209    35    33   36.4    0.0   36.4   0.00   3.00   36.2   31.1    5.3    3.0   3.00   1.12    0.00    0.07
