*PLANT N OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.7.2.000 -release      OCT 15, 2021; 17:59:33
                                                                                
*RUN   1        :             CSM335_date_1 MZCER047 ITSA1301    1              
 MODEL          : MZCER047 - Maize                                              
 EXPERIMENT     : ITSA1301 SG CALIBRATION SETUP OF SORGHUM SOWING DATES         
 DATA PATH      :                                                               
 TREATMENT  1   :             CSM335_date_1 MZCER047                            
  
@YEAR DOY   DAS   DAP   CNAD   GNAD   VNAD   GN%D   VN%D   NUPC   LNAD   SNAD   LN%D   SN%D   RN%D   SNN0C   SNN1C
 2014 231    57    46   47.2    0.0   47.2   0.00   2.45   47.4   27.5   19.7    2.4   2.45   1.11    0.00    0.12
 2014 232    58    47   49.9    0.0   49.9   0.00   2.42   50.2   28.0   21.8    2.4   2.42   1.13    0.00    0.13
 2014 233    59    48   51.6    0.0   51.6   0.00   2.38   52.0   28.2   23.5    2.4   2.38   1.12    0.00    0.14
 2014 234    60    49   52.3    0.0   52.3   0.00   2.34   52.7   28.1   24.3    2.3   2.34   1.10    0.00    0.15
 2014 235    61    50   53.8    0.0   53.8   0.00   2.32   54.3   28.3   25.5    2.3   2.32   1.11    0.00    0.16
 2014 236    62    51   55.4    0.0   55.4   0.00   2.29   56.0   28.6   26.9    2.3   2.29   1.11    0.00    0.16
 2014 237    63    52   57.4    0.0   57.4   0.00   2.27   58.1   29.1   28.4    2.3   2.27   1.12    0.00    0.17
 2014 238    64    53   57.4    0.0   57.4   0.00   2.26   58.1   28.7   28.8    2.3   2.26   1.11    0.00    0.17
 2014 239    65    54   57.4    0.0   57.4   0.00   2.25   58.1   28.0   29.4    2.2   2.25   1.08    0.00    0.17
 2014 240    66    55   57.4    0.0   57.4   0.00   2.23   58.1   27.4   30.0    2.2   2.23   1.04    0.00    0.17
 2014 241    67    56   57.4    0.0   57.4   0.00   2.22   58.1   26.8   30.6    2.2   2.22   1.01    0.00    0.17
 2014 242    68    57   57.4    0.0   57.4   0.00   2.22   58.1   26.3   31.1    2.2   2.22   0.98    0.00    0.17
 2014 243    69    58   57.4    0.0   57.4   0.00   2.23   58.1   25.9   31.6    2.2   2.23   0.96    0.00    0.17
 2014 244    70    59   57.4    0.0   57.4   0.00   2.24   58.1   25.4   32.0    2.2   2.24   0.94    0.00    0.17
 2014 245    71    60   57.4    0.0   57.4   0.00   2.26   58.1   24.9   32.5    2.3   2.26   0.93    0.00    0.17
 2014 246    72    61   57.4    1.0   56.5   1.82   2.22   58.1   24.5   31.9    2.2   2.22   0.90    0.00    0.17
 2014 247    73    62   57.4    2.3   55.1   1.80   2.17   58.1   23.9   31.2    2.2   2.17   0.82    0.00    0.17
 2014 248    74    63   57.4    3.9   53.6   1.78   2.14   58.1   23.6   29.9    2.1   2.14   0.82    0.00    0.17
 2014 249    75    64   57.4    5.1   52.3   1.78   2.07   58.1   22.8   29.5    2.1   2.07   0.78    0.00    0.17
 2014 250    76    65   57.4    6.6   50.8   1.78   2.00   58.1   22.1   28.7    2.0   2.00   0.76    0.00    0.17
 2014 251    77    66   57.4    8.1   49.4   1.78   1.94   58.1   21.4   27.9    1.9   1.94   0.72    0.00    0.17
