*Surface Mulch daily output file

*DSSAT Cropping System Model Ver. 4.7.2.000 -release      OCT 15, 2021; 17:59:33
                                                                                
*RUN   1        :             CSM335_date_1 MZCER047 ITSA1301    1              
 MODEL          : MZCER047 - Maize                                              
 EXPERIMENT     : ITSA1301 SG CALIBRATION SETUP OF SORGHUM SOWING DATES         
 DATA PATH      :                                                               
 TREATMENT  1   :             CSM335_date_1 MZCER047                            
  
@YEAR DOY   DAS    MCFD   MDEPD    MWAD    MWTD
 2014 174     0   0.000    0.00       0    0.00
 2014 175     1   0.000    0.00       0    0.00
 2014 176     2   0.000    0.00       0    0.00
 2014 177     3   0.000    0.00       0    0.00
 2014 178     4   0.000    0.00       0    0.00
 2014 179     5   0.000    0.00       0    0.00
 2014 180     6   0.000    0.00       0    0.00
 2014 181     7   0.000    0.00       0    0.00
 2014 182     8   0.000    0.00       0    0.00
 2014 183     9   0.000    0.00       0    0.00
 2014 184    10   0.000    0.00       0    0.00
 2014 185    11   0.000    0.00       0    0.00
 2014 186    12   0.000    0.00       0    0.00
 2014 187    13   0.000    0.00       0    0.00
 2014 188    14   0.000    0.00       0    0.00
 2014 189    15   0.000    0.00       0    0.00
 2014 190    16   0.000    0.00       0    0.00
 2014 191    17   0.000    0.00       0    0.00
 2014 192    18   0.000    0.00       0    0.00
 2014 193    19   0.000    0.00       0    0.00
 2014 194    20   0.000    0.00       0    0.00
 2014 195    21   0.000    0.00       0    0.00
 2014 196    22   0.000    0.00       0    0.00
 2014 197    23   0.000    0.00       0    0.00
 2014 198    24   0.000    0.00       0    0.00
 2014 199    25   0.000    0.00       0    0.00
 2014 200    26   0.000    0.00       0    0.00
 2014 201    27   0.000    0.00       0    0.00
 2014 202    28   0.000    0.00       0    0.00
 2014 203    29   0.000    0.00       0    0.00
 2014 204    30   0.000    0.00       0    0.00
 2014 205    31   0.000    0.00       0    0.00
 2014 206    32   0.000    0.00       0    0.00
 2014 207    33   0.000    0.00       0    0.00
 2014 208    34   0.000    0.00       0    0.00
 2014 209    35   0.000    0.00       0    0.00
 2014 210    36   0.000    0.00       0    0.00
 2014 211    37   0.000    0.00       0    0.00
 2014 212    38   0.000    0.00       0    0.00
 2014 213    39   0.000    0.00       0    0.00
 2014 214    40   0.000    0.00       0    0.00
 2014 215    41   0.000    0.00       0    0.00
 2014 216    42   0.000    0.00       0    0.00
 2014 217    43   0.000    0.00       0    0.00
 2014 218    44   0.000    0.00       0    0.00
 2014 219    45   0.000    0.00       0    0.00
 2014 220    46   0.000    0.00       0    0.00
 2014 221    47   0.000    0.00       0    0.00
 2014 222    48   0.000    0.00       0    0.00
 2014 223    49   0.000    0.00       0    0.00
 2014 224    50   0.000    0.00       0    0.00
 2014 225    51   0.000    0.00       0    0.00
 2014 226    52   0.000    0.00       0    0.00
 2014 227    53   0.000    0.00       0    0.00
 2014 228    54   0.000    0.00       0    0.00
 2014 229    55   0.000    0.00       0    0.00
 2014 230    56   0.000    0.00       0    0.00
 2014 231    57   0.000    0.00       0    0.00
 2014 232    58   0.000    0.00       0    0.00
 2014 233    59   0.000    0.00       0    0.00
 2014 234    60   0.000    0.00       0    0.00
 2014 235    61   0.000    0.00       0    0.00
 2014 236    62   0.000    0.00       0    0.00
 2014 237    63   0.000    0.00       0    0.00
 2014 238    64   0.000    0.00       0    0.00
 2014 239    65   0.000    0.00       0    0.00
 2014 240    66   0.000    0.00       0    0.00
 2014 241    67   0.000    0.00       0    0.00
 2014 242    68   0.000    0.00       0    0.00
 2014 243    69   0.000    0.00       0    0.00
 2014 244    70   0.000    0.00       0    0.00
 2014 245    71   0.000    0.00       0    0.00
 2014 246    72   0.000    0.00       0    0.00
 2014 247    73   0.000    0.00       0    0.00
 2014 248    74   0.000    0.00       0    0.00
 2014 249    75   0.000    0.00       0    0.00
 2014 250    76   0.000    0.00       0    0.00
 2014 251    77   0.000    0.00       0    0.00
 2014 252    78   0.000    0.00       0    0.00
 2014 253    79   0.000    0.00       0    0.00
 2014 254    80   0.000    0.00       0    0.00
 2014 255    81   0.000    0.00       0    0.00
 2014 256    82   0.000    0.00       0    0.00
 2014 257    83   0.000    0.00       0    0.00
 2014 258    84   0.000    0.00       0    0.00
 2014 259    85   0.000    0.00       0    0.00
 2014 260    86   0.000    0.00       0    0.00
 2014 261    87   0.000    0.00       0    0.00
 2014 262    88   0.000    0.00       0    0.00
 2014 263    89   0.000    0.00       0    0.00
 2014 264    90   0.000    0.00       0    0.00
 2014 265    91   0.000    0.00       0    0.00
 2014 266    92   0.000    0.00       0    0.00
 2014 267    93   0.000    0.00       0    0.00
 2014 268    94   0.000    0.00       0    0.00
 2014 269    95   0.000    0.00       0    0.00
 2014 270    96   0.000    0.00       0    0.00
 2014 271    97   0.000    0.00       0    0.00
 2014 272    98   0.000    0.00       0    0.00
 2014 273    99   0.000    0.00       0    0.00
 2014 274   100   0.000    0.00       0    0.00
 2014 275   101   0.000    0.00       0    0.00
 2014 276   102   0.000    0.00       0    0.00
 2014 277   103   0.000    0.00       0    0.00
 2014 278   104   0.000    0.00       0    0.00
 2014 279   105   0.000    0.00       0    0.00
 2014 280   106   0.000    0.00       0    0.00
 2014 281   107   0.000    0.00       0    0.00
 2014 282   108   0.000    0.00       0    0.00
 2014 283   109   0.000    0.00       0    0.00
 2014 284   110   0.000    0.00       0    0.00
 2014 285   111   0.000    0.00       0    0.00
 2014 286   112   0.000    0.00       0    0.00
 2014 287   113   0.000    0.00       0    0.00
 2014 288   114   0.000    0.00       0    0.00
 2014 289   115   0.000    0.00       0    0.00
 2014 290   116   0.000    0.00       0    0.00
 2014 291   117   0.000    0.00       0    0.00
 2014 292   118   0.000    0.00       0    0.00
 2014 293   119   0.000    0.00       0    0.00
 2014 294   120   0.000    0.00       0    0.00
 2014 295   121   0.000    0.00       0    0.00
 2014 296   122   0.000    0.00       0    0.00
 2014 297   123   0.000    0.00       0    0.00
 2014 298   124   0.000    0.00       0    0.00
 2014 299   125   0.000    0.00       0    0.00
 2014 300   126   0.000    0.00       0    0.00
 2014 301   127   0.000    0.00       0    0.00
 2014 302   128   0.000    0.00       0    0.00
 2014 303   129   0.000    0.00       0    0.00
 2014 304   130   0.000    0.00       0    0.00
 2014 305   131   0.000    0.00       0    0.00
 2014 306   132   0.000    0.00       0    0.00
 2014 307   133   0.000    0.00       0    0.00
 2014 308   134   0.000    0.00       0    0.00
 2014 309   135   0.000    0.00       0    0.00
 2014 310   136   0.000    0.00       0    0.00
 2014 311   137   0.000    0.00       0    0.00
 2014 312   138   0.000    0.00       0    0.00
 2014 313   139   0.000    0.00       0    0.00
 2014 314   140   0.000    0.00       0    0.00
 2014 315   141   0.000    0.00       0    0.00
 2014 316   142   0.000    0.00       0    0.00
 2014 317   143   0.000    0.00       0    0.00
