@YEAR	DOY	DAS		SWTD	SWXD	ROFC   DRNC		PREC  IR#	C	IRRC	DTWT	MWTD	TDFD	TDFC	ROFD	SW1D	SW2D	SW3D	SW4D	SW5D
2014	234	60		173	128	0      0		233	0	0	60	0	0	0	0	0.344	0.338	0.34	0.314	0.161
2014	235	61		170	124	0      0		234	0	0	60	0	0	0	0	0.299	0.301	0.308	0.311	0.211
2014	236	62		166	120	0      0		235	0	0	60	0	0	0	0	0.28	0.28	0.286	0.297	0.241
2014	237	63		159	114	0      0		235	0	0	60	0	0	0	0	0.258	0.264	0.27	0.28	0.249
2014	238	64		185	140	0      0		263	0	0	60	0	0	0	0	0.348	0.341	0.312	0.299	0.28
2014	239	65		170	124	0     10		263	0	0	60	0	0	0	0	0.289	0.292	0.283	0.282	0.275
2014	240	66		163	118	0     11		263	0	0	60	0	0	0	0	0.263	0.27	0.271	0.275	0.274
2014	241	67		157	112	0     11		263	0	0	60	0	0	0	0	0.232	0.258	0.261	0.27	0.269
2014	242	68		152	107	0     11		263	0	0	60	0	0	0	0	0.205	0.248	0.253	0.265	0.265
2014	243	69		165	119	0     11		279	0	0	60	0	0	0	0	0.344	0.292	0.266	0.261	0.261
2014	244	70		185	140	0     12		305	0	0	60	0	0	0	0	0.34	0.336	0.32	0.297	0.281
2014	245	71		179	134	0     15		305	0	0	59	0	0	0	0	0.3	0.303	0.302	0.3	0.291
2014	246	72		175	129	0     18		308	0	0	59	0	0	0	0	0.304	0.289	0.289	0.293	0.291
2014	247	73		165	119	0     23		308	0	0	60	0	0	0	0	0.269	0.27	0.272	0.278	0.278
2014	248	74		195	149	0     27		345	0	0	58	0	0	0	0	0.35	0.342	0.34	0.315	0.299
2014	249	75		193	148	0     35		357	0	0	57	0	0	0	0	0.339	0.335	0.323	0.319	0.31
2014	250	76		174	128	0     50		357	0	0	59	0	0	0	0	0.289	0.293	0.289	0.291	0.287
2014	251	77		165	119	0     54		357	0	0	60	0	0	0	0	0.266	0.273	0.274	0.278	0.277
2014	252	78		186	140	0     57		386	0	0	59	0	0	0	0	0.339	0.335	0.314	0.299	0.288
2014	253	79		196	150	0     64		404	0	0	58	0	0	0	0	0.348	0.341	0.334	0.32	0.306
2014	254	80		173	128	0     80		404	0	0	60	0	0	0	0	0.287	0.292	0.291	0.289	0.284
2014	255	81		180	134	0     83		417	0	0	59	0	0	0	0	0.344	0.315	0.295	0.292	0.288
2014	256	82		187	141	0     88		435	0	0	59	0	0	0	0	0.332	0.332	0.313	0.304	0.295
2014	257	83		189	143	0     93		445	0	0	58	0	0	0	0	0.346	0.333	0.312	0.309	0.302
2014	258	84		184	138	0     99		452	0	0	58	0	0	0	0	0.332	0.314	0.301	0.303	0.3
2014	259	85		205	159	0    132		509	0	0	54	0	0	0	0.02	0.344	0.34	0.341	0.342	0.343
2014	260	86		193	148	0    144		512	0	0	55	0	0	0	0	0.327	0.312	0.315	0.325	0.331
2014	261	87		191	146	0    154		524	0	0	56	0	0	0	0	0.34	0.326	0.309	0.315	0.32
2014	262	88		178	132	0    161		524	0	0	58	0	0	0	0	0.282	0.292	0.292	0.3	0.306
2014	263	89		174	128	0    165		530	0	0	59	0	0	0	0	0.313	0.286	0.283	0.289	0.294
2014	264	90		171	125	0    168		535	0	0	60	0	0	0	0	0.315	0.285	0.279	0.282	0.285
2014	265	91		165	119	0    168		535	0	0	60	0	0	0	0	0.272	0.274	0.273	0.275	0.277
2014	266	92		167	121	0    168		543	0	0	60	0	0	0	0	0.319	0.281	0.273	0.272	0.271
2014	267	93		160	114	0    168		543	0	0	60	0	0	0	0	0.266	0.266	0.269	0.266	0.265
2014	268	94		156	110	0    168		543	0	0	60	0	0	0	0	0.241	0.26	0.263	0.262	0.261
2014	269	95		152	107	0    168		543	0	0	60	0	0	0	0	0.217	0.254	0.258	0.258	0.257
2014	270	96		181	135	0    168		573	0	0	60	0	0	0	0	0.347	0.341	0.307	0.287	0.269
2014	271	97		174	128	0    170		574	0	0	60	0	0	0	0	0.286	0.299	0.293	0.29	0.279
2014	272	98		166	120	0    171		574	0	0	60	0	0	0	0	0.257	0.275	0.278	0.282	0.279
2014	273	99		202	156	0    183		626	0	0	56	0	0	0	0	0.337	0.336	0.338	0.341	0.329
2014	274	100		191	146	0    194		631	0	0	56	0	0	0	0	0.33	0.31	0.312	0.323	0.324
2014	275	101		182	137	0    202		635	0	0	57	0	0	0	0	0.319	0.295	0.295	0.305	0.311
2014	276	102		173	128	0    207		637	0	0	58	0	0	0	0	0.29	0.283	0.283	0.291	0.297
2014	277	103		166	120	0    209		637	0	0	60	0	0	0	0	0.263	0.271	0.273	0.279	0.284
2014	278	104		169	123	0    210		645	0	0	60	0	0	0	0	0.327	0.283	0.275	0.278	0.277
2014	279	105		168	122	0    210		650	0	0	60	0	0	0	0	0.319	0.284	0.275	0.275	0.274
2014	280	106		163	117	0    210		650	0	0	60	0	0	0	0	0.273	0.271	0.272	0.274	0.269
2014	281	107		159	113	0    210		650	0	0	60	0	0	0	0	0.246	0.264	0.266	0.27	0.265
2014	282	108		155	109	0    210		650	0	0	60	0	0	0	0	0.221	0.257	0.259	0.266	0.26
2014	283	109		151	105	0    210		650	0	0	60	0	0	0	0	0.199	0.251	0.253	0.262	0.256
2014	284	110		148	102	0    210		650	0	0	60	0	0	0	0	0.18	0.247	0.25	0.259	0.254
2014	285	111		146	100	0    210		650	0	0	60	0	0	0	0	0.163	0.243	0.247	0.257	0.252
2014	286	112		145	99	0    210		653	0	0	60	0	0	0	0	0.198	0.237	0.241	0.254	0.248
2014	287	113		141	96	0    210		653	0	0	60	0	0	0	0	0.178	0.231	0.235	0.25	0.244
2014	288	114		138	92	0    210		653	0	0	60	0	0	0	0	0.159	0.224	0.229	0.245	0.24
2014	289	115		134	88	0    210		653	0	0	60	0	0	0	0	0.142	0.218	0.223	0.242	0.236
2014	290	116		131	85	0    210		653	0	0	60	0	0	0	0	0.127	0.212	0.218	0.238	0.232
2014	291	117		128	82	0    210		653	0	0	60	0	0	0	0	0.114	0.206	0.212	0.234	0.228
2014	292	118		125	79	0    210		653	0	0	60	0	0	0	0	0.104	0.201	0.207	0.231	0.225
2014	293	119		122	76	0    210		653	0	0	60	0	0	0	0	0.096	0.195	0.201	0.227	0.221
2014	294	120		118	73	0    210		653	0	0	60	0	0	0	0	0.089	0.188	0.195	0.222	0.216
2014	295	121		115	69	0    210		653	0	0	60	0	0	0	0	0.083	0.181	0.188	0.217	0.212
2014	296	122		111	66	0    210		653	0	0	60	0	0	0	0	0.078	0.174	0.181	0.213	0.207
2014	297	123		108	62	0    210		653	0	0	60	0	0	0	0	0.076	0.167	0.174	0.208	0.202
2014	298	124		105	59	0    210		653	0	0	60	0	0	0	0	0.071	0.16	0.167	0.203	0.197
2014	299	125		102	56	0    210		653	0	0	60	0	0	0	0	0.067	0.154	0.161	0.2	0.193
2014	300	126		99	53	0    210		653	0	0	60	0	0	0	0	0.063	0.148	0.155	0.195	0.189
2014	301	127		96	50	0    210		653	0	0	60	0	0	0	0	0.059	0.141	0.148	0.191	0.184
2014	302	128		92	47	0    210		653	0	0	60	0	0	0	0	0.056	0.135	0.141	0.186	0.18
2014	303	129		89	43	0    210		653	0	0	60	0	0	0	0	0.053	0.128	0.134	0.181	0.175
2014	304	130		86	40	0    210		653	0	0	60	0	0	0	0	0.05	0.121	0.128	0.177	0.17
2014	305	131		83	37	0    210		653	0	0	60	0	0	0	0	0.048	0.117	0.12	0.172	0.165
2014	306	132		80	34	0    210		653	0	0	60	0	0	0	0	0.045	0.113	0.115	0.166	0.159
2014	307	133		77	31	0    210		653	0	0	60	0	0	0	0	0.043	0.11	0.112	0.159	0.152
2014	308	134		74	28	0    210		653	0	0	60	0	0	0	0	0.047	0.108	0.109	0.152	0.145
2014	309	135		73	27	0    210		653	0	0	60	0	0	0	0	0.045	0.107	0.108	0.148	0.141
2014	310	136		76	30	0    210		658	0	0	60	0	0	0	0	0.14	0.105	0.107	0.144	0.136
2014	311	137		73	27	0    210		658	0	0	60	0	0	0	0	0.123	0.104	0.106	0.138	0.13
2014	312	138		69	24	0    210		658	0	0	60	0	0	0	0	0.108	0.102	0.104	0.13	0.123
2014	313	139		66	21	0    210		658	0	0	60	0	0	0	0	0.099	0.101	0.103	0.122	0.117
2014	314	140		63	18	0    210		658	0	0	60	0	0	0	0	0.091	0.099	0.101	0.113	0.111
2014	315	141		60	15	0    210		658	0	0	60	0	0	0	0	0.084	0.096	0.098	0.107	0.106
2014	316	142		59	13	0    210		658	0	0	60	0	0	0	0	0.078	0.094	0.096	0.103	0.103
2014	317	143		57	12	0    210		658	0	0	60	0	0	0	0	0.073	0.093	0.094	0.101	0.1
2014	318	144		56	10	0    210		658	0	0	60	0	0	0	0	0.068	0.091	0.092	0.099	0.098
2014	319	145		55	9	0    210		658	0	0	60	0	0	0	0	0.064	0.09	0.091	0.097	0.097
2014	320	146		54	8	0    210		658	0	0	60	0	0	0	0	0.06	0.089	0.09	0.096	0.096
2014	321	147		53	8	0    210		658	0	0	60	0	0	0	0	0.057	0.087	0.089	0.095	0.094
2014	322	148		53	7	0    210		658	0	0	60	0	0	0	0	0.054	0.086	0.088	0.094	0.093
2014	323	149		52	6	0    210		658	0	0	60	0	0	0	0	0.051	0.085	0.087	0.093	0.093
2014	324	150		51	6	0    210		658	0	0	60	0	0	0	0	0.048	0.085	0.086	0.092	0.092
2014	325	151		51	5	0    210		658	0	0	60	0	0	0	0	0.046	0.084	0.085	0.091	0.091
2014	326	152		50	5	0    210		658	0	0	60	0	0	0	0	0.044	0.083	0.085	0.09	0.09
2014	327	153		50	4	0    210		658	0	0	60	0	0	0	0	0.042	0.082	0.084	0.09	0.09
2014	328	154		49	4	0    210		658	0	0	60	0	0	0	0	0.04	0.081	0.084	0.089	0.089
2014	329	155		49	3	0    210		658	0	0	60	0	0	0	0	0.038	0.081	0.083	0.089	0.088
2014	330	156		49	3	0    210		658	0	0	60	0	0	0	0	0.037	0.08	0.082	0.088	0.088
