*Soil Inorganic Nitrogen daily output file

*DSSAT Cropping System Model Ver. 4.7.2.000 -release      OCT 15, 2021; 17:59:33
                                                                                
*RUN   1        :             CSM335_date_1 MZCER047 ITSA1301    1              
 MODEL          : MZCER047 - Maize                                              
 EXPERIMENT     : ITSA1301 SG CALIBRATION SETUP OF SORGHUM SOWING DATES         
 DATA PATH      :                                                               
 TREATMENT  1   :             CSM335_date_1 MZCER047                            
  
!                                                    NO3 (ppm) by soil depth (cm):           NH4 (ppm) by soil depth (cm):
!                                                     0-5    5-15   15-30   30-45   45-60     0-5    5-15   15-30   30-45   45-60
@YEAR DOY   DAS  NAPC  NI#M    NIAD   NITD   NHTD    NI1D    NI2D    NI3D    NI4D    NI5D    NH1D    NH2D    NH3D    NH4D    NH5D    NMNC    NITC    NDNC    NIMC    AMLC   NNMNC    NUCM    NLCC    TDFC
 2014 201    27     0     1    56.8   53.0    3.8    9.57    9.53    7.05    4.29    4.34    1.45    0.85    0.72    0.02    0.02   25.11   22.92    0.00    3.33    0.00   21.77    1.90    0.00    0.00
 2014 202    28     0     1    57.0   53.2    3.8    9.78    9.47    7.12    4.28    4.34    1.48    0.85    0.71    0.02    0.02   26.06   23.71    0.00    3.46    0.00   22.59    2.50    0.00    0.00
 2014 203    29     0     1    56.9   53.2    3.8    3.56    9.72    9.05    4.27    4.35    1.44    0.84    0.70    0.02    0.02   26.93   24.48    0.00    3.58    0.00   23.34    3.28    0.00    0.00
 2014 204    30     0     1    57.7   53.3    4.4    3.50    8.90    9.67    4.26    4.35    1.64    1.16    0.73    0.02    0.02   28.53   25.18    0.00    3.80    0.00   24.73    3.92    0.00    0.00
 2014 205    31     0     1    58.1   53.2    4.9    4.94    8.77    9.37    4.18    4.30    1.72    1.39    0.79    0.02    0.02   30.32   26.15    0.00    4.05    0.00   26.27    5.03    0.00    0.00
 2014 206    32     0     1    58.7   53.5    5.2    5.30    8.83    9.38    4.16    4.29    1.71    1.55    0.82    0.02    0.02   31.97   27.22    0.00    4.28    0.00   27.69    5.86    0.00    0.00
 2014 207    33     0     1    59.2   53.9    5.3    5.65    8.93    9.40    4.14    4.28    1.66    1.65    0.85    0.02    0.02   33.48   28.31    0.00    4.49    0.00   28.99    6.65    0.00    0.00
 2014 208    34     0     1    59.5   54.0    5.4    5.94    8.98    9.37    4.12    4.27    1.65    1.71    0.86    0.02    0.02   34.95   29.38    0.00    4.69    0.00   30.25    7.64    0.00    0.00
 2014 209    35     0     1    59.0   53.6    5.4    6.13    8.91    9.23    4.07    4.25    1.57    1.72    0.85    0.02    0.02   36.37   30.52    0.00    4.89    0.00   31.47    9.33    0.00    0.00
 2014 210    36     0     1    58.9   53.6    5.3    6.37    8.95    9.17    4.04    4.22    1.49    1.71    0.85    0.02    0.02   37.75   31.69    0.00    5.09    0.00   32.67   10.63    0.00    0.00
 2014 211    37     0     1    59.0   53.8    5.2    5.59    9.58    9.15    4.01    4.21    1.39    1.70    0.84    0.02    0.02   39.07   32.85    0.00    5.27    0.00   33.80   11.66    0.00    0.00
 2014 212    38     0     1    58.1   52.9    5.2    5.09    9.69    8.94    3.95    4.16    1.51    1.67    0.82    0.02    0.02   40.61   34.01    0.00    5.48    0.00   35.13   13.84    0.00    0.00
 2014 213    39     0     1    57.8   52.6    5.2    6.21    9.57    8.64    3.87    4.09    1.60    1.67    0.80    0.02    0.02   42.14   35.20    0.00    5.68    0.00   36.46   15.48    0.00    0.00
 2014 214    40     0     1    57.3   52.2    5.1    3.20    8.75   10.09    3.82    4.04    1.58    1.64    0.79    0.02    0.02   43.52   36.36    0.00    5.87    0.00   37.65   17.18    0.00    0.00
 2014 215    41     0     1    58.0   52.5    5.5    3.33    8.14   10.66    3.79    4.02    1.73    1.76    0.85    0.02    0.02   45.14   37.30    0.00    6.09    0.00   39.05   17.85    0.00    0.00
 2014 216    42     0     1    58.2   52.3    5.9    4.01    7.92   10.62    3.73    3.96    1.80    1.81    0.94    0.02    0.02   46.94   38.43    0.00    6.34    0.00   40.60   19.27    0.00    0.00
 2014 217    43     0     1    57.6   51.7    5.9    4.92    7.88   10.18    3.64    3.89    1.76    1.79    1.00    0.02    0.02   48.63   39.64    0.00    6.57    0.00   42.06   21.30    0.00    0.00
 2014 218    44     0     1    56.9   51.0    5.9    5.14    7.82    9.93    3.59    3.83    1.66    1.76    1.04    0.02    0.02   50.17   40.83    0.00    6.79    0.00   43.38   23.36    0.00    0.00
 2014 219    45     0     1    56.2   50.4    5.8    5.34    7.79    9.71    3.54    3.78    1.54    1.71    1.05    0.02    0.02   51.56   41.98    0.00    6.98    0.00   44.58   25.25    0.00    0.00
 2014 220    46     0     1    54.9   49.4    5.5    5.45    7.66    9.41    3.47    3.72    1.41    1.64    1.04    0.02    0.02   52.89   43.14    0.00    7.16    0.00   45.72   27.62    0.00    0.00
 2014 221    47     0     1    54.6   49.2    5.4    4.21    8.43    9.31    3.44    3.68    1.32    1.59    1.03    0.02    0.02   54.15   44.28    0.00    7.33    0.00   46.82   29.02    0.00    0.00
 2014 222    48     0     1    54.7   49.2    5.5    4.15    8.62    9.27    3.41    3.64    1.46    1.61    1.02    0.02    0.02   55.57   45.33    0.00    7.52    0.00   48.04   30.15    0.00    0.00
 2014 223    49     0     1    53.4   48.0    5.4    4.88    8.35    8.79    3.31    3.55    1.49    1.58    0.97    0.02    0.02   56.90   46.41    0.00    7.70    0.00   49.20   32.67    0.00    0.00
 2014 224    50     0     1    52.0   46.8    5.2    4.74    8.27    8.48    3.25    3.48    1.45    1.53    0.92    0.02    0.02   58.10   47.47    0.00    7.85    0.00   50.25   35.10    0.00    0.00
 2014 225    51     0     1    51.8   46.7    5.1    4.98    8.29    8.41    3.21    3.44    1.50    1.52    0.89    0.02    0.02   59.30   48.48    0.00    8.00    0.00   51.30   36.28    0.00    0.00
