*SOIL-PLANT-ATMOSPHERE MODULE OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.7.2.000 -release      OCT 15, 2021; 17:59:33
                                                                                
*RUN   1        :             CSM335_date_1 MZCER047 ITSA1301    1              
 MODEL          : MZCER047 - Maize                                              
 EXPERIMENT     : ITSA1301 SG CALIBRATION SETUP OF SORGHUM SOWING DATES         
 DATA PATH      :                                                               
 TREATMENT  1   :             CSM335_date_1 MZCER047                            
  
!                                                                                                                                                Soil evaporation (mm/d) by soil depth (cm):
!                                                                                                                                                0-5    5-15   15-30   30-45   45-60
@YEAR DOY   DAS   SRAA  TMAXA  TMINA   EOAA   EOPA   EOSA   ETAA   EPAA   ESAA   EFAA   EMAA    EOAC    ETAC    EPAC    ESAC    EFAC    EMAC    ES1D    ES2D    ES3D    ES4D    ES5D   TRWUD
 2014 202    28  19.50  33.20  26.60  5.109  0.748  4.354  1.772  0.748  1.025  0.000  0.000  138.67   31.64    3.71   27.93    0.00    0.00   0.922   0.076   0.017   0.007   0.003   0.075
 2014 203    29   8.40  29.50  21.50  2.018  0.335  1.678  1.658  0.335  1.322  0.000  0.000  140.69   33.30    4.05   29.25    0.00    0.00   1.172   0.121   0.020   0.007   0.003   0.034
 2014 204    30  17.30  30.40  21.00  4.446  0.777  3.659  4.436  0.777  3.659  0.000  0.000  145.13   37.74    4.82   32.91    0.00    0.00   1.562   1.143   0.489   0.257   0.207   0.078
 2014 205    31  18.60  31.30  23.60  4.762  0.925  3.826  2.219  0.925  1.294  0.000  0.000  149.90   39.96    5.75   34.21    0.00    0.00   1.111   0.149   0.025   0.006   0.003   0.093
 2014 206    32  14.90  29.70  25.30  3.744  0.809  2.926  1.978  0.809  1.169  0.000  0.000  153.64   41.93    6.56   35.38    0.00    0.00   0.989   0.146   0.024   0.006   0.003   0.081
 2014 207    33  15.50  30.80  24.60  3.879  0.927  2.941  2.093  0.927  1.165  0.000  0.000  157.52   44.03    7.48   36.54    0.00    0.00   0.988   0.143   0.024   0.006   0.003   0.093
 2014 208    34  22.50  33.80  23.20  5.799  1.541  4.242  2.695  1.541  1.155  0.000  0.000  163.32   46.72    9.03   37.70    0.00    0.00   0.981   0.140   0.024   0.006   0.003   0.154
 2014 209    35  16.20  32.40  26.80  4.164  1.268  2.883  2.319  1.268  1.051  0.000  0.000  167.48   49.04   10.29   38.75    0.00    0.00   0.882   0.136   0.023   0.006   0.003   0.127
 2014 210    36  12.40  31.60  25.40  3.114  1.038  2.065  2.006  1.038  0.968  0.000  0.000  170.60   51.05   11.33   39.72    0.00    0.00   0.803   0.132   0.023   0.006   0.003   0.104
 2014 211    37  22.90  34.40  25.20  5.865  2.084  3.760  3.269  2.084  1.185  0.000  0.000  176.46   54.32   13.42   40.90    0.00    0.00   1.019   0.135   0.022   0.006   0.003   0.208
 2014 212    38  16.70  32.30  25.10  4.333  1.706  2.608  4.315  1.706  2.608  0.000  0.000  180.80   58.63   15.12   43.51    0.00    0.00   1.164   0.770   0.337   0.185   0.152   0.171
 2014 213    39  16.50  31.80  26.00  4.275  1.802  2.454  3.150  1.802  1.349  0.000  0.000  185.07   61.78   16.92   44.86    0.00    0.00   1.182   0.137   0.021   0.006   0.003   0.180
 2014 214    40   7.70  29.30  24.20  1.897  0.848  1.039  1.887  0.848  1.039  0.000  0.000  186.97   63.67   17.77   45.90    0.00    0.00   0.450   0.323   0.141   0.068   0.056   0.085
 2014 215    41  13.30  30.00  24.30  3.396  1.558  1.821  3.379  1.558  1.821  0.000  0.000  190.36   67.05   19.33   47.72    0.00    0.00   0.772   0.561   0.285   0.111   0.091   0.156
 2014 216    42  18.00  30.10  25.10  4.554  2.176  2.354  4.530  2.176  2.354  0.000  0.000  194.92   71.58   21.51   50.07    0.00    0.00   0.947   0.717   0.417   0.150   0.123   0.218
 2014 217    43  17.80  30.50  24.40  4.446  2.231  2.191  3.496  2.231  1.265  0.000  0.000  199.36   75.07   23.74   51.34    0.00    0.00   1.080   0.146   0.031   0.006   0.003   0.223
 2014 218    44  16.20  30.20  22.80  3.951  2.070  1.858  3.185  2.070  1.115  0.000  0.000  203.31   78.26   25.81   52.45    0.00    0.00   0.937   0.140   0.030   0.006   0.003   0.207
 2014 219    45  19.60  32.20  23.90  4.882  2.651  2.204  3.662  2.651  1.011  0.000  0.000  208.20   81.92   28.46   53.46    0.00    0.00   0.838   0.135   0.029   0.006   0.003   0.265
 2014 220    46  12.80  29.40  25.80  3.124  1.762  1.344  2.712  1.762  0.950  0.000  0.000  211.32   84.63   30.22   54.41    0.00    0.00   0.785   0.128   0.028   0.006   0.003   0.176
 2014 221    47  10.70  28.30  24.90  2.563  1.478  1.069  2.547  1.478  1.069  0.000  0.000  213.88   87.18   31.70   55.48    0.00    0.00   0.925   0.114   0.023   0.005   0.003   0.148
 2014 222    48  20.10  30.10  22.90  4.984  2.924  2.030  4.953  2.924  2.030  0.000  0.000  218.87   92.13   34.62   57.51    0.00    0.00   0.880   0.600   0.313   0.130   0.107   0.292
 2014 223    49  19.70  30.90  24.10  4.909  2.966  1.913  4.250  2.966  1.284  0.000  0.000  223.78   96.38   37.59   58.80    0.00    0.00   1.114   0.137   0.025   0.006   0.003   0.297
 2014 224    50  11.60  30.50  24.20  2.858  1.771  1.069  2.840  1.771  1.069  0.000  0.000  226.64   99.22   39.36   59.87    0.00    0.00   0.930   0.111   0.020   0.005   0.003   0.177
 2014 225    51  17.30  29.10  22.40  4.173  2.621  1.525  3.903  2.621  1.282  0.000  0.000  230.81  103.13   41.98   61.15    0.00    0.00   1.122   0.129   0.022   0.006   0.003   0.262
 2014 226    52  15.60  29.60  24.00  3.801  2.428  1.349  3.555  2.428  1.127  0.000  0.000  234.61  106.68   44.41   62.27    0.00    0.00   0.974   0.123   0.021   0.006   0.003   0.243
 2014 227    53  12.80  28.50  24.10  3.067  1.984  1.063  3.047  1.984  1.063  0.000  0.000  237.68  109.73   46.39   63.34    0.00    0.00   0.919   0.116   0.020   0.005   0.003   0.198
 2014 228    54   8.10  26.20  23.80  1.893  1.235  0.645  1.880  1.235  0.645  0.000  0.000  239.57  111.61   47.63   63.98    0.00    0.00   0.294   0.193   0.080   0.043   0.035   0.123
 2014 229    55  20.70  29.60  23.50  5.124  3.363  1.728  5.091  3.363  1.728  0.000  0.000  244.69  116.70   50.99   65.71    0.00    0.00   0.782   0.543   0.211   0.105   0.086   0.336
 2014 230    56  12.00  28.50  23.90  2.907  1.932  0.956  2.888  1.932  0.956  0.000  0.000  247.60  119.59   52.92   66.67    0.00    0.00   0.424   0.301   0.119   0.061   0.050   0.193
 2014 231    57  17.00  32.30  22.80  4.250  2.844  1.378  4.223  2.844  1.378  0.000  0.000  251.85  123.81   55.77   68.04    0.00    0.00   0.624   0.433   0.176   0.080   0.065   0.284
 2014 232    58  24.30  31.30  22.40  6.053  4.086  1.927  6.013  4.086  1.927  0.000  0.000  257.90  129.82   59.85   69.97    0.00    0.00   0.788   0.563   0.361   0.141   0.074   0.409
 2014 233    59  20.70  30.70  26.50  5.262  3.597  1.633  5.230  3.597  1.633  0.000  0.000  263.17  135.05   63.45   71.60    0.00    0.00   0.575   0.436   0.371   0.188   0.063   0.360
 2014 234    60  12.20  28.70  21.20  2.899  1.998  0.880  2.878  1.998  0.880  0.000  0.000  266.06  137.93   65.45   72.48    0.00    0.00   0.300   0.226   0.194   0.119   0.041   0.200
 2014 235    61  16.80  29.70  21.60  4.090  2.836  1.225  4.062  2.836  1.225  0.000  0.000  270.15  141.99   68.28   73.71    0.00    0.00   0.401   0.301   0.261   0.181   0.081   0.284
 2014 236    62  20.40  31.50  24.70  5.134  3.591  1.511  5.102  3.591  1.511  0.000  0.000  275.29  147.09   71.87   75.22    0.00    0.00   0.486   0.361   0.312   0.223   0.129   0.359
 2014 237    63  24.90  32.50  25.10  6.327  4.467  1.821  6.288  4.467  1.821  0.000  0.000  281.62  153.38   76.34   77.04    0.00    0.00   0.572   0.434   0.372   0.265   0.178   0.447
 2014 238    64   9.50  28.30  21.80  2.247  1.602  0.629  2.231  1.602  0.629  0.000  0.000  283.86  155.61   77.94   77.67    0.00    0.00   0.203   0.153   0.125   0.086   0.062   0.160
 2014 239    65  21.30  31.40  22.80  5.327  3.708  1.585  5.293  3.708  1.585  0.000  0.000  289.19  160.91   81.65   79.26    0.00    0.00   0.511   0.383   0.312   0.214   0.164   0.371
