*SOIL TEMPERATURE OUTPUT FILE (DAILY)

*DSSAT Cropping System Model Ver. 4.7.2.000 -release      OCT 15, 2021; 17:59:33
                                                                                
*RUN   1        :             CSM335_date_1 MZCER047 ITSA1301    1              
 MODEL          : MZCER047 - Maize                                              
 EXPERIMENT     : ITSA1301 SG CALIBRATION SETUP OF SORGHUM SOWING DATES         
 DATA PATH      :                                                               
 TREATMENT  1   :             CSM335_date_1 MZCER047                            
  
! TAV  =    27.7
! TAMP =     5.2
!               Temperature (oC) by soil depth (cm):
!               Surface     0-5    5-15   15-30   30-45   45-60
@YEAR DOY   DAS    TS0D    TS1D    TS2D    TS3D    TS4D    TS5D    
 2014 175     1    28.8    28.8    28.7    28.6    28.4    28.3
 2014 176     2    29.6    29.5    29.4    29.3    29.1    28.9
 2014 177     3    30.5    30.5    30.3    30.1    29.9    29.6
 2014 178     4    31.4    31.3    31.2    30.9    30.6    30.3
 2014 179     5    32.3    32.2    32.0    31.7    31.4    31.0
 2014 180     6    32.9    32.8    32.6    32.3    31.9    31.5
 2014 181     7    33.0    32.9    32.7    32.4    32.0    31.6
 2014 182     8    33.1    33.0    32.8    32.4    32.0    31.7
 2014 183     9    32.8    32.7    32.5    32.2    31.9    31.5
 2014 184    10    32.8    32.8    32.6    32.2    31.9    31.5
 2014 185    11    32.4    32.4    32.2    31.9    31.5    31.2
 2014 186    12    32.0    32.0    31.8    31.6    31.3    31.0
 2014 187    13    31.3    31.2    31.1    30.9    30.6    30.4
 2014 188    14    30.9    30.9    30.7    30.5    30.3    30.1
 2014 189    15    30.4    30.3    30.2    30.0    29.8    29.6
 2014 190    16    30.2    30.1    30.0    29.9    29.7    29.5
 2014 191    17    30.6    30.6    30.4    30.3    30.0    29.8
 2014 192    18    31.2    31.2    31.0    30.8    30.6    30.3
 2014 193    19    31.9    31.9    31.7    31.4    31.1    30.8
 2014 194    20    32.3    32.2    32.0    31.8    31.4    31.1
 2014 195    21    32.6    32.6    32.4    32.1    31.7    31.4
 2014 196    22    32.9    32.8    32.6    32.3    31.9    31.6
 2014 197    23    32.9    32.8    32.6    32.3    31.9    31.6
 2014 198    24    32.6    32.5    32.3    32.0    31.7    31.3
 2014 199    25    31.9    31.8    31.7    31.4    31.1    30.8
 2014 200    26    31.7    31.7    31.6    31.4    31.1    30.9
 2014 201    27    31.4    31.3    31.2    31.0    30.8    30.6
 2014 202    28    31.3    31.2    31.1    30.9    30.7    30.5
 2014 203    29    30.7    30.6    30.5    30.4    30.2    30.0
 2014 204    30    30.7    30.7    30.6    30.5    30.4    30.2
 2014 205    31    30.5    30.5    30.4    30.3    30.1    30.0
 2014 206    32    29.8    29.8    29.8    29.7    29.6    29.5
 2014 207    33    29.3    29.3    29.2    29.2    29.1    29.0
