*WEATHER MODULE DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.7.2.000 -release      OCT 15, 2021; 17:59:33
                                                                                
*RUN   1        :             CSM335_date_1 MZCER047 ITSA1301    1              
 MODEL          : MZCER047 - Maize                                              
 EXPERIMENT     : ITSA1301 SG CALIBRATION SETUP OF SORGHUM SOWING DATES         
 DATA PATH      :                                                               
 TREATMENT  1   :             CSM335_date_1 MZCER047                            
  
@YEAR DOY   DAS   PRED  DAYLD   TWLD   SRAD   PARD   CLDD   TMXD   TMND   TAVD   TDYD   TDWD   TGAD   TGRD   WDSD   CO2D   VPDF   VPD
 2014 212    38    3.3   12.5   13.4   16.7   33.4   0.44   32.3   25.1   28.6   29.8   18.8   28.6   29.8  160.0  398.7   0.00   0.00
 2014 213    39    0.0   12.5   13.3   16.5   33.0   0.45   31.8   26.0   28.8   29.8   19.7   28.8   29.8  159.9  398.7   0.00   0.00
 2014 214    40   20.2   12.5   13.3    7.7   15.4   0.74   29.3   24.2   26.7   27.5   18.1   26.7   27.5  160.1  398.7   0.00   0.00
 2014 215    41    0.8   12.5   13.3   13.3   26.6   0.55   30.0   24.3   27.1   28.0   18.2   27.1   28.0  159.3  398.7   0.00   0.00
 2014 216    42    0.0   12.5   13.3   18.0   36.0   0.40   30.1   25.1   27.5   28.4   19.0   27.5   28.4  158.0  398.7   0.00   0.00
 2014 217    43    0.0   12.4   13.3   17.8   35.6   0.40   30.5   24.4   27.4   28.4   18.4   27.4   28.4  155.9  398.7   0.00   0.00
 2014 218    44    0.0   12.4   13.3   16.2   32.4   0.46   30.2   22.8   26.4   27.6   16.9   26.4   27.6  154.0  398.7   0.00   0.00
 2014 219    45    0.6   12.4   13.3   19.6   39.2   0.34   32.2   23.9   27.9   29.3   18.0   27.9   29.3  152.7  398.7   0.00   0.00
 2014 220    46    1.0   12.4   13.3   12.8   25.6   0.57   29.4   25.8   27.5   28.2   19.9   27.5   28.2  151.3  398.7   0.00   0.00
 2014 221    47   11.3   12.4   13.3   10.7   21.4   0.64   28.3   24.9   26.5   27.1   19.1   26.5   27.1  148.6  398.7   0.00   0.00
 2014 222    48    0.0   12.4   13.3   20.1   40.2   0.32   30.1   22.9   26.4   27.6   17.2   26.4   27.6  147.3  398.7   0.00   0.00
 2014 223    49    0.0   12.4   13.3   19.7   39.4   0.34   30.9   24.1   27.4   28.5   18.4   27.4   28.5  144.5  398.7   0.00   0.00
 2014 224    50    3.7   12.4   13.2   11.6   23.2   0.61   30.5   24.2   27.2   28.3   18.5   27.2   28.3  143.3  398.7   0.00   0.00
 2014 225    51    0.0   12.4   13.2   17.3   34.6   0.42   29.1   22.4   25.6   26.8   16.8   25.6   26.8  142.4  398.7   0.00   0.00
 2014 226    52    0.0   12.4   13.2   15.6   31.2   0.47   29.6   24.0   26.7   27.6   18.3   26.7   27.6  140.7  398.7   0.00   0.00
 2014 227    53    1.9   12.4   13.2   12.8   25.6   0.57   28.5   24.1   26.2   27.0   18.5   26.2   27.0  138.4  398.8   0.00   0.00
 2014 228    54   15.7   12.4   13.2    8.1   16.2   0.73   26.2   23.8   25.0   25.4   18.2   25.0   25.4  138.4  398.8   0.00   0.00
 2014 229    55    0.0   12.3   13.2   20.7   41.4   0.30   29.6   23.5   26.4   27.5   17.9   26.4   27.5  137.6  398.8   0.00   0.00
 2014 230    56    1.1   12.3   13.2   12.0   24.0   0.60   28.5   23.9   26.1   26.9   18.3   26.1   26.9  136.1  398.8   0.00   0.00
